POI: 			Alan_Alda 
Youtube ID: 	70e-rrF1NnQ 
Video length: 	1715.1 sec 
Set (V): 		dev 
 
Alan_Alda/70e-rrF1NnQ_0000001 17.5 22.6 
Alan_Alda/70e-rrF1NnQ_0000002 37.2 42.9 
Alan_Alda/70e-rrF1NnQ_0000003 138.6 143.7 
Alan_Alda/70e-rrF1NnQ_0000004 148.0 155.6 
Alan_Alda/70e-rrF1NnQ_0000005 168.7 176.5 
Alan_Alda/70e-rrF1NnQ_0000006 207.2 214.9 
Alan_Alda/70e-rrF1NnQ_0000007 236.6 248.0 
Alan_Alda/70e-rrF1NnQ_0000008 259.6 267.9 
Alan_Alda/70e-rrF1NnQ_0000009 287.1 294.5 
Alan_Alda/70e-rrF1NnQ_0000010 315.1 322.9 
Alan_Alda/70e-rrF1NnQ_0000011 369.1 384.8 
Alan_Alda/70e-rrF1NnQ_0000012 387.8 401.5 
Alan_Alda/70e-rrF1NnQ_0000013 402.4 408.8 
Alan_Alda/70e-rrF1NnQ_0000014 409.0 413.8 
Alan_Alda/70e-rrF1NnQ_0000015 430.1 444.3 
Alan_Alda/70e-rrF1NnQ_0000016 445.7 449.8 
Alan_Alda/70e-rrF1NnQ_0000017 451.6 457.0 
Alan_Alda/70e-rrF1NnQ_0000018 469.7 477.2 
Alan_Alda/70e-rrF1NnQ_0000019 481.4 485.7 
Alan_Alda/70e-rrF1NnQ_0000020 485.8 490.4 
Alan_Alda/70e-rrF1NnQ_0000021 498.6 504.8 
Alan_Alda/70e-rrF1NnQ_0000022 507.0 517.0 
Alan_Alda/70e-rrF1NnQ_0000023 530.7 534.8 
Alan_Alda/70e-rrF1NnQ_0000024 541.0 550.6 
Alan_Alda/70e-rrF1NnQ_0000025 566.8 577.4 
Alan_Alda/70e-rrF1NnQ_0000026 598.4 605.7 
Alan_Alda/70e-rrF1NnQ_0000027 606.8 611.0 
Alan_Alda/70e-rrF1NnQ_0000028 619.8 625.5 
Alan_Alda/70e-rrF1NnQ_0000029 637.2 643.4 
Alan_Alda/70e-rrF1NnQ_0000030 643.9 657.3 
Alan_Alda/70e-rrF1NnQ_0000031 658.1 665.9 
Alan_Alda/70e-rrF1NnQ_0000032 663.2 670.0 
Alan_Alda/70e-rrF1NnQ_0000033 682.1 691.3 
Alan_Alda/70e-rrF1NnQ_0000034 693.1 698.1 
Alan_Alda/70e-rrF1NnQ_0000035 747.2 751.5 
