POI: 			Alan_Alda 
Youtube ID: 	iNwAECjAAAM 
Video length: 	1323.8 sec 
Set (V): 		dev 
 
Alan_Alda/iNwAECjAAAM_0000001 67.6 74.6 
Alan_Alda/iNwAECjAAAM_0000002 78.7 85.0 
Alan_Alda/iNwAECjAAAM_0000003 137.2 147.1 
Alan_Alda/iNwAECjAAAM_0000004 153.9 158.5 
Alan_Alda/iNwAECjAAAM_0000005 159.8 175.8 
Alan_Alda/iNwAECjAAAM_0000006 177.0 185.7 
Alan_Alda/iNwAECjAAAM_0000007 203.9 220.2 
Alan_Alda/iNwAECjAAAM_0000008 233.6 239.4 
Alan_Alda/iNwAECjAAAM_0000009 244.2 266.0 
Alan_Alda/iNwAECjAAAM_0000010 296.7 302.5 
Alan_Alda/iNwAECjAAAM_0000011 303.5 308.7 
Alan_Alda/iNwAECjAAAM_0000012 317.6 323.9 
Alan_Alda/iNwAECjAAAM_0000013 387.1 391.5 
Alan_Alda/iNwAECjAAAM_0000014 418.9 424.1 
Alan_Alda/iNwAECjAAAM_0000015 425.2 429.3 
Alan_Alda/iNwAECjAAAM_0000016 447.2 458.3 
Alan_Alda/iNwAECjAAAM_0000017 462.8 468.0 
Alan_Alda/iNwAECjAAAM_0000018 468.8 473.3 
Alan_Alda/iNwAECjAAAM_0000019 485.0 492.0 
Alan_Alda/iNwAECjAAAM_0000020 502.6 507.9 
Alan_Alda/iNwAECjAAAM_0000021 509.5 513.8 
Alan_Alda/iNwAECjAAAM_0000022 515.5 522.2 
Alan_Alda/iNwAECjAAAM_0000023 539.7 549.2 
Alan_Alda/iNwAECjAAAM_0000024 549.3 554.8 
Alan_Alda/iNwAECjAAAM_0000025 563.3 571.2 
Alan_Alda/iNwAECjAAAM_0000026 588.7 594.1 
Alan_Alda/iNwAECjAAAM_0000027 595.7 602.6 
Alan_Alda/iNwAECjAAAM_0000028 607.0 611.1 
Alan_Alda/iNwAECjAAAM_0000029 611.4 620.2 
Alan_Alda/iNwAECjAAAM_0000030 651.6 656.1 
Alan_Alda/iNwAECjAAAM_0000031 667.4 671.4 
Alan_Alda/iNwAECjAAAM_0000032 676.6 682.8 
Alan_Alda/iNwAECjAAAM_0000033 684.4 688.5 
Alan_Alda/iNwAECjAAAM_0000034 689.2 694.3 
Alan_Alda/iNwAECjAAAM_0000035 703.2 707.5 
Alan_Alda/iNwAECjAAAM_0000036 712.0 718.0 
Alan_Alda/iNwAECjAAAM_0000037 718.8 724.3 
Alan_Alda/iNwAECjAAAM_0000038 738.5 749.4 
Alan_Alda/iNwAECjAAAM_0000039 758.2 775.4 
Alan_Alda/iNwAECjAAAM_0000040 785.8 790.4 
Alan_Alda/iNwAECjAAAM_0000041 808.5 816.6 
Alan_Alda/iNwAECjAAAM_0000042 853.5 859.0 
Alan_Alda/iNwAECjAAAM_0000043 861.0 865.0 
Alan_Alda/iNwAECjAAAM_0000044 865.1 869.8 
Alan_Alda/iNwAECjAAAM_0000045 902.7 914.7 
Alan_Alda/iNwAECjAAAM_0000046 932.2 937.7 
Alan_Alda/iNwAECjAAAM_0000047 992.7 1007.3 
Alan_Alda/iNwAECjAAAM_0000048 1020.1 1024.2 
Alan_Alda/iNwAECjAAAM_0000049 1028.9 1038.6 
Alan_Alda/iNwAECjAAAM_0000050 1046.0 1051.0 
Alan_Alda/iNwAECjAAAM_0000051 1083.7 1093.6 
Alan_Alda/iNwAECjAAAM_0000052 1096.2 1103.8 
Alan_Alda/iNwAECjAAAM_0000053 1107.4 1117.4 
Alan_Alda/iNwAECjAAAM_0000054 1118.2 1124.1 
Alan_Alda/iNwAECjAAAM_0000055 1200.0 1204.6 
Alan_Alda/iNwAECjAAAM_0000056 1206.4 1211.6 
Alan_Alda/iNwAECjAAAM_0000057 1225.2 1231.9 
Alan_Alda/iNwAECjAAAM_0000058 1233.4 1237.9 
Alan_Alda/iNwAECjAAAM_0000059 1262.7 1267.6 
Alan_Alda/iNwAECjAAAM_0000060 1294.0 1300.6 
Alan_Alda/iNwAECjAAAM_0000061 1309.1 1314.9 
