POI: 			Alan_Rickman 
Youtube ID: 	y0UFutwJ-ow 
Video length: 	3453.9 sec 
Set (V): 		dev 
 
Alan_Rickman/y0UFutwJ-ow_0000001 155.1 159.8 
Alan_Rickman/y0UFutwJ-ow_0000002 170.4 175.5 
Alan_Rickman/y0UFutwJ-ow_0000003 333.2 337.3 
Alan_Rickman/y0UFutwJ-ow_0000004 388.6 393.2 
Alan_Rickman/y0UFutwJ-ow_0000005 402.6 407.6 
Alan_Rickman/y0UFutwJ-ow_0000006 414.8 419.5 
Alan_Rickman/y0UFutwJ-ow_0000007 430.7 436.8 
Alan_Rickman/y0UFutwJ-ow_0000008 503.4 508.2 
Alan_Rickman/y0UFutwJ-ow_0000009 510.4 514.6 
Alan_Rickman/y0UFutwJ-ow_0000010 583.6 588.3 
Alan_Rickman/y0UFutwJ-ow_0000011 614.2 619.7 
Alan_Rickman/y0UFutwJ-ow_0000012 639.4 644.0 
Alan_Rickman/y0UFutwJ-ow_0000013 685.2 692.3 
Alan_Rickman/y0UFutwJ-ow_0000014 776.7 784.9 
Alan_Rickman/y0UFutwJ-ow_0000015 807.4 814.5 
Alan_Rickman/y0UFutwJ-ow_0000016 842.2 847.5 
Alan_Rickman/y0UFutwJ-ow_0000017 900.9 905.4 
Alan_Rickman/y0UFutwJ-ow_0000018 953.8 959.8 
Alan_Rickman/y0UFutwJ-ow_0000019 990.3 995.5 
Alan_Rickman/y0UFutwJ-ow_0000020 1088.8 1093.7 
Alan_Rickman/y0UFutwJ-ow_0000021 1098.8 1107.0 
Alan_Rickman/y0UFutwJ-ow_0000022 1153.0 1157.0 
Alan_Rickman/y0UFutwJ-ow_0000023 1259.8 1264.0 
Alan_Rickman/y0UFutwJ-ow_0000024 1264.2 1270.6 
Alan_Rickman/y0UFutwJ-ow_0000025 1325.2 1330.8 
Alan_Rickman/y0UFutwJ-ow_0000026 1354.3 1361.5 
Alan_Rickman/y0UFutwJ-ow_0000027 1362.4 1366.5 
Alan_Rickman/y0UFutwJ-ow_0000028 1618.8 1624.3 
Alan_Rickman/y0UFutwJ-ow_0000029 1674.4 1679.1 
Alan_Rickman/y0UFutwJ-ow_0000030 1697.0 1704.0 
Alan_Rickman/y0UFutwJ-ow_0000031 1759.6 1763.9 
Alan_Rickman/y0UFutwJ-ow_0000032 1764.0 1768.2 
Alan_Rickman/y0UFutwJ-ow_0000033 1789.0 1793.6 
Alan_Rickman/y0UFutwJ-ow_0000034 1797.6 1802.2 
Alan_Rickman/y0UFutwJ-ow_0000035 2017.1 2021.4 
Alan_Rickman/y0UFutwJ-ow_0000036 2023.6 2028.3 
Alan_Rickman/y0UFutwJ-ow_0000037 2028.8 2032.9 
Alan_Rickman/y0UFutwJ-ow_0000038 2056.1 2062.8 
Alan_Rickman/y0UFutwJ-ow_0000039 2132.8 2138.2 
Alan_Rickman/y0UFutwJ-ow_0000040 2243.7 2248.7 
Alan_Rickman/y0UFutwJ-ow_0000041 2250.4 2259.4 
Alan_Rickman/y0UFutwJ-ow_0000042 2295.1 2300.2 
Alan_Rickman/y0UFutwJ-ow_0000043 2309.8 2315.4 
Alan_Rickman/y0UFutwJ-ow_0000044 2356.6 2360.8 
Alan_Rickman/y0UFutwJ-ow_0000045 2374.2 2379.2 
Alan_Rickman/y0UFutwJ-ow_0000046 2388.4 2394.3 
Alan_Rickman/y0UFutwJ-ow_0000047 2402.8 2412.5 
Alan_Rickman/y0UFutwJ-ow_0000048 2430.4 2434.6 
Alan_Rickman/y0UFutwJ-ow_0000049 2540.7 2547.3 
Alan_Rickman/y0UFutwJ-ow_0000050 2595.6 2599.9 
Alan_Rickman/y0UFutwJ-ow_0000051 2706.2 2710.6 
Alan_Rickman/y0UFutwJ-ow_0000052 2753.3 2763.9 
Alan_Rickman/y0UFutwJ-ow_0000053 2816.8 2821.4 
Alan_Rickman/y0UFutwJ-ow_0000054 2824.4 2828.7 
Alan_Rickman/y0UFutwJ-ow_0000055 2842.2 2847.5 
Alan_Rickman/y0UFutwJ-ow_0000056 2917.7 2922.9 
Alan_Rickman/y0UFutwJ-ow_0000057 2925.0 2929.2 
Alan_Rickman/y0UFutwJ-ow_0000058 2938.7 2943.0 
Alan_Rickman/y0UFutwJ-ow_0000059 3068.5 3073.2 
Alan_Rickman/y0UFutwJ-ow_0000060 3105.4 3109.8 
Alan_Rickman/y0UFutwJ-ow_0000061 3110.3 3115.6 
Alan_Rickman/y0UFutwJ-ow_0000062 3216.6 3221.6 
