POI: 			Alexander_Siddig 
Youtube ID: 	CIipb6clpG8 
Video length: 	281.9 sec 
Set (V): 		dev 
 
Alexander_Siddig/CIipb6clpG8_0000001 06.6 11.9 
Alexander_Siddig/CIipb6clpG8_0000002 21.9 30.5 
Alexander_Siddig/CIipb6clpG8_0000003 32.4 48.4 
Alexander_Siddig/CIipb6clpG8_0000004 61.9 66.0 
Alexander_Siddig/CIipb6clpG8_0000005 66.9 75.4 
Alexander_Siddig/CIipb6clpG8_0000006 86.4 91.6 
Alexander_Siddig/CIipb6clpG8_0000007 92.4 98.4 
Alexander_Siddig/CIipb6clpG8_0000008 103.6 107.8 
Alexander_Siddig/CIipb6clpG8_0000009 109.9 122.4 
Alexander_Siddig/CIipb6clpG8_0000010 126.9 132.6 
Alexander_Siddig/CIipb6clpG8_0000011 137.4 144.8 
Alexander_Siddig/CIipb6clpG8_0000012 145.2 153.3 
Alexander_Siddig/CIipb6clpG8_0000013 158.3 167.2 
Alexander_Siddig/CIipb6clpG8_0000014 167.3 176.6 
Alexander_Siddig/CIipb6clpG8_0000015 178.4 183.2 
Alexander_Siddig/CIipb6clpG8_0000016 183.8 189.9 
Alexander_Siddig/CIipb6clpG8_0000017 195.4 205.6 
Alexander_Siddig/CIipb6clpG8_0000018 212.2 222.0 
Alexander_Siddig/CIipb6clpG8_0000019 222.2 230.0 
Alexander_Siddig/CIipb6clpG8_0000020 231.8 237.4 
Alexander_Siddig/CIipb6clpG8_0000021 251.7 261.0 
Alexander_Siddig/CIipb6clpG8_0000022 265.3 273.5 
Alexander_Siddig/CIipb6clpG8_0000023 274.2 279.4 
