POI: 			Alexz_Johnson 
Youtube ID: 	ZLHjGWAWy20 
Video length: 	498.3 sec 
Set (V): 		dev 
 
Alexz_Johnson/ZLHjGWAWy20_0000001 17.6 23.3 
Alexz_Johnson/ZLHjGWAWy20_0000002 36.0 46.7 
Alexz_Johnson/ZLHjGWAWy20_0000003 63.8 70.2 
Alexz_Johnson/ZLHjGWAWy20_0000004 76.9 87.1 
Alexz_Johnson/ZLHjGWAWy20_0000005 88.3 109.6 
Alexz_Johnson/ZLHjGWAWy20_0000006 110.5 129.8 
Alexz_Johnson/ZLHjGWAWy20_0000007 136.7 143.1 
Alexz_Johnson/ZLHjGWAWy20_0000008 145.0 157.5 
Alexz_Johnson/ZLHjGWAWy20_0000009 162.7 168.4 
Alexz_Johnson/ZLHjGWAWy20_0000010 172.4 184.4 
Alexz_Johnson/ZLHjGWAWy20_0000011 184.8 189.7 
Alexz_Johnson/ZLHjGWAWy20_0000012 191.2 195.5 
Alexz_Johnson/ZLHjGWAWy20_0000013 217.6 229.4 
Alexz_Johnson/ZLHjGWAWy20_0000014 245.0 255.7 
Alexz_Johnson/ZLHjGWAWy20_0000015 260.5 271.9 
Alexz_Johnson/ZLHjGWAWy20_0000016 282.7 291.4 
Alexz_Johnson/ZLHjGWAWy20_0000017 292.4 301.5 
Alexz_Johnson/ZLHjGWAWy20_0000018 305.8 323.6 
Alexz_Johnson/ZLHjGWAWy20_0000019 335.4 339.6 
Alexz_Johnson/ZLHjGWAWy20_0000020 339.8 344.7 
Alexz_Johnson/ZLHjGWAWy20_0000021 344.9 351.7 
Alexz_Johnson/ZLHjGWAWy20_0000022 352.0 368.6 
Alexz_Johnson/ZLHjGWAWy20_0000023 375.8 380.5 
Alexz_Johnson/ZLHjGWAWy20_0000024 405.6 424.7 
Alexz_Johnson/ZLHjGWAWy20_0000025 426.7 438.8 
Alexz_Johnson/ZLHjGWAWy20_0000026 441.0 448.7 
Alexz_Johnson/ZLHjGWAWy20_0000027 449.0 453.6 
Alexz_Johnson/ZLHjGWAWy20_0000028 456.2 466.2 
Alexz_Johnson/ZLHjGWAWy20_0000029 442.4 459.6 
Alexz_Johnson/ZLHjGWAWy20_0000030 478.3 484.6 
