POI: 			Alison_Arngrim 
Youtube ID: 	7Gd4Fz2UNxQ 
Video length: 	1821.5 sec 
Set (V): 		dev 
 
Alison_Arngrim/7Gd4Fz2UNxQ_0000001 213.6 245.8 
Alison_Arngrim/7Gd4Fz2UNxQ_0000002 246.0 256.4 
Alison_Arngrim/7Gd4Fz2UNxQ_0000003 271.1 276.0 
Alison_Arngrim/7Gd4Fz2UNxQ_0000004 294.0 319.4 
Alison_Arngrim/7Gd4Fz2UNxQ_0000005 377.0 386.6 
Alison_Arngrim/7Gd4Fz2UNxQ_0000006 389.7 394.8 
Alison_Arngrim/7Gd4Fz2UNxQ_0000007 395.2 402.9 
Alison_Arngrim/7Gd4Fz2UNxQ_0000008 409.8 417.0 
Alison_Arngrim/7Gd4Fz2UNxQ_0000009 428.4 437.8 
Alison_Arngrim/7Gd4Fz2UNxQ_0000010 440.6 477.5 
Alison_Arngrim/7Gd4Fz2UNxQ_0000011 487.1 503.6 
Alison_Arngrim/7Gd4Fz2UNxQ_0000012 503.8 511.9 
Alison_Arngrim/7Gd4Fz2UNxQ_0000013 513.8 528.9 
Alison_Arngrim/7Gd4Fz2UNxQ_0000014 534.5 544.6 
Alison_Arngrim/7Gd4Fz2UNxQ_0000015 575.6 597.0 
Alison_Arngrim/7Gd4Fz2UNxQ_0000016 608.4 623.9 
Alison_Arngrim/7Gd4Fz2UNxQ_0000017 625.2 631.3 
Alison_Arngrim/7Gd4Fz2UNxQ_0000018 631.5 650.1 
Alison_Arngrim/7Gd4Fz2UNxQ_0000019 785.2 793.8 
Alison_Arngrim/7Gd4Fz2UNxQ_0000020 816.8 827.4 
Alison_Arngrim/7Gd4Fz2UNxQ_0000021 877.7 882.6 
Alison_Arngrim/7Gd4Fz2UNxQ_0000022 882.6 887.2 
Alison_Arngrim/7Gd4Fz2UNxQ_0000023 901.1 911.1 
Alison_Arngrim/7Gd4Fz2UNxQ_0000024 936.0 941.1 
Alison_Arngrim/7Gd4Fz2UNxQ_0000025 946.7 951.3 
Alison_Arngrim/7Gd4Fz2UNxQ_0000026 951.6 961.3 
Alison_Arngrim/7Gd4Fz2UNxQ_0000027 976.7 982.8 
Alison_Arngrim/7Gd4Fz2UNxQ_0000028 1009.0 1018.2 
Alison_Arngrim/7Gd4Fz2UNxQ_0000029 1018.3 1034.2 
Alison_Arngrim/7Gd4Fz2UNxQ_0000030 1034.4 1042.1 
Alison_Arngrim/7Gd4Fz2UNxQ_0000031 1043.0 1047.4 
Alison_Arngrim/7Gd4Fz2UNxQ_0000032 1055.4 1064.2 
Alison_Arngrim/7Gd4Fz2UNxQ_0000033 1211.4 1225.1 
Alison_Arngrim/7Gd4Fz2UNxQ_0000034 1227.0 1233.8 
Alison_Arngrim/7Gd4Fz2UNxQ_0000035 1268.0 1276.4 
Alison_Arngrim/7Gd4Fz2UNxQ_0000036 1276.9 1293.2 
Alison_Arngrim/7Gd4Fz2UNxQ_0000037 1311.3 1326.2 
Alison_Arngrim/7Gd4Fz2UNxQ_0000038 1339.7 1344.5 
Alison_Arngrim/7Gd4Fz2UNxQ_0000039 1345.8 1353.6 
Alison_Arngrim/7Gd4Fz2UNxQ_0000040 1359.7 1384.0 
Alison_Arngrim/7Gd4Fz2UNxQ_0000041 1642.0 1649.1 
Alison_Arngrim/7Gd4Fz2UNxQ_0000042 1715.6 1725.0 
