POI: 			Alison_Arngrim 
Youtube ID: 	s3ZWWI1GJZ8 
Video length: 	1306.1 sec 
Set (V): 		dev 
 
Alison_Arngrim/s3ZWWI1GJZ8_0000001 66.5 85.5 
Alison_Arngrim/s3ZWWI1GJZ8_0000002 115.7 125.0 
Alison_Arngrim/s3ZWWI1GJZ8_0000003 131.0 137.7 
Alison_Arngrim/s3ZWWI1GJZ8_0000004 146.8 154.1 
Alison_Arngrim/s3ZWWI1GJZ8_0000005 273.2 288.0 
Alison_Arngrim/s3ZWWI1GJZ8_0000006 290.2 294.4 
Alison_Arngrim/s3ZWWI1GJZ8_0000007 306.6 319.2 
Alison_Arngrim/s3ZWWI1GJZ8_0000008 353.4 359.8 
Alison_Arngrim/s3ZWWI1GJZ8_0000009 379.3 386.3 
Alison_Arngrim/s3ZWWI1GJZ8_0000010 386.6 415.6 
Alison_Arngrim/s3ZWWI1GJZ8_0000011 462.5 469.1 
Alison_Arngrim/s3ZWWI1GJZ8_0000012 503.0 509.9 
Alison_Arngrim/s3ZWWI1GJZ8_0000013 565.5 571.5 
Alison_Arngrim/s3ZWWI1GJZ8_0000014 580.9 585.2 
Alison_Arngrim/s3ZWWI1GJZ8_0000015 647.8 658.3 
Alison_Arngrim/s3ZWWI1GJZ8_0000016 662.6 667.0 
Alison_Arngrim/s3ZWWI1GJZ8_0000017 691.4 699.6 
Alison_Arngrim/s3ZWWI1GJZ8_0000018 746.5 758.6 
Alison_Arngrim/s3ZWWI1GJZ8_0000019 815.0 819.0 
Alison_Arngrim/s3ZWWI1GJZ8_0000020 838.9 844.2 
Alison_Arngrim/s3ZWWI1GJZ8_0000021 883.6 890.2 
Alison_Arngrim/s3ZWWI1GJZ8_0000022 919.2 924.6 
Alison_Arngrim/s3ZWWI1GJZ8_0000023 937.4 941.6 
Alison_Arngrim/s3ZWWI1GJZ8_0000024 1020.0 1033.0 
Alison_Arngrim/s3ZWWI1GJZ8_0000025 1041.6 1045.7 
Alison_Arngrim/s3ZWWI1GJZ8_0000026 1097.0 1105.1 
Alison_Arngrim/s3ZWWI1GJZ8_0000027 1107.6 1113.7 
Alison_Arngrim/s3ZWWI1GJZ8_0000028 1164.5 1169.9 
Alison_Arngrim/s3ZWWI1GJZ8_0000029 1182.2 1188.5 
Alison_Arngrim/s3ZWWI1GJZ8_0000030 1208.4 1220.2 
Alison_Arngrim/s3ZWWI1GJZ8_0000031 1220.3 1226.1 
