POI: 			Ben_McKenzie 
Youtube ID: 	ntgkeQhp-0c 
Video length: 	1758.3 sec 
Set (V): 		dev 
 
Ben_McKenzie/ntgkeQhp-0c_0000001 33.8 50.4 
Ben_McKenzie/ntgkeQhp-0c_0000002 50.8 58.3 
Ben_McKenzie/ntgkeQhp-0c_0000003 58.8 64.3 
Ben_McKenzie/ntgkeQhp-0c_0000004 65.2 73.7 
Ben_McKenzie/ntgkeQhp-0c_0000005 81.4 86.1 
Ben_McKenzie/ntgkeQhp-0c_0000006 88.6 94.2 
Ben_McKenzie/ntgkeQhp-0c_0000007 118.8 124.0 
Ben_McKenzie/ntgkeQhp-0c_0000008 129.2 137.6 
Ben_McKenzie/ntgkeQhp-0c_0000009 139.5 153.0 
Ben_McKenzie/ntgkeQhp-0c_0000010 153.7 168.6 
Ben_McKenzie/ntgkeQhp-0c_0000011 202.0 216.0 
Ben_McKenzie/ntgkeQhp-0c_0000012 223.8 231.1 
Ben_McKenzie/ntgkeQhp-0c_0000013 231.6 241.9 
Ben_McKenzie/ntgkeQhp-0c_0000014 246.5 251.7 
Ben_McKenzie/ntgkeQhp-0c_0000015 253.6 258.4 
Ben_McKenzie/ntgkeQhp-0c_0000016 263.0 269.6 
Ben_McKenzie/ntgkeQhp-0c_0000017 287.0 291.4 
Ben_McKenzie/ntgkeQhp-0c_0000018 299.7 340.5 
Ben_McKenzie/ntgkeQhp-0c_0000019 362.5 374.1 
Ben_McKenzie/ntgkeQhp-0c_0000020 376.8 381.2 
Ben_McKenzie/ntgkeQhp-0c_0000021 386.0 390.6 
Ben_McKenzie/ntgkeQhp-0c_0000022 391.2 405.2 
Ben_McKenzie/ntgkeQhp-0c_0000023 406.2 412.2 
Ben_McKenzie/ntgkeQhp-0c_0000024 417.2 421.2 
Ben_McKenzie/ntgkeQhp-0c_0000025 413.3 423.6 
Ben_McKenzie/ntgkeQhp-0c_0000026 459.0 463.5 
Ben_McKenzie/ntgkeQhp-0c_0000027 465.2 470.6 
Ben_McKenzie/ntgkeQhp-0c_0000028 475.1 479.6 
Ben_McKenzie/ntgkeQhp-0c_0000029 480.6 486.2 
Ben_McKenzie/ntgkeQhp-0c_0000030 525.6 532.4 
Ben_McKenzie/ntgkeQhp-0c_0000031 546.9 551.8 
Ben_McKenzie/ntgkeQhp-0c_0000032 558.6 563.6 
Ben_McKenzie/ntgkeQhp-0c_0000033 573.4 577.7 
Ben_McKenzie/ntgkeQhp-0c_0000034 600.0 610.4 
Ben_McKenzie/ntgkeQhp-0c_0000035 618.5 631.7 
Ben_McKenzie/ntgkeQhp-0c_0000036 632.2 640.9 
Ben_McKenzie/ntgkeQhp-0c_0000037 567.5 573.1 
Ben_McKenzie/ntgkeQhp-0c_0000038 573.4 582.3 
Ben_McKenzie/ntgkeQhp-0c_0000039 583.0 592.4 
Ben_McKenzie/ntgkeQhp-0c_0000040 610.6 615.6 
Ben_McKenzie/ntgkeQhp-0c_0000041 630.7 640.9 
Ben_McKenzie/ntgkeQhp-0c_0000042 697.9 704.6 
Ben_McKenzie/ntgkeQhp-0c_0000043 715.4 724.3 
Ben_McKenzie/ntgkeQhp-0c_0000044 724.9 729.8 
Ben_McKenzie/ntgkeQhp-0c_0000045 766.6 770.6 
Ben_McKenzie/ntgkeQhp-0c_0000046 777.5 783.9 
Ben_McKenzie/ntgkeQhp-0c_0000047 784.7 789.4 
Ben_McKenzie/ntgkeQhp-0c_0000048 799.0 804.0 
Ben_McKenzie/ntgkeQhp-0c_0000049 804.1 809.8 
Ben_McKenzie/ntgkeQhp-0c_0000050 838.5 842.6 
Ben_McKenzie/ntgkeQhp-0c_0000051 850.8 855.0 
Ben_McKenzie/ntgkeQhp-0c_0000052 861.5 881.3 
Ben_McKenzie/ntgkeQhp-0c_0000053 885.9 899.8 
Ben_McKenzie/ntgkeQhp-0c_0000054 915.2 924.1 
Ben_McKenzie/ntgkeQhp-0c_0000055 943.2 947.5 
Ben_McKenzie/ntgkeQhp-0c_0000056 950.4 958.0 
Ben_McKenzie/ntgkeQhp-0c_0000057 958.6 964.7 
Ben_McKenzie/ntgkeQhp-0c_0000058 967.8 975.9 
Ben_McKenzie/ntgkeQhp-0c_0000059 1001.8 1013.5 
Ben_McKenzie/ntgkeQhp-0c_0000060 1025.9 1030.8 
Ben_McKenzie/ntgkeQhp-0c_0000061 1031.6 1037.8 
Ben_McKenzie/ntgkeQhp-0c_0000062 1049.0 1055.9 
Ben_McKenzie/ntgkeQhp-0c_0000063 1057.8 1062.8 
Ben_McKenzie/ntgkeQhp-0c_0000064 1106.8 1111.2 
Ben_McKenzie/ntgkeQhp-0c_0000065 1112.9 1120.0 
Ben_McKenzie/ntgkeQhp-0c_0000066 1120.1 1131.2 
Ben_McKenzie/ntgkeQhp-0c_0000067 1138.4 1151.3 
Ben_McKenzie/ntgkeQhp-0c_0000068 1158.1 1169.1 
Ben_McKenzie/ntgkeQhp-0c_0000069 1180.2 1184.5 
Ben_McKenzie/ntgkeQhp-0c_0000070 1186.7 1192.2 
Ben_McKenzie/ntgkeQhp-0c_0000071 1206.6 1222.1 
