POI: 			Bob_Barker 
Youtube ID: 	cnQptIJlqAw 
Video length: 	1788.0 sec 
Set (V): 		dev 
 
Bob_Barker/cnQptIJlqAw_0000001 09.2 13.4 
Bob_Barker/cnQptIJlqAw_0000002 19.5 31.8 
Bob_Barker/cnQptIJlqAw_0000003 49.2 74.9 
Bob_Barker/cnQptIJlqAw_0000004 85.0 97.2 
Bob_Barker/cnQptIJlqAw_0000005 98.3 129.9 
Bob_Barker/cnQptIJlqAw_0000006 130.9 135.3 
Bob_Barker/cnQptIJlqAw_0000007 136.9 172.2 
Bob_Barker/cnQptIJlqAw_0000008 237.7 243.7 
Bob_Barker/cnQptIJlqAw_0000009 253.5 261.3 
Bob_Barker/cnQptIJlqAw_0000010 290.6 295.1 
Bob_Barker/cnQptIJlqAw_0000011 295.7 312.3 
Bob_Barker/cnQptIJlqAw_0000012 332.6 342.2 
Bob_Barker/cnQptIJlqAw_0000013 348.7 362.9 
Bob_Barker/cnQptIJlqAw_0000014 381.8 386.5 
Bob_Barker/cnQptIJlqAw_0000015 392.8 406.6 
Bob_Barker/cnQptIJlqAw_0000016 423.6 437.7 
Bob_Barker/cnQptIJlqAw_0000017 448.5 455.8 
Bob_Barker/cnQptIJlqAw_0000018 459.3 467.4 
Bob_Barker/cnQptIJlqAw_0000019 471.5 486.6 
Bob_Barker/cnQptIJlqAw_0000020 493.3 499.4 
Bob_Barker/cnQptIJlqAw_0000021 527.0 531.8 
Bob_Barker/cnQptIJlqAw_0000022 540.9 547.1 
Bob_Barker/cnQptIJlqAw_0000023 547.8 555.0 
Bob_Barker/cnQptIJlqAw_0000024 556.2 572.9 
Bob_Barker/cnQptIJlqAw_0000025 574.9 579.5 
Bob_Barker/cnQptIJlqAw_0000026 581.2 588.9 
Bob_Barker/cnQptIJlqAw_0000027 598.4 606.5 
Bob_Barker/cnQptIJlqAw_0000028 626.4 637.0 
Bob_Barker/cnQptIJlqAw_0000029 637.9 642.9 
Bob_Barker/cnQptIJlqAw_0000030 643.7 653.1 
