POI: 			Bradley_Steven_Perry 
Youtube ID: 	doK4sIjaoTA 
Video length: 	491.1 sec 
Set (V): 		dev 
 
Bradley_Steven_Perry/doK4sIjaoTA_0000001 33.7 45.0 
Bradley_Steven_Perry/doK4sIjaoTA_0000002 45.1 50.6 
Bradley_Steven_Perry/doK4sIjaoTA_0000003 56.1 62.0 
Bradley_Steven_Perry/doK4sIjaoTA_0000004 97.5 103.5 
Bradley_Steven_Perry/doK4sIjaoTA_0000005 119.8 123.9 
Bradley_Steven_Perry/doK4sIjaoTA_0000006 142.6 147.6 
Bradley_Steven_Perry/doK4sIjaoTA_0000007 148.0 154.5 
Bradley_Steven_Perry/doK4sIjaoTA_0000008 154.9 159.2 
Bradley_Steven_Perry/doK4sIjaoTA_0000009 166.4 182.6 
Bradley_Steven_Perry/doK4sIjaoTA_0000010 207.4 214.3 
Bradley_Steven_Perry/doK4sIjaoTA_0000011 223.4 229.2 
Bradley_Steven_Perry/doK4sIjaoTA_0000012 231.1 246.7 
Bradley_Steven_Perry/doK4sIjaoTA_0000013 295.9 301.7 
Bradley_Steven_Perry/doK4sIjaoTA_0000014 302.6 307.1 
Bradley_Steven_Perry/doK4sIjaoTA_0000015 320.5 326.0 
Bradley_Steven_Perry/doK4sIjaoTA_0000016 368.4 376.4 
Bradley_Steven_Perry/doK4sIjaoTA_0000017 387.9 393.1 
Bradley_Steven_Perry/doK4sIjaoTA_0000018 433.2 438.6 
Bradley_Steven_Perry/doK4sIjaoTA_0000019 443.8 455.4 
Bradley_Steven_Perry/doK4sIjaoTA_0000020 455.8 461.6 
