POI: 			Brian_Dennehy 
Youtube ID: 	IJOqxzVHZFM 
Video length: 	1189.1 sec 
Set (V): 		dev 
 
Brian_Dennehy/IJOqxzVHZFM_0000001 115.9 120.2 
Brian_Dennehy/IJOqxzVHZFM_0000002 121.5 127.0 
Brian_Dennehy/IJOqxzVHZFM_0000003 124.3 128.6 
Brian_Dennehy/IJOqxzVHZFM_0000004 217.8 223.7 
Brian_Dennehy/IJOqxzVHZFM_0000005 277.6 281.8 
Brian_Dennehy/IJOqxzVHZFM_0000006 320.0 324.8 
Brian_Dennehy/IJOqxzVHZFM_0000007 371.8 379.0 
Brian_Dennehy/IJOqxzVHZFM_0000008 379.8 390.3 
Brian_Dennehy/IJOqxzVHZFM_0000009 659.4 667.8 
Brian_Dennehy/IJOqxzVHZFM_0000010 744.0 748.2 
Brian_Dennehy/IJOqxzVHZFM_0000011 750.7 755.5 
Brian_Dennehy/IJOqxzVHZFM_0000012 949.6 954.1 
Brian_Dennehy/IJOqxzVHZFM_0000013 955.3 959.8 
Brian_Dennehy/IJOqxzVHZFM_0000014 963.8 967.9 
Brian_Dennehy/IJOqxzVHZFM_0000015 1004.6 1013.0 
Brian_Dennehy/IJOqxzVHZFM_0000016 1013.4 1017.8 
Brian_Dennehy/IJOqxzVHZFM_0000017 1038.3 1042.3 
Brian_Dennehy/IJOqxzVHZFM_0000018 1113.8 1119.8 
Brian_Dennehy/IJOqxzVHZFM_0000019 1125.2 1130.5 
