POI: 			Brian_Dennehy 
Youtube ID: 	tqdtbBSd4HI 
Video length: 	1594.0 sec 
Set (V): 		dev 
 
Brian_Dennehy/tqdtbBSd4HI_0000001 108.7 115.1 
Brian_Dennehy/tqdtbBSd4HI_0000002 122.0 127.6 
Brian_Dennehy/tqdtbBSd4HI_0000003 132.4 144.7 
Brian_Dennehy/tqdtbBSd4HI_0000004 198.4 202.6 
Brian_Dennehy/tqdtbBSd4HI_0000005 221.4 225.8 
Brian_Dennehy/tqdtbBSd4HI_0000006 266.9 273.8 
Brian_Dennehy/tqdtbBSd4HI_0000007 299.4 303.5 
Brian_Dennehy/tqdtbBSd4HI_0000008 307.8 316.4 
Brian_Dennehy/tqdtbBSd4HI_0000009 322.8 329.0 
Brian_Dennehy/tqdtbBSd4HI_0000010 342.3 347.8 
Brian_Dennehy/tqdtbBSd4HI_0000011 359.6 374.4 
Brian_Dennehy/tqdtbBSd4HI_0000012 376.6 382.9 
Brian_Dennehy/tqdtbBSd4HI_0000013 383.7 389.7 
Brian_Dennehy/tqdtbBSd4HI_0000014 412.4 420.1 
Brian_Dennehy/tqdtbBSd4HI_0000015 425.5 436.7 
Brian_Dennehy/tqdtbBSd4HI_0000016 442.4 446.5 
Brian_Dennehy/tqdtbBSd4HI_0000017 447.1 452.9 
Brian_Dennehy/tqdtbBSd4HI_0000018 453.3 463.0 
Brian_Dennehy/tqdtbBSd4HI_0000019 475.4 480.9 
Brian_Dennehy/tqdtbBSd4HI_0000020 489.1 498.1 
Brian_Dennehy/tqdtbBSd4HI_0000021 501.6 507.0 
Brian_Dennehy/tqdtbBSd4HI_0000022 510.0 514.0 
Brian_Dennehy/tqdtbBSd4HI_0000023 527.2 532.6 
Brian_Dennehy/tqdtbBSd4HI_0000024 557.6 564.4 
Brian_Dennehy/tqdtbBSd4HI_0000025 650.9 655.7 
Brian_Dennehy/tqdtbBSd4HI_0000026 766.0 770.6 
Brian_Dennehy/tqdtbBSd4HI_0000027 785.4 790.6 
Brian_Dennehy/tqdtbBSd4HI_0000028 834.6 848.5 
Brian_Dennehy/tqdtbBSd4HI_0000029 888.8 893.0 
Brian_Dennehy/tqdtbBSd4HI_0000030 935.2 943.3 
Brian_Dennehy/tqdtbBSd4HI_0000031 965.7 970.3 
Brian_Dennehy/tqdtbBSd4HI_0000032 964.6 970.0 
Brian_Dennehy/tqdtbBSd4HI_0000033 992.8 999.4 
Brian_Dennehy/tqdtbBSd4HI_0000034 1007.6 1018.5 
Brian_Dennehy/tqdtbBSd4HI_0000035 1090.8 1096.2 
Brian_Dennehy/tqdtbBSd4HI_0000036 1143.6 1148.6 
Brian_Dennehy/tqdtbBSd4HI_0000037 1161.9 1171.5 
Brian_Dennehy/tqdtbBSd4HI_0000038 1181.2 1185.2 
Brian_Dennehy/tqdtbBSd4HI_0000039 1208.7 1212.7 
Brian_Dennehy/tqdtbBSd4HI_0000040 1258.0 1262.2 
Brian_Dennehy/tqdtbBSd4HI_0000041 1272.4 1278.0 
Brian_Dennehy/tqdtbBSd4HI_0000042 1282.9 1287.8 
Brian_Dennehy/tqdtbBSd4HI_0000043 1294.3 1305.1 
Brian_Dennehy/tqdtbBSd4HI_0000044 1310.2 1315.0 
Brian_Dennehy/tqdtbBSd4HI_0000045 1315.2 1320.1 
Brian_Dennehy/tqdtbBSd4HI_0000046 1347.1 1351.7 
Brian_Dennehy/tqdtbBSd4HI_0000047 1358.4 1362.6 
Brian_Dennehy/tqdtbBSd4HI_0000048 1364.1 1369.0 
Brian_Dennehy/tqdtbBSd4HI_0000049 1380.1 1387.1 
Brian_Dennehy/tqdtbBSd4HI_0000050 1397.4 1402.8 
Brian_Dennehy/tqdtbBSd4HI_0000051 1424.5 1432.4 
Brian_Dennehy/tqdtbBSd4HI_0000052 1435.6 1443.9 
Brian_Dennehy/tqdtbBSd4HI_0000053 1469.4 1481.3 
Brian_Dennehy/tqdtbBSd4HI_0000054 1487.4 1493.2 
