POI: 			Bridget_Moynahan 
Youtube ID: 	iDxM7uzjVrI 
Video length: 	812.1 sec 
Set (V): 		dev 
 
Bridget_Moynahan/iDxM7uzjVrI_0000001 49.4 55.0 
Bridget_Moynahan/iDxM7uzjVrI_0000002 63.2 68.2 
Bridget_Moynahan/iDxM7uzjVrI_0000003 107.5 111.4 
Bridget_Moynahan/iDxM7uzjVrI_0000004 187.3 194.5 
Bridget_Moynahan/iDxM7uzjVrI_0000005 195.4 206.9 
Bridget_Moynahan/iDxM7uzjVrI_0000006 235.3 240.7 
Bridget_Moynahan/iDxM7uzjVrI_0000007 241.7 261.6 
Bridget_Moynahan/iDxM7uzjVrI_0000008 262.8 271.1 
Bridget_Moynahan/iDxM7uzjVrI_0000009 294.8 302.3 
Bridget_Moynahan/iDxM7uzjVrI_0000010 310.8 324.3 
Bridget_Moynahan/iDxM7uzjVrI_0000011 333.4 340.9 
Bridget_Moynahan/iDxM7uzjVrI_0000012 367.6 376.3 
Bridget_Moynahan/iDxM7uzjVrI_0000013 383.9 388.8 
Bridget_Moynahan/iDxM7uzjVrI_0000014 399.3 403.7 
Bridget_Moynahan/iDxM7uzjVrI_0000015 492.4 503.6 
Bridget_Moynahan/iDxM7uzjVrI_0000016 510.2 518.0 
Bridget_Moynahan/iDxM7uzjVrI_0000017 526.4 535.0 
Bridget_Moynahan/iDxM7uzjVrI_0000018 536.0 541.8 
Bridget_Moynahan/iDxM7uzjVrI_0000019 542.6 547.2 
Bridget_Moynahan/iDxM7uzjVrI_0000020 570.0 585.9 
Bridget_Moynahan/iDxM7uzjVrI_0000021 587.2 607.0 
Bridget_Moynahan/iDxM7uzjVrI_0000022 614.6 625.5 
Bridget_Moynahan/iDxM7uzjVrI_0000023 640.1 647.1 
Bridget_Moynahan/iDxM7uzjVrI_0000024 655.4 666.2 
Bridget_Moynahan/iDxM7uzjVrI_0000025 715.5 721.0 
