POI: 			Callie_Thorne 
Youtube ID: 	H8LJyz5oDeg 
Video length: 	642.8 sec 
Set (V): 		dev 
 
Callie_Thorne/H8LJyz5oDeg_0000001 18.4 31.7 
Callie_Thorne/H8LJyz5oDeg_0000002 33.0 40.8 
Callie_Thorne/H8LJyz5oDeg_0000003 43.0 48.2 
Callie_Thorne/H8LJyz5oDeg_0000004 52.2 58.4 
Callie_Thorne/H8LJyz5oDeg_0000005 72.9 80.3 
Callie_Thorne/H8LJyz5oDeg_0000006 109.4 113.8 
Callie_Thorne/H8LJyz5oDeg_0000007 114.8 126.0 
Callie_Thorne/H8LJyz5oDeg_0000008 131.1 139.3 
Callie_Thorne/H8LJyz5oDeg_0000009 143.8 148.3 
Callie_Thorne/H8LJyz5oDeg_0000010 151.0 159.4 
Callie_Thorne/H8LJyz5oDeg_0000011 159.6 167.7 
Callie_Thorne/H8LJyz5oDeg_0000012 170.9 191.7 
Callie_Thorne/H8LJyz5oDeg_0000013 201.4 210.0 
Callie_Thorne/H8LJyz5oDeg_0000014 214.3 224.2 
Callie_Thorne/H8LJyz5oDeg_0000015 229.8 236.0 
Callie_Thorne/H8LJyz5oDeg_0000016 231.6 239.5 
Callie_Thorne/H8LJyz5oDeg_0000017 294.6 311.2 
Callie_Thorne/H8LJyz5oDeg_0000018 314.2 319.5 
Callie_Thorne/H8LJyz5oDeg_0000019 320.2 325.2 
Callie_Thorne/H8LJyz5oDeg_0000020 329.4 339.6 
Callie_Thorne/H8LJyz5oDeg_0000021 343.9 349.5 
Callie_Thorne/H8LJyz5oDeg_0000022 353.5 358.2 
Callie_Thorne/H8LJyz5oDeg_0000023 366.6 370.7 
Callie_Thorne/H8LJyz5oDeg_0000024 372.4 381.5 
Callie_Thorne/H8LJyz5oDeg_0000025 382.0 387.8 
Callie_Thorne/H8LJyz5oDeg_0000026 405.7 414.2 
Callie_Thorne/H8LJyz5oDeg_0000027 414.4 427.4 
Callie_Thorne/H8LJyz5oDeg_0000028 436.9 443.1 
Callie_Thorne/H8LJyz5oDeg_0000029 443.3 452.8 
Callie_Thorne/H8LJyz5oDeg_0000030 453.7 463.3 
Callie_Thorne/H8LJyz5oDeg_0000031 466.0 479.8 
Callie_Thorne/H8LJyz5oDeg_0000032 482.3 496.9 
Callie_Thorne/H8LJyz5oDeg_0000033 511.1 515.4 
Callie_Thorne/H8LJyz5oDeg_0000034 522.2 532.1 
Callie_Thorne/H8LJyz5oDeg_0000035 534.1 559.9 
Callie_Thorne/H8LJyz5oDeg_0000036 568.1 573.0 
Callie_Thorne/H8LJyz5oDeg_0000037 574.8 583.6 
Callie_Thorne/H8LJyz5oDeg_0000038 583.9 588.6 
Callie_Thorne/H8LJyz5oDeg_0000039 633.1 637.7 
