POI: 			Callie_Thorne 
Youtube ID: 	hLfIV498sJs 
Video length: 	456.8 sec 
Set (V): 		dev 
 
Callie_Thorne/hLfIV498sJs_0000001 18.4 32.8 
Callie_Thorne/hLfIV498sJs_0000002 46.1 50.1 
Callie_Thorne/hLfIV498sJs_0000003 50.2 60.7 
Callie_Thorne/hLfIV498sJs_0000004 83.2 87.8 
Callie_Thorne/hLfIV498sJs_0000005 113.3 118.4 
Callie_Thorne/hLfIV498sJs_0000006 125.0 132.0 
Callie_Thorne/hLfIV498sJs_0000007 176.6 191.8 
Callie_Thorne/hLfIV498sJs_0000008 204.8 210.4 
Callie_Thorne/hLfIV498sJs_0000009 225.2 259.9 
Callie_Thorne/hLfIV498sJs_0000010 285.4 291.8 
Callie_Thorne/hLfIV498sJs_0000011 292.6 311.0 
Callie_Thorne/hLfIV498sJs_0000012 292.3 298.1 
Callie_Thorne/hLfIV498sJs_0000013 307.2 315.9 
Callie_Thorne/hLfIV498sJs_0000014 321.6 332.4 
Callie_Thorne/hLfIV498sJs_0000015 341.1 345.4 
Callie_Thorne/hLfIV498sJs_0000016 354.6 362.8 
Callie_Thorne/hLfIV498sJs_0000017 401.7 408.0 
Callie_Thorne/hLfIV498sJs_0000018 423.0 430.8 
Callie_Thorne/hLfIV498sJs_0000019 434.6 439.2 
