POI: 			Callie_Thorne 
Youtube ID: 	yE91nD2j0bQ 
Video length: 	1814.2 sec 
Set (V): 		dev 
 
Callie_Thorne/yE91nD2j0bQ_0000001 15.3 20.3 
Callie_Thorne/yE91nD2j0bQ_0000002 28.1 42.6 
Callie_Thorne/yE91nD2j0bQ_0000003 44.9 64.2 
Callie_Thorne/yE91nD2j0bQ_0000004 66.0 74.8 
Callie_Thorne/yE91nD2j0bQ_0000005 78.6 83.0 
Callie_Thorne/yE91nD2j0bQ_0000006 69.6 77.3 
Callie_Thorne/yE91nD2j0bQ_0000007 121.0 131.2 
Callie_Thorne/yE91nD2j0bQ_0000008 137.4 162.9 
Callie_Thorne/yE91nD2j0bQ_0000009 170.2 184.7 
Callie_Thorne/yE91nD2j0bQ_0000010 185.4 225.8 
Callie_Thorne/yE91nD2j0bQ_0000011 236.4 247.6 
Callie_Thorne/yE91nD2j0bQ_0000012 248.8 253.6 
Callie_Thorne/yE91nD2j0bQ_0000013 257.1 269.7 
Callie_Thorne/yE91nD2j0bQ_0000014 273.2 283.9 
Callie_Thorne/yE91nD2j0bQ_0000015 285.1 293.0 
Callie_Thorne/yE91nD2j0bQ_0000016 293.6 310.4 
Callie_Thorne/yE91nD2j0bQ_0000017 314.4 333.5 
Callie_Thorne/yE91nD2j0bQ_0000018 334.3 340.1 
Callie_Thorne/yE91nD2j0bQ_0000019 350.7 358.2 
Callie_Thorne/yE91nD2j0bQ_0000020 362.4 375.5 
Callie_Thorne/yE91nD2j0bQ_0000021 377.4 383.7 
Callie_Thorne/yE91nD2j0bQ_0000022 396.3 404.6 
Callie_Thorne/yE91nD2j0bQ_0000023 418.1 433.0 
Callie_Thorne/yE91nD2j0bQ_0000024 437.5 443.0 
Callie_Thorne/yE91nD2j0bQ_0000025 443.2 448.4 
Callie_Thorne/yE91nD2j0bQ_0000026 458.1 468.8 
Callie_Thorne/yE91nD2j0bQ_0000027 469.0 483.8 
Callie_Thorne/yE91nD2j0bQ_0000028 504.0 524.3 
Callie_Thorne/yE91nD2j0bQ_0000029 525.7 531.6 
Callie_Thorne/yE91nD2j0bQ_0000030 612.7 616.8 
Callie_Thorne/yE91nD2j0bQ_0000031 620.8 634.0 
Callie_Thorne/yE91nD2j0bQ_0000032 633.5 638.3 
Callie_Thorne/yE91nD2j0bQ_0000033 659.2 673.6 
Callie_Thorne/yE91nD2j0bQ_0000034 686.6 692.5 
Callie_Thorne/yE91nD2j0bQ_0000035 693.5 700.4 
Callie_Thorne/yE91nD2j0bQ_0000036 700.8 705.7 
Callie_Thorne/yE91nD2j0bQ_0000037 716.2 720.8 
Callie_Thorne/yE91nD2j0bQ_0000038 724.4 735.6 
Callie_Thorne/yE91nD2j0bQ_0000039 737.6 756.2 
Callie_Thorne/yE91nD2j0bQ_0000040 771.5 781.7 
Callie_Thorne/yE91nD2j0bQ_0000041 783.4 788.0 
Callie_Thorne/yE91nD2j0bQ_0000042 790.0 805.5 
Callie_Thorne/yE91nD2j0bQ_0000043 809.7 818.4 
Callie_Thorne/yE91nD2j0bQ_0000044 819.3 846.3 
Callie_Thorne/yE91nD2j0bQ_0000045 846.6 857.2 
Callie_Thorne/yE91nD2j0bQ_0000046 884.2 890.0 
Callie_Thorne/yE91nD2j0bQ_0000047 906.4 912.3 
Callie_Thorne/yE91nD2j0bQ_0000048 917.6 940.6 
Callie_Thorne/yE91nD2j0bQ_0000049 942.3 949.2 
Callie_Thorne/yE91nD2j0bQ_0000050 971.0 990.9 
Callie_Thorne/yE91nD2j0bQ_0000051 1024.4 1034.4 
Callie_Thorne/yE91nD2j0bQ_0000052 1035.3 1060.3 
Callie_Thorne/yE91nD2j0bQ_0000053 1097.1 1135.1 
Callie_Thorne/yE91nD2j0bQ_0000054 1155.4 1163.3 
Callie_Thorne/yE91nD2j0bQ_0000055 1165.2 1189.8 
Callie_Thorne/yE91nD2j0bQ_0000056 1190.0 1196.8 
Callie_Thorne/yE91nD2j0bQ_0000057 1200.1 1204.5 
Callie_Thorne/yE91nD2j0bQ_0000058 1279.0 1285.0 
Callie_Thorne/yE91nD2j0bQ_0000059 1303.3 1323.7 
Callie_Thorne/yE91nD2j0bQ_0000060 1333.5 1354.8 
Callie_Thorne/yE91nD2j0bQ_0000061 1365.2 1391.0 
Callie_Thorne/yE91nD2j0bQ_0000062 1393.5 1404.6 
Callie_Thorne/yE91nD2j0bQ_0000063 1404.8 1417.4 
Callie_Thorne/yE91nD2j0bQ_0000064 1425.6 1446.2 
