POI: 			Cindy_Williams 
Youtube ID: 	7aoyaaDcsCw 
Video length: 	305.7 sec 
Set (V): 		dev 
 
Cindy_Williams/7aoyaaDcsCw_0000001 06.5 21.7 
Cindy_Williams/7aoyaaDcsCw_0000002 26.9 49.0 
Cindy_Williams/7aoyaaDcsCw_0000003 52.0 75.2 
Cindy_Williams/7aoyaaDcsCw_0000004 76.1 96.8 
Cindy_Williams/7aoyaaDcsCw_0000005 98.2 110.0 
Cindy_Williams/7aoyaaDcsCw_0000006 111.6 124.0 
Cindy_Williams/7aoyaaDcsCw_0000007 140.2 147.7 
Cindy_Williams/7aoyaaDcsCw_0000008 147.9 167.2 
Cindy_Williams/7aoyaaDcsCw_0000009 170.4 178.7 
Cindy_Williams/7aoyaaDcsCw_0000010 180.4 196.5 
Cindy_Williams/7aoyaaDcsCw_0000011 196.8 203.6 
Cindy_Williams/7aoyaaDcsCw_0000012 208.2 214.7 
Cindy_Williams/7aoyaaDcsCw_0000013 215.0 230.5 
Cindy_Williams/7aoyaaDcsCw_0000014 240.1 246.8 
Cindy_Williams/7aoyaaDcsCw_0000015 252.9 266.1 
Cindy_Williams/7aoyaaDcsCw_0000016 279.2 283.4 
Cindy_Williams/7aoyaaDcsCw_0000017 289.7 296.0 
