POI: 			Darren_Criss 
Youtube ID: 	kMyh9kSFhL8 
Video length: 	2137.8 sec 
Set (V): 		dev 
 
Darren_Criss/kMyh9kSFhL8_0000001 163.0 169.4 
Darren_Criss/kMyh9kSFhL8_0000002 247.1 251.3 
Darren_Criss/kMyh9kSFhL8_0000003 270.1 274.3 
Darren_Criss/kMyh9kSFhL8_0000004 291.4 297.1 
Darren_Criss/kMyh9kSFhL8_0000005 316.4 320.6 
Darren_Criss/kMyh9kSFhL8_0000006 360.0 370.0 
Darren_Criss/kMyh9kSFhL8_0000007 405.0 414.0 
Darren_Criss/kMyh9kSFhL8_0000008 504.3 518.6 
Darren_Criss/kMyh9kSFhL8_0000009 535.8 543.8 
Darren_Criss/kMyh9kSFhL8_0000010 554.4 566.0 
Darren_Criss/kMyh9kSFhL8_0000011 605.8 615.9 
Darren_Criss/kMyh9kSFhL8_0000012 640.8 654.8 
Darren_Criss/kMyh9kSFhL8_0000013 670.6 681.3 
Darren_Criss/kMyh9kSFhL8_0000014 778.8 783.3 
Darren_Criss/kMyh9kSFhL8_0000015 837.3 841.5 
Darren_Criss/kMyh9kSFhL8_0000016 861.3 868.5 
Darren_Criss/kMyh9kSFhL8_0000017 926.2 932.6 
Darren_Criss/kMyh9kSFhL8_0000018 965.4 972.2 
Darren_Criss/kMyh9kSFhL8_0000019 973.8 979.0 
Darren_Criss/kMyh9kSFhL8_0000020 1006.9 1011.5 
Darren_Criss/kMyh9kSFhL8_0000021 1042.2 1048.8 
Darren_Criss/kMyh9kSFhL8_0000022 1068.1 1073.2 
Darren_Criss/kMyh9kSFhL8_0000023 1095.7 1109.9 
Darren_Criss/kMyh9kSFhL8_0000024 1122.4 1126.8 
Darren_Criss/kMyh9kSFhL8_0000025 1153.1 1160.2 
Darren_Criss/kMyh9kSFhL8_0000026 1174.4 1178.7 
Darren_Criss/kMyh9kSFhL8_0000027 1181.2 1191.5 
Darren_Criss/kMyh9kSFhL8_0000028 1202.3 1218.9 
Darren_Criss/kMyh9kSFhL8_0000029 1238.2 1243.4 
Darren_Criss/kMyh9kSFhL8_0000030 1269.1 1278.5 
Darren_Criss/kMyh9kSFhL8_0000031 1301.4 1307.6 
Darren_Criss/kMyh9kSFhL8_0000032 1317.9 1327.0 
Darren_Criss/kMyh9kSFhL8_0000033 1344.2 1354.4 
Darren_Criss/kMyh9kSFhL8_0000034 1355.2 1359.8 
Darren_Criss/kMyh9kSFhL8_0000035 1360.8 1376.9 
Darren_Criss/kMyh9kSFhL8_0000036 1420.8 1425.5 
Darren_Criss/kMyh9kSFhL8_0000037 1446.8 1452.8 
Darren_Criss/kMyh9kSFhL8_0000038 1484.4 1489.0 
Darren_Criss/kMyh9kSFhL8_0000039 1507.9 1512.4 
Darren_Criss/kMyh9kSFhL8_0000040 1545.5 1553.6 
Darren_Criss/kMyh9kSFhL8_0000041 1555.0 1560.2 
Darren_Criss/kMyh9kSFhL8_0000042 1587.3 1597.9 
Darren_Criss/kMyh9kSFhL8_0000043 1629.1 1640.7 
Darren_Criss/kMyh9kSFhL8_0000044 1641.5 1646.8 
Darren_Criss/kMyh9kSFhL8_0000045 1647.4 1655.2 
Darren_Criss/kMyh9kSFhL8_0000046 1726.4 1731.5 
Darren_Criss/kMyh9kSFhL8_0000047 1733.0 1739.0 
Darren_Criss/kMyh9kSFhL8_0000048 1809.3 1820.3 
Darren_Criss/kMyh9kSFhL8_0000049 1994.0 2000.3 
Darren_Criss/kMyh9kSFhL8_0000050 2000.4 2011.8 
Darren_Criss/kMyh9kSFhL8_0000051 2018.9 2023.3 
Darren_Criss/kMyh9kSFhL8_0000052 2047.8 2059.6 
