POI: 			David_Letterman 
Youtube ID: 	wn0q5XJqu6E 
Video length: 	3913.3 sec 
Set (V): 		dev 
 
David_Letterman/wn0q5XJqu6E_0000001 69.7 78.5 
David_Letterman/wn0q5XJqu6E_0000002 135.4 144.2 
David_Letterman/wn0q5XJqu6E_0000003 164.2 176.1 
David_Letterman/wn0q5XJqu6E_0000004 189.8 195.5 
David_Letterman/wn0q5XJqu6E_0000005 219.1 224.7 
David_Letterman/wn0q5XJqu6E_0000006 306.9 313.9 
David_Letterman/wn0q5XJqu6E_0000007 340.4 347.5 
David_Letterman/wn0q5XJqu6E_0000008 352.8 358.7 
David_Letterman/wn0q5XJqu6E_0000009 360.7 366.4 
David_Letterman/wn0q5XJqu6E_0000010 377.4 386.4 
David_Letterman/wn0q5XJqu6E_0000011 404.6 410.0 
David_Letterman/wn0q5XJqu6E_0000012 541.9 557.3 
David_Letterman/wn0q5XJqu6E_0000013 599.5 608.0 
David_Letterman/wn0q5XJqu6E_0000014 675.6 684.6 
David_Letterman/wn0q5XJqu6E_0000015 1102.5 1111.4 
David_Letterman/wn0q5XJqu6E_0000016 1126.8 1132.4 
David_Letterman/wn0q5XJqu6E_0000017 1138.2 1144.0 
David_Letterman/wn0q5XJqu6E_0000018 1189.4 1195.2 
David_Letterman/wn0q5XJqu6E_0000019 1230.6 1246.9 
David_Letterman/wn0q5XJqu6E_0000020 1263.5 1276.2 
David_Letterman/wn0q5XJqu6E_0000021 1286.7 1291.1 
David_Letterman/wn0q5XJqu6E_0000022 1358.5 1362.6 
David_Letterman/wn0q5XJqu6E_0000023 1378.1 1382.7 
David_Letterman/wn0q5XJqu6E_0000024 1387.7 1393.0 
David_Letterman/wn0q5XJqu6E_0000025 1463.7 1473.7 
David_Letterman/wn0q5XJqu6E_0000026 1492.4 1499.8 
David_Letterman/wn0q5XJqu6E_0000027 1520.3 1530.5 
David_Letterman/wn0q5XJqu6E_0000028 1610.4 1616.5 
David_Letterman/wn0q5XJqu6E_0000029 1649.4 1655.0 
David_Letterman/wn0q5XJqu6E_0000030 1697.8 1705.0 
David_Letterman/wn0q5XJqu6E_0000031 1714.6 1718.8 
David_Letterman/wn0q5XJqu6E_0000032 1812.0 1818.8 
David_Letterman/wn0q5XJqu6E_0000033 1885.3 1889.6 
David_Letterman/wn0q5XJqu6E_0000034 1925.0 1933.1 
David_Letterman/wn0q5XJqu6E_0000035 1933.4 1943.4 
David_Letterman/wn0q5XJqu6E_0000036 1951.2 1955.5 
David_Letterman/wn0q5XJqu6E_0000037 2183.8 2192.9 
David_Letterman/wn0q5XJqu6E_0000038 2224.0 2228.6 
David_Letterman/wn0q5XJqu6E_0000039 2260.2 2272.8 
David_Letterman/wn0q5XJqu6E_0000040 2567.3 2582.7 
David_Letterman/wn0q5XJqu6E_0000041 2641.1 2645.7 
David_Letterman/wn0q5XJqu6E_0000042 2730.3 2734.4 
David_Letterman/wn0q5XJqu6E_0000043 2737.9 2742.3 
David_Letterman/wn0q5XJqu6E_0000044 2758.3 2764.6 
David_Letterman/wn0q5XJqu6E_0000045 2791.8 2796.0 
David_Letterman/wn0q5XJqu6E_0000046 2861.0 2867.8 
David_Letterman/wn0q5XJqu6E_0000047 2875.4 2879.7 
David_Letterman/wn0q5XJqu6E_0000048 3118.6 3132.2 
David_Letterman/wn0q5XJqu6E_0000049 3138.0 3151.2 
David_Letterman/wn0q5XJqu6E_0000050 3380.4 3385.6 
David_Letterman/wn0q5XJqu6E_0000051 3421.4 3426.3 
David_Letterman/wn0q5XJqu6E_0000052 3480.7 3489.0 
David_Letterman/wn0q5XJqu6E_0000053 3507.0 3512.7 
