POI: 			David_Tennant 
Youtube ID: 	RBGhSDz2NZU 
Video length: 	707.3 sec 
Set (V): 		dev 
 
David_Tennant/RBGhSDz2NZU_0000001 10.0 44.5 
David_Tennant/RBGhSDz2NZU_0000002 44.9 54.3 
David_Tennant/RBGhSDz2NZU_0000003 55.2 64.0 
David_Tennant/RBGhSDz2NZU_0000004 64.3 78.2 
David_Tennant/RBGhSDz2NZU_0000005 80.1 93.3 
David_Tennant/RBGhSDz2NZU_0000006 99.2 109.5 
David_Tennant/RBGhSDz2NZU_0000007 110.8 125.0 
David_Tennant/RBGhSDz2NZU_0000008 126.9 131.3 
David_Tennant/RBGhSDz2NZU_0000009 143.7 155.4 
David_Tennant/RBGhSDz2NZU_0000010 161.0 167.8 
David_Tennant/RBGhSDz2NZU_0000011 217.1 221.8 
David_Tennant/RBGhSDz2NZU_0000012 228.0 236.1 
David_Tennant/RBGhSDz2NZU_0000013 238.2 242.5 
David_Tennant/RBGhSDz2NZU_0000014 248.4 269.1 
David_Tennant/RBGhSDz2NZU_0000015 270.6 275.2 
David_Tennant/RBGhSDz2NZU_0000016 276.0 286.0 
David_Tennant/RBGhSDz2NZU_0000017 294.4 303.3 
David_Tennant/RBGhSDz2NZU_0000018 305.0 319.2 
David_Tennant/RBGhSDz2NZU_0000019 319.4 325.5 
David_Tennant/RBGhSDz2NZU_0000020 361.2 368.3 
David_Tennant/RBGhSDz2NZU_0000021 418.0 429.5 
David_Tennant/RBGhSDz2NZU_0000022 430.7 444.4 
David_Tennant/RBGhSDz2NZU_0000023 449.2 458.0 
David_Tennant/RBGhSDz2NZU_0000024 474.0 482.1 
David_Tennant/RBGhSDz2NZU_0000025 520.7 525.8 
David_Tennant/RBGhSDz2NZU_0000026 533.2 538.2 
David_Tennant/RBGhSDz2NZU_0000027 552.5 558.4 
David_Tennant/RBGhSDz2NZU_0000028 558.7 563.6 
David_Tennant/RBGhSDz2NZU_0000029 566.3 587.0 
David_Tennant/RBGhSDz2NZU_0000030 589.5 593.6 
David_Tennant/RBGhSDz2NZU_0000031 594.5 611.2 
David_Tennant/RBGhSDz2NZU_0000032 619.5 642.4 
David_Tennant/RBGhSDz2NZU_0000033 644.4 653.9 
