POI: 			Demian_Bichir 
Youtube ID: 	CksSx4W0QZo 
Video length: 	653.1 sec 
Set (V): 		dev 
 
Demian_Bichir/CksSx4W0QZo_0000001 119.9 127.6 
Demian_Bichir/CksSx4W0QZo_0000002 154.8 159.6 
Demian_Bichir/CksSx4W0QZo_0000003 161.6 168.5 
Demian_Bichir/CksSx4W0QZo_0000004 188.6 197.3 
Demian_Bichir/CksSx4W0QZo_0000005 205.7 211.3 
Demian_Bichir/CksSx4W0QZo_0000006 220.5 225.2 
Demian_Bichir/CksSx4W0QZo_0000007 226.4 233.6 
Demian_Bichir/CksSx4W0QZo_0000008 237.6 245.7 
Demian_Bichir/CksSx4W0QZo_0000009 246.0 250.3 
Demian_Bichir/CksSx4W0QZo_0000010 278.1 284.0 
Demian_Bichir/CksSx4W0QZo_0000011 291.0 301.4 
Demian_Bichir/CksSx4W0QZo_0000012 302.4 308.5 
Demian_Bichir/CksSx4W0QZo_0000013 318.1 324.4 
Demian_Bichir/CksSx4W0QZo_0000014 325.6 331.7 
Demian_Bichir/CksSx4W0QZo_0000015 434.2 438.3 
Demian_Bichir/CksSx4W0QZo_0000016 438.5 442.8 
Demian_Bichir/CksSx4W0QZo_0000017 444.3 451.6 
Demian_Bichir/CksSx4W0QZo_0000018 486.3 497.8 
Demian_Bichir/CksSx4W0QZo_0000019 498.0 506.2 
Demian_Bichir/CksSx4W0QZo_0000020 506.6 511.0 
Demian_Bichir/CksSx4W0QZo_0000021 512.0 517.4 
