POI: 			Demian_Bichir 
Youtube ID: 	x00OyO6nyVY 
Video length: 	571.0 sec 
Set (V): 		dev 
 
Demian_Bichir/x00OyO6nyVY_0000001 27.6 32.0 
Demian_Bichir/x00OyO6nyVY_0000002 59.3 64.6 
Demian_Bichir/x00OyO6nyVY_0000003 96.8 103.4 
Demian_Bichir/x00OyO6nyVY_0000004 135.0 141.3 
Demian_Bichir/x00OyO6nyVY_0000005 143.5 149.9 
Demian_Bichir/x00OyO6nyVY_0000006 159.4 165.4 
Demian_Bichir/x00OyO6nyVY_0000007 191.2 197.5 
Demian_Bichir/x00OyO6nyVY_0000008 198.8 203.0 
Demian_Bichir/x00OyO6nyVY_0000009 257.0 261.2 
Demian_Bichir/x00OyO6nyVY_0000010 305.1 309.2 
Demian_Bichir/x00OyO6nyVY_0000011 324.8 329.5 
Demian_Bichir/x00OyO6nyVY_0000012 343.9 348.0 
Demian_Bichir/x00OyO6nyVY_0000013 351.0 357.4 
Demian_Bichir/x00OyO6nyVY_0000014 394.7 401.2 
Demian_Bichir/x00OyO6nyVY_0000015 407.7 413.9 
Demian_Bichir/x00OyO6nyVY_0000016 481.7 486.5 
Demian_Bichir/x00OyO6nyVY_0000017 553.0 557.1 
