POI: 			Diego_Klattenhoff 
Youtube ID: 	MkaafbxlTrA 
Video length: 	1643.2 sec 
Set (V): 		dev 
 
Diego_Klattenhoff/MkaafbxlTrA_0000001 68.5 74.5 
Diego_Klattenhoff/MkaafbxlTrA_0000002 106.0 126.4 
Diego_Klattenhoff/MkaafbxlTrA_0000003 126.7 136.7 
Diego_Klattenhoff/MkaafbxlTrA_0000004 136.8 141.9 
Diego_Klattenhoff/MkaafbxlTrA_0000005 143.9 151.8 
Diego_Klattenhoff/MkaafbxlTrA_0000006 153.0 157.4 
Diego_Klattenhoff/MkaafbxlTrA_0000007 173.9 181.1 
Diego_Klattenhoff/MkaafbxlTrA_0000008 181.7 188.0 
Diego_Klattenhoff/MkaafbxlTrA_0000009 204.7 214.0 
Diego_Klattenhoff/MkaafbxlTrA_0000010 229.5 233.8 
Diego_Klattenhoff/MkaafbxlTrA_0000011 274.9 282.6 
Diego_Klattenhoff/MkaafbxlTrA_0000012 303.8 317.0 
Diego_Klattenhoff/MkaafbxlTrA_0000013 317.5 329.1 
Diego_Klattenhoff/MkaafbxlTrA_0000014 332.5 336.9 
Diego_Klattenhoff/MkaafbxlTrA_0000015 357.4 362.5 
Diego_Klattenhoff/MkaafbxlTrA_0000016 423.0 429.9 
Diego_Klattenhoff/MkaafbxlTrA_0000017 430.7 436.6 
Diego_Klattenhoff/MkaafbxlTrA_0000018 448.4 457.7 
Diego_Klattenhoff/MkaafbxlTrA_0000019 460.4 465.2 
Diego_Klattenhoff/MkaafbxlTrA_0000020 472.0 476.2 
Diego_Klattenhoff/MkaafbxlTrA_0000021 492.2 498.8 
Diego_Klattenhoff/MkaafbxlTrA_0000022 505.8 510.3 
Diego_Klattenhoff/MkaafbxlTrA_0000023 552.2 558.1 
Diego_Klattenhoff/MkaafbxlTrA_0000024 601.8 608.9 
Diego_Klattenhoff/MkaafbxlTrA_0000025 609.5 621.6 
Diego_Klattenhoff/MkaafbxlTrA_0000026 623.4 641.4 
Diego_Klattenhoff/MkaafbxlTrA_0000027 642.5 651.0 
Diego_Klattenhoff/MkaafbxlTrA_0000028 667.9 677.9 
Diego_Klattenhoff/MkaafbxlTrA_0000029 753.1 769.4 
Diego_Klattenhoff/MkaafbxlTrA_0000030 778.6 790.3 
Diego_Klattenhoff/MkaafbxlTrA_0000031 790.4 802.3 
Diego_Klattenhoff/MkaafbxlTrA_0000032 803.9 819.2 
Diego_Klattenhoff/MkaafbxlTrA_0000033 830.8 840.6 
Diego_Klattenhoff/MkaafbxlTrA_0000034 841.4 847.2 
Diego_Klattenhoff/MkaafbxlTrA_0000035 871.0 875.0 
Diego_Klattenhoff/MkaafbxlTrA_0000036 898.5 903.1 
Diego_Klattenhoff/MkaafbxlTrA_0000037 906.6 910.9 
Diego_Klattenhoff/MkaafbxlTrA_0000038 918.7 944.8 
Diego_Klattenhoff/MkaafbxlTrA_0000039 944.9 949.3 
Diego_Klattenhoff/MkaafbxlTrA_0000040 950.3 955.9 
Diego_Klattenhoff/MkaafbxlTrA_0000041 958.1 962.5 
Diego_Klattenhoff/MkaafbxlTrA_0000042 1013.4 1023.4 
Diego_Klattenhoff/MkaafbxlTrA_0000043 1045.6 1057.3 
Diego_Klattenhoff/MkaafbxlTrA_0000044 1058.6 1072.9 
Diego_Klattenhoff/MkaafbxlTrA_0000045 1095.4 1100.0 
Diego_Klattenhoff/MkaafbxlTrA_0000046 1154.0 1159.2 
Diego_Klattenhoff/MkaafbxlTrA_0000047 1159.6 1168.2 
Diego_Klattenhoff/MkaafbxlTrA_0000048 1153.2 1158.2 
Diego_Klattenhoff/MkaafbxlTrA_0000049 1205.7 1212.2 
Diego_Klattenhoff/MkaafbxlTrA_0000050 1213.0 1226.0 
Diego_Klattenhoff/MkaafbxlTrA_0000051 1274.6 1284.6 
Diego_Klattenhoff/MkaafbxlTrA_0000052 1287.0 1294.4 
Diego_Klattenhoff/MkaafbxlTrA_0000053 1295.4 1300.8 
Diego_Klattenhoff/MkaafbxlTrA_0000054 1302.8 1308.0 
Diego_Klattenhoff/MkaafbxlTrA_0000055 1317.4 1322.2 
Diego_Klattenhoff/MkaafbxlTrA_0000056 1325.1 1332.2 
Diego_Klattenhoff/MkaafbxlTrA_0000057 1333.3 1346.3 
Diego_Klattenhoff/MkaafbxlTrA_0000058 1351.9 1357.6 
Diego_Klattenhoff/MkaafbxlTrA_0000059 1358.6 1364.9 
Diego_Klattenhoff/MkaafbxlTrA_0000060 1379.9 1390.9 
Diego_Klattenhoff/MkaafbxlTrA_0000061 1404.1 1410.9 
Diego_Klattenhoff/MkaafbxlTrA_0000062 1413.8 1442.5 
Diego_Klattenhoff/MkaafbxlTrA_0000063 1453.9 1458.4 
Diego_Klattenhoff/MkaafbxlTrA_0000064 1460.6 1480.0 
Diego_Klattenhoff/MkaafbxlTrA_0000065 1480.9 1485.1 
Diego_Klattenhoff/MkaafbxlTrA_0000066 1487.2 1516.6 
Diego_Klattenhoff/MkaafbxlTrA_0000067 1552.0 1566.4 
Diego_Klattenhoff/MkaafbxlTrA_0000068 1569.2 1575.6 
Diego_Klattenhoff/MkaafbxlTrA_0000069 1583.2 1594.2 
Diego_Klattenhoff/MkaafbxlTrA_0000070 1601.0 1610.4 
