POI: 			Eddie_Izzard 
Youtube ID: 	8cfyJEV7hP8 
Video length: 	1678.4 sec 
Set (V): 		test 
 
Eddie_Izzard/8cfyJEV7hP8_0000001 28.5 33.0 
Eddie_Izzard/8cfyJEV7hP8_0000002 135.4 159.3 
Eddie_Izzard/8cfyJEV7hP8_0000003 160.0 167.3 
Eddie_Izzard/8cfyJEV7hP8_0000004 187.0 194.1 
Eddie_Izzard/8cfyJEV7hP8_0000005 206.0 212.0 
Eddie_Izzard/8cfyJEV7hP8_0000006 272.3 278.3 
Eddie_Izzard/8cfyJEV7hP8_0000007 309.0 314.6 
Eddie_Izzard/8cfyJEV7hP8_0000008 366.2 370.6 
Eddie_Izzard/8cfyJEV7hP8_0000009 494.4 499.8 
Eddie_Izzard/8cfyJEV7hP8_0000010 500.2 506.7 
Eddie_Izzard/8cfyJEV7hP8_0000011 539.2 543.1 
Eddie_Izzard/8cfyJEV7hP8_0000012 617.9 623.1 
Eddie_Izzard/8cfyJEV7hP8_0000013 637.8 643.9 
Eddie_Izzard/8cfyJEV7hP8_0000014 643.4 649.2 
Eddie_Izzard/8cfyJEV7hP8_0000015 659.0 663.1 
Eddie_Izzard/8cfyJEV7hP8_0000016 664.8 669.6 
Eddie_Izzard/8cfyJEV7hP8_0000017 722.0 726.0 
Eddie_Izzard/8cfyJEV7hP8_0000018 727.9 732.8 
Eddie_Izzard/8cfyJEV7hP8_0000019 870.8 877.3 
Eddie_Izzard/8cfyJEV7hP8_0000020 881.4 888.9 
Eddie_Izzard/8cfyJEV7hP8_0000021 894.4 901.8 
Eddie_Izzard/8cfyJEV7hP8_0000022 921.1 931.7 
Eddie_Izzard/8cfyJEV7hP8_0000023 932.2 941.7 
Eddie_Izzard/8cfyJEV7hP8_0000024 951.7 964.4 
Eddie_Izzard/8cfyJEV7hP8_0000025 966.5 970.6 
Eddie_Izzard/8cfyJEV7hP8_0000026 987.7 993.2 
Eddie_Izzard/8cfyJEV7hP8_0000027 1103.4 1113.3 
Eddie_Izzard/8cfyJEV7hP8_0000028 1176.7 1183.0 
Eddie_Izzard/8cfyJEV7hP8_0000029 1187.4 1193.1 
Eddie_Izzard/8cfyJEV7hP8_0000030 1225.2 1230.9 
Eddie_Izzard/8cfyJEV7hP8_0000031 1231.4 1274.2 
Eddie_Izzard/8cfyJEV7hP8_0000032 1230.1 1246.1 
Eddie_Izzard/8cfyJEV7hP8_0000033 1295.9 1300.1 
Eddie_Izzard/8cfyJEV7hP8_0000034 1302.3 1306.3 
Eddie_Izzard/8cfyJEV7hP8_0000035 1355.5 1360.7 
Eddie_Izzard/8cfyJEV7hP8_0000036 1405.1 1410.1 
Eddie_Izzard/8cfyJEV7hP8_0000037 1413.6 1418.6 
Eddie_Izzard/8cfyJEV7hP8_0000038 1423.4 1430.0 
Eddie_Izzard/8cfyJEV7hP8_0000039 1479.2 1485.0 
Eddie_Izzard/8cfyJEV7hP8_0000040 1615.8 1619.9 
Eddie_Izzard/8cfyJEV7hP8_0000041 1627.5 1633.0 
