POI: 			Edgar_Wright 
Youtube ID: 	HrA2BLcLApA 
Video length: 	830.1 sec 
Set (V): 		test 
 
Edgar_Wright/HrA2BLcLApA_0000001 14.4 20.9 
Edgar_Wright/HrA2BLcLApA_0000002 33.2 37.2 
Edgar_Wright/HrA2BLcLApA_0000003 78.2 88.3 
Edgar_Wright/HrA2BLcLApA_0000004 102.8 106.8 
Edgar_Wright/HrA2BLcLApA_0000005 123.4 139.7 
Edgar_Wright/HrA2BLcLApA_0000006 153.2 162.0 
Edgar_Wright/HrA2BLcLApA_0000007 168.2 172.9 
Edgar_Wright/HrA2BLcLApA_0000008 190.3 194.8 
Edgar_Wright/HrA2BLcLApA_0000009 206.6 217.0 
Edgar_Wright/HrA2BLcLApA_0000010 234.1 242.6 
Edgar_Wright/HrA2BLcLApA_0000011 277.2 283.1 
Edgar_Wright/HrA2BLcLApA_0000012 313.8 318.1 
Edgar_Wright/HrA2BLcLApA_0000013 326.8 331.0 
Edgar_Wright/HrA2BLcLApA_0000014 411.4 415.4 
Edgar_Wright/HrA2BLcLApA_0000015 432.2 445.6 
Edgar_Wright/HrA2BLcLApA_0000016 459.4 467.5 
Edgar_Wright/HrA2BLcLApA_0000017 468.0 488.8 
Edgar_Wright/HrA2BLcLApA_0000018 538.4 542.9 
Edgar_Wright/HrA2BLcLApA_0000019 551.7 568.2 
Edgar_Wright/HrA2BLcLApA_0000020 570.3 576.4 
Edgar_Wright/HrA2BLcLApA_0000021 627.3 632.1 
Edgar_Wright/HrA2BLcLApA_0000022 642.6 647.9 
Edgar_Wright/HrA2BLcLApA_0000023 683.2 687.4 
Edgar_Wright/HrA2BLcLApA_0000024 723.4 736.7 
Edgar_Wright/HrA2BLcLApA_0000025 750.0 758.0 
Edgar_Wright/HrA2BLcLApA_0000026 768.0 780.1 
Edgar_Wright/HrA2BLcLApA_0000027 791.3 796.9 
