POI: 			Eli_Wallach 
Youtube ID: 	7yx9A0yzLYk 
Video length: 	1679.4 sec 
Set (V): 		test 
 
Eli_Wallach/7yx9A0yzLYk_0000001 179.6 189.8 
Eli_Wallach/7yx9A0yzLYk_0000002 191.9 197.6 
Eli_Wallach/7yx9A0yzLYk_0000003 255.3 261.5 
Eli_Wallach/7yx9A0yzLYk_0000004 266.9 272.2 
Eli_Wallach/7yx9A0yzLYk_0000005 277.4 283.4 
Eli_Wallach/7yx9A0yzLYk_0000006 330.0 335.9 
Eli_Wallach/7yx9A0yzLYk_0000007 346.1 357.7 
Eli_Wallach/7yx9A0yzLYk_0000008 358.4 364.1 
Eli_Wallach/7yx9A0yzLYk_0000009 378.3 386.6 
Eli_Wallach/7yx9A0yzLYk_0000010 378.2 386.4 
Eli_Wallach/7yx9A0yzLYk_0000011 387.1 392.3 
Eli_Wallach/7yx9A0yzLYk_0000012 398.5 408.9 
Eli_Wallach/7yx9A0yzLYk_0000013 428.9 437.4 
Eli_Wallach/7yx9A0yzLYk_0000014 469.2 474.3 
Eli_Wallach/7yx9A0yzLYk_0000015 481.4 488.8 
Eli_Wallach/7yx9A0yzLYk_0000016 491.0 496.7 
Eli_Wallach/7yx9A0yzLYk_0000017 532.8 544.1 
Eli_Wallach/7yx9A0yzLYk_0000018 553.2 560.3 
Eli_Wallach/7yx9A0yzLYk_0000019 586.6 600.4 
Eli_Wallach/7yx9A0yzLYk_0000020 610.1 616.1 
Eli_Wallach/7yx9A0yzLYk_0000021 621.7 631.0 
Eli_Wallach/7yx9A0yzLYk_0000022 662.3 666.6 
Eli_Wallach/7yx9A0yzLYk_0000023 704.4 710.7 
Eli_Wallach/7yx9A0yzLYk_0000024 722.5 732.8 
Eli_Wallach/7yx9A0yzLYk_0000025 747.2 755.3 
Eli_Wallach/7yx9A0yzLYk_0000026 770.0 778.8 
Eli_Wallach/7yx9A0yzLYk_0000027 819.5 824.2 
Eli_Wallach/7yx9A0yzLYk_0000028 835.4 843.5 
Eli_Wallach/7yx9A0yzLYk_0000029 871.0 875.2 
Eli_Wallach/7yx9A0yzLYk_0000030 879.8 884.4 
Eli_Wallach/7yx9A0yzLYk_0000031 994.7 1001.5 
Eli_Wallach/7yx9A0yzLYk_0000032 1002.2 1011.4 
Eli_Wallach/7yx9A0yzLYk_0000033 1122.9 1129.4 
Eli_Wallach/7yx9A0yzLYk_0000034 1230.4 1235.2 
Eli_Wallach/7yx9A0yzLYk_0000035 1257.6 1264.2 
Eli_Wallach/7yx9A0yzLYk_0000036 1265.1 1277.7 
Eli_Wallach/7yx9A0yzLYk_0000037 1279.0 1283.0 
Eli_Wallach/7yx9A0yzLYk_0000038 1406.6 1410.6 
Eli_Wallach/7yx9A0yzLYk_0000039 1414.7 1419.4 
Eli_Wallach/7yx9A0yzLYk_0000040 1437.2 1442.2 
Eli_Wallach/7yx9A0yzLYk_0000041 1477.1 1484.0 
Eli_Wallach/7yx9A0yzLYk_0000042 1484.8 1498.0 
Eli_Wallach/7yx9A0yzLYk_0000043 1500.0 1516.1 
