POI: 			Elle_Fanning 
Youtube ID: 	9K2YB1d8BqY 
Video length: 	305.6 sec 
Set (V): 		test 
 
Elle_Fanning/9K2YB1d8BqY_0000001 11.4 17.2 
Elle_Fanning/9K2YB1d8BqY_0000002 17.7 22.1 
Elle_Fanning/9K2YB1d8BqY_0000003 31.2 38.5 
Elle_Fanning/9K2YB1d8BqY_0000004 39.2 43.2 
Elle_Fanning/9K2YB1d8BqY_0000005 52.4 59.0 
Elle_Fanning/9K2YB1d8BqY_0000006 59.7 77.0 
Elle_Fanning/9K2YB1d8BqY_0000007 93.2 104.6 
Elle_Fanning/9K2YB1d8BqY_0000008 105.1 109.9 
Elle_Fanning/9K2YB1d8BqY_0000009 110.4 115.3 
Elle_Fanning/9K2YB1d8BqY_0000010 116.2 123.0 
Elle_Fanning/9K2YB1d8BqY_0000011 135.8 140.1 
Elle_Fanning/9K2YB1d8BqY_0000012 140.7 148.3 
Elle_Fanning/9K2YB1d8BqY_0000013 149.0 156.2 
Elle_Fanning/9K2YB1d8BqY_0000014 182.3 189.9 
Elle_Fanning/9K2YB1d8BqY_0000015 207.9 215.0 
Elle_Fanning/9K2YB1d8BqY_0000016 219.1 232.7 
Elle_Fanning/9K2YB1d8BqY_0000017 248.2 260.8 
Elle_Fanning/9K2YB1d8BqY_0000018 282.2 303.9 
