POI: 			Ernest_Borgnine 
Youtube ID: 	fAe7DXqrZls 
Video length: 	323.8 sec 
Set (V): 		test 
 
Ernest_Borgnine/fAe7DXqrZls_0000001 25.1 35.9 
Ernest_Borgnine/fAe7DXqrZls_0000002 51.6 60.7 
Ernest_Borgnine/fAe7DXqrZls_0000003 66.1 74.0 
Ernest_Borgnine/fAe7DXqrZls_0000004 77.1 88.5 
Ernest_Borgnine/fAe7DXqrZls_0000005 101.8 108.2 
Ernest_Borgnine/fAe7DXqrZls_0000006 110.1 114.2 
Ernest_Borgnine/fAe7DXqrZls_0000007 123.5 131.0 
Ernest_Borgnine/fAe7DXqrZls_0000008 133.0 146.2 
Ernest_Borgnine/fAe7DXqrZls_0000009 51.5 60.4 
Ernest_Borgnine/fAe7DXqrZls_0000010 66.2 73.8 
Ernest_Borgnine/fAe7DXqrZls_0000011 75.1 88.5 
Ernest_Borgnine/fAe7DXqrZls_0000012 96.9 102.1 
Ernest_Borgnine/fAe7DXqrZls_0000013 149.7 171.4 
Ernest_Borgnine/fAe7DXqrZls_0000014 182.6 189.6 
Ernest_Borgnine/fAe7DXqrZls_0000015 174.6 181.8 
Ernest_Borgnine/fAe7DXqrZls_0000016 182.2 189.6 
Ernest_Borgnine/fAe7DXqrZls_0000017 191.9 202.1 
Ernest_Borgnine/fAe7DXqrZls_0000018 202.4 211.1 
Ernest_Borgnine/fAe7DXqrZls_0000019 220.0 230.8 
Ernest_Borgnine/fAe7DXqrZls_0000020 233.8 241.5 
Ernest_Borgnine/fAe7DXqrZls_0000021 254.3 258.5 
