POI: 			Fiona_Shaw 
Youtube ID: 	gJ6UJ-_ZMlY 
Video length: 	1020.6 sec 
Set (V): 		dev 
 
Fiona_Shaw/gJ6UJ-_ZMlY_0000001 105.8 117.4 
Fiona_Shaw/gJ6UJ-_ZMlY_0000002 119.4 125.9 
Fiona_Shaw/gJ6UJ-_ZMlY_0000003 130.4 136.4 
Fiona_Shaw/gJ6UJ-_ZMlY_0000004 143.4 150.8 
Fiona_Shaw/gJ6UJ-_ZMlY_0000005 160.7 168.5 
Fiona_Shaw/gJ6UJ-_ZMlY_0000006 175.3 192.4 
Fiona_Shaw/gJ6UJ-_ZMlY_0000007 222.6 236.4 
Fiona_Shaw/gJ6UJ-_ZMlY_0000008 241.2 253.2 
Fiona_Shaw/gJ6UJ-_ZMlY_0000009 255.3 282.2 
Fiona_Shaw/gJ6UJ-_ZMlY_0000010 286.6 319.0 
Fiona_Shaw/gJ6UJ-_ZMlY_0000011 330.9 352.0 
Fiona_Shaw/gJ6UJ-_ZMlY_0000012 352.4 358.2 
Fiona_Shaw/gJ6UJ-_ZMlY_0000013 358.9 378.8 
Fiona_Shaw/gJ6UJ-_ZMlY_0000014 379.0 386.5 
Fiona_Shaw/gJ6UJ-_ZMlY_0000015 391.2 409.3 
Fiona_Shaw/gJ6UJ-_ZMlY_0000016 431.9 443.7 
Fiona_Shaw/gJ6UJ-_ZMlY_0000017 450.4 471.8 
Fiona_Shaw/gJ6UJ-_ZMlY_0000018 489.8 497.5 
Fiona_Shaw/gJ6UJ-_ZMlY_0000019 505.9 518.2 
Fiona_Shaw/gJ6UJ-_ZMlY_0000020 521.5 525.8 
Fiona_Shaw/gJ6UJ-_ZMlY_0000021 535.9 549.1 
Fiona_Shaw/gJ6UJ-_ZMlY_0000022 551.0 557.3 
Fiona_Shaw/gJ6UJ-_ZMlY_0000023 559.6 575.3 
Fiona_Shaw/gJ6UJ-_ZMlY_0000024 575.4 582.4 
Fiona_Shaw/gJ6UJ-_ZMlY_0000025 594.8 599.9 
Fiona_Shaw/gJ6UJ-_ZMlY_0000026 607.4 613.0 
Fiona_Shaw/gJ6UJ-_ZMlY_0000027 636.0 643.2 
Fiona_Shaw/gJ6UJ-_ZMlY_0000028 645.1 654.0 
Fiona_Shaw/gJ6UJ-_ZMlY_0000029 655.1 664.6 
Fiona_Shaw/gJ6UJ-_ZMlY_0000030 665.3 671.4 
Fiona_Shaw/gJ6UJ-_ZMlY_0000031 671.9 685.0 
Fiona_Shaw/gJ6UJ-_ZMlY_0000032 699.3 707.9 
Fiona_Shaw/gJ6UJ-_ZMlY_0000033 714.8 724.0 
Fiona_Shaw/gJ6UJ-_ZMlY_0000034 726.4 732.6 
Fiona_Shaw/gJ6UJ-_ZMlY_0000035 733.0 739.9 
Fiona_Shaw/gJ6UJ-_ZMlY_0000036 764.4 776.6 
Fiona_Shaw/gJ6UJ-_ZMlY_0000037 788.0 802.0 
Fiona_Shaw/gJ6UJ-_ZMlY_0000038 803.7 810.0 
Fiona_Shaw/gJ6UJ-_ZMlY_0000039 814.0 820.6 
Fiona_Shaw/gJ6UJ-_ZMlY_0000040 852.0 861.1 
Fiona_Shaw/gJ6UJ-_ZMlY_0000041 872.3 889.0 
Fiona_Shaw/gJ6UJ-_ZMlY_0000042 897.8 904.2 
Fiona_Shaw/gJ6UJ-_ZMlY_0000043 922.8 936.6 
Fiona_Shaw/gJ6UJ-_ZMlY_0000044 938.7 946.8 
Fiona_Shaw/gJ6UJ-_ZMlY_0000045 951.2 956.7 
Fiona_Shaw/gJ6UJ-_ZMlY_0000046 958.7 965.5 
Fiona_Shaw/gJ6UJ-_ZMlY_0000047 966.4 977.6 
Fiona_Shaw/gJ6UJ-_ZMlY_0000048 981.6 987.7 
