POI: 			Garry_Marshall 
Youtube ID: 	XPnrUmxql7Y 
Video length: 	420.3 sec 
Set (V): 		dev 
 
Garry_Marshall/XPnrUmxql7Y_0000001 14.6 21.0 
Garry_Marshall/XPnrUmxql7Y_0000002 23.1 33.1 
Garry_Marshall/XPnrUmxql7Y_0000003 33.7 45.4 
Garry_Marshall/XPnrUmxql7Y_0000004 49.5 66.7 
Garry_Marshall/XPnrUmxql7Y_0000005 68.1 80.2 
Garry_Marshall/XPnrUmxql7Y_0000006 81.1 88.6 
Garry_Marshall/XPnrUmxql7Y_0000007 89.2 93.9 
Garry_Marshall/XPnrUmxql7Y_0000008 97.5 102.8 
Garry_Marshall/XPnrUmxql7Y_0000009 107.0 113.7 
Garry_Marshall/XPnrUmxql7Y_0000010 115.6 134.4 
Garry_Marshall/XPnrUmxql7Y_0000011 136.1 155.2 
Garry_Marshall/XPnrUmxql7Y_0000012 157.2 165.9 
Garry_Marshall/XPnrUmxql7Y_0000013 166.0 171.8 
Garry_Marshall/XPnrUmxql7Y_0000014 173.7 197.2 
Garry_Marshall/XPnrUmxql7Y_0000015 201.6 210.2 
Garry_Marshall/XPnrUmxql7Y_0000016 211.3 228.2 
Garry_Marshall/XPnrUmxql7Y_0000017 229.0 247.1 
Garry_Marshall/XPnrUmxql7Y_0000018 249.1 258.4 
Garry_Marshall/XPnrUmxql7Y_0000019 261.0 267.4 
Garry_Marshall/XPnrUmxql7Y_0000020 268.2 280.7 
Garry_Marshall/XPnrUmxql7Y_0000021 283.7 297.3 
Garry_Marshall/XPnrUmxql7Y_0000022 300.6 313.2 
Garry_Marshall/XPnrUmxql7Y_0000023 318.2 333.6 
Garry_Marshall/XPnrUmxql7Y_0000024 335.1 340.1 
Garry_Marshall/XPnrUmxql7Y_0000025 340.4 365.9 
Garry_Marshall/XPnrUmxql7Y_0000026 332.6 336.7 
Garry_Marshall/XPnrUmxql7Y_0000027 367.7 381.4 
Garry_Marshall/XPnrUmxql7Y_0000028 381.5 392.9 
Garry_Marshall/XPnrUmxql7Y_0000029 400.8 408.1 
