POI: 			Gilles_Marini 
Youtube ID: 	0g15HJePJM4 
Video length: 	230.6 sec 
Set (V): 		dev 
 
Gilles_Marini/0g15HJePJM4_0000001 01.1 07.6 
Gilles_Marini/0g15HJePJM4_0000002 08.0 13.4 
Gilles_Marini/0g15HJePJM4_0000003 27.0 32.7 
Gilles_Marini/0g15HJePJM4_0000004 33.8 41.1 
Gilles_Marini/0g15HJePJM4_0000005 41.7 48.4 
Gilles_Marini/0g15HJePJM4_0000006 52.6 69.9 
Gilles_Marini/0g15HJePJM4_0000007 74.0 91.6 
Gilles_Marini/0g15HJePJM4_0000008 94.2 100.1 
Gilles_Marini/0g15HJePJM4_0000009 100.5 108.2 
Gilles_Marini/0g15HJePJM4_0000010 112.2 116.8 
Gilles_Marini/0g15HJePJM4_0000011 119.8 124.4 
Gilles_Marini/0g15HJePJM4_0000012 125.4 136.4 
Gilles_Marini/0g15HJePJM4_0000013 136.9 146.3 
Gilles_Marini/0g15HJePJM4_0000014 146.6 154.4 
Gilles_Marini/0g15HJePJM4_0000015 155.5 159.6 
Gilles_Marini/0g15HJePJM4_0000016 159.7 164.3 
Gilles_Marini/0g15HJePJM4_0000017 173.7 180.3 
Gilles_Marini/0g15HJePJM4_0000018 181.7 190.4 
Gilles_Marini/0g15HJePJM4_0000019 191.2 206.2 
Gilles_Marini/0g15HJePJM4_0000020 224.4 228.8 
