POI: 			Gloria_Steinem 
Youtube ID: 	NQxx1WJcaE8 
Video length: 	1686.2 sec 
Set (V): 		dev 
 
Gloria_Steinem/NQxx1WJcaE8_0000001 76.8 81.0 
Gloria_Steinem/NQxx1WJcaE8_0000002 86.8 91.9 
Gloria_Steinem/NQxx1WJcaE8_0000003 97.2 104.0 
Gloria_Steinem/NQxx1WJcaE8_0000004 107.5 115.5 
Gloria_Steinem/NQxx1WJcaE8_0000005 116.1 124.9 
Gloria_Steinem/NQxx1WJcaE8_0000006 127.3 132.6 
Gloria_Steinem/NQxx1WJcaE8_0000007 180.9 189.0 
Gloria_Steinem/NQxx1WJcaE8_0000008 192.6 196.7 
Gloria_Steinem/NQxx1WJcaE8_0000009 198.4 203.5 
Gloria_Steinem/NQxx1WJcaE8_0000010 215.5 220.2 
Gloria_Steinem/NQxx1WJcaE8_0000011 280.4 286.9 
Gloria_Steinem/NQxx1WJcaE8_0000012 291.0 297.4 
Gloria_Steinem/NQxx1WJcaE8_0000013 297.6 302.2 
Gloria_Steinem/NQxx1WJcaE8_0000014 311.4 315.9 
Gloria_Steinem/NQxx1WJcaE8_0000015 316.8 321.3 
Gloria_Steinem/NQxx1WJcaE8_0000016 321.7 326.0 
Gloria_Steinem/NQxx1WJcaE8_0000017 361.1 367.2 
Gloria_Steinem/NQxx1WJcaE8_0000018 389.9 395.9 
Gloria_Steinem/NQxx1WJcaE8_0000019 419.4 424.0 
Gloria_Steinem/NQxx1WJcaE8_0000020 439.3 449.6 
Gloria_Steinem/NQxx1WJcaE8_0000021 458.9 465.8 
Gloria_Steinem/NQxx1WJcaE8_0000022 471.1 475.2 
Gloria_Steinem/NQxx1WJcaE8_0000023 478.9 485.9 
Gloria_Steinem/NQxx1WJcaE8_0000024 486.0 492.3 
Gloria_Steinem/NQxx1WJcaE8_0000025 514.0 522.3 
Gloria_Steinem/NQxx1WJcaE8_0000026 523.1 527.2 
Gloria_Steinem/NQxx1WJcaE8_0000027 529.0 541.7 
Gloria_Steinem/NQxx1WJcaE8_0000028 556.6 562.1 
Gloria_Steinem/NQxx1WJcaE8_0000029 574.8 583.2 
Gloria_Steinem/NQxx1WJcaE8_0000030 592.2 602.5 
Gloria_Steinem/NQxx1WJcaE8_0000031 603.6 607.6 
Gloria_Steinem/NQxx1WJcaE8_0000032 630.6 640.6 
Gloria_Steinem/NQxx1WJcaE8_0000033 640.8 644.9 
Gloria_Steinem/NQxx1WJcaE8_0000034 669.0 680.9 
Gloria_Steinem/NQxx1WJcaE8_0000035 682.9 689.7 
Gloria_Steinem/NQxx1WJcaE8_0000036 733.6 739.6 
Gloria_Steinem/NQxx1WJcaE8_0000037 757.4 762.4 
Gloria_Steinem/NQxx1WJcaE8_0000038 813.0 817.0 
Gloria_Steinem/NQxx1WJcaE8_0000039 812.6 817.3 
Gloria_Steinem/NQxx1WJcaE8_0000040 847.1 854.6 
Gloria_Steinem/NQxx1WJcaE8_0000041 862.6 872.8 
Gloria_Steinem/NQxx1WJcaE8_0000042 874.2 878.7 
Gloria_Steinem/NQxx1WJcaE8_0000043 924.2 928.4 
Gloria_Steinem/NQxx1WJcaE8_0000044 933.8 940.2 
Gloria_Steinem/NQxx1WJcaE8_0000045 945.3 950.4 
Gloria_Steinem/NQxx1WJcaE8_0000046 952.6 960.2 
Gloria_Steinem/NQxx1WJcaE8_0000047 991.3 995.3 
Gloria_Steinem/NQxx1WJcaE8_0000048 1000.1 1006.6 
Gloria_Steinem/NQxx1WJcaE8_0000049 1013.0 1019.9 
Gloria_Steinem/NQxx1WJcaE8_0000050 1053.7 1058.5 
Gloria_Steinem/NQxx1WJcaE8_0000051 1121.6 1126.6 
Gloria_Steinem/NQxx1WJcaE8_0000052 1158.0 1162.3 
Gloria_Steinem/NQxx1WJcaE8_0000053 1195.2 1199.5 
Gloria_Steinem/NQxx1WJcaE8_0000054 1210.0 1214.0 
Gloria_Steinem/NQxx1WJcaE8_0000055 1224.5 1229.7 
Gloria_Steinem/NQxx1WJcaE8_0000056 1236.1 1242.0 
Gloria_Steinem/NQxx1WJcaE8_0000057 1248.8 1252.8 
Gloria_Steinem/NQxx1WJcaE8_0000058 1253.3 1258.4 
Gloria_Steinem/NQxx1WJcaE8_0000059 1339.6 1353.6 
Gloria_Steinem/NQxx1WJcaE8_0000060 1353.8 1359.6 
Gloria_Steinem/NQxx1WJcaE8_0000061 1399.0 1404.6 
Gloria_Steinem/NQxx1WJcaE8_0000062 1408.8 1414.8 
Gloria_Steinem/NQxx1WJcaE8_0000063 1430.4 1436.3 
Gloria_Steinem/NQxx1WJcaE8_0000064 1510.6 1516.4 
Gloria_Steinem/NQxx1WJcaE8_0000065 1518.8 1530.0 
Gloria_Steinem/NQxx1WJcaE8_0000066 1611.4 1617.2 
