POI: 			Gloria_Steinem 
Youtube ID: 	yJ5DFQQbOZU 
Video length: 	843.7 sec 
Set (V): 		dev 
 
Gloria_Steinem/yJ5DFQQbOZU_0000001 97.3 110.2 
Gloria_Steinem/yJ5DFQQbOZU_0000002 111.4 115.9 
Gloria_Steinem/yJ5DFQQbOZU_0000003 162.4 167.0 
Gloria_Steinem/yJ5DFQQbOZU_0000004 206.7 212.6 
Gloria_Steinem/yJ5DFQQbOZU_0000005 271.0 277.0 
Gloria_Steinem/yJ5DFQQbOZU_0000006 376.0 381.8 
Gloria_Steinem/yJ5DFQQbOZU_0000007 483.2 487.5 
Gloria_Steinem/yJ5DFQQbOZU_0000008 489.7 495.3 
Gloria_Steinem/yJ5DFQQbOZU_0000009 496.1 502.9 
Gloria_Steinem/yJ5DFQQbOZU_0000010 503.2 509.3 
Gloria_Steinem/yJ5DFQQbOZU_0000011 515.8 522.7 
Gloria_Steinem/yJ5DFQQbOZU_0000012 569.0 585.2 
Gloria_Steinem/yJ5DFQQbOZU_0000013 681.6 686.0 
Gloria_Steinem/yJ5DFQQbOZU_0000014 691.6 698.0 
Gloria_Steinem/yJ5DFQQbOZU_0000015 710.6 714.9 
Gloria_Steinem/yJ5DFQQbOZU_0000016 738.0 742.2 
Gloria_Steinem/yJ5DFQQbOZU_0000017 754.8 763.0 
Gloria_Steinem/yJ5DFQQbOZU_0000018 766.5 772.9 
Gloria_Steinem/yJ5DFQQbOZU_0000019 773.8 780.4 
Gloria_Steinem/yJ5DFQQbOZU_0000020 789.5 793.7 
Gloria_Steinem/yJ5DFQQbOZU_0000021 794.9 802.4 
Gloria_Steinem/yJ5DFQQbOZU_0000022 804.4 808.7 
