POI: 			Guy_Pearce 
Youtube ID: 	3NhaEc1RPaM 
Video length: 	1010.7 sec 
Set (V): 		dev 
 
Guy_Pearce/3NhaEc1RPaM_0000001 75.1 84.4 
Guy_Pearce/3NhaEc1RPaM_0000002 60.1 64.1 
Guy_Pearce/3NhaEc1RPaM_0000003 71.1 75.8 
Guy_Pearce/3NhaEc1RPaM_0000004 95.8 107.4 
Guy_Pearce/3NhaEc1RPaM_0000005 111.3 119.6 
Guy_Pearce/3NhaEc1RPaM_0000006 122.7 128.9 
Guy_Pearce/3NhaEc1RPaM_0000007 130.8 138.9 
Guy_Pearce/3NhaEc1RPaM_0000008 142.0 146.9 
Guy_Pearce/3NhaEc1RPaM_0000009 155.3 159.3 
Guy_Pearce/3NhaEc1RPaM_0000010 161.8 173.5 
Guy_Pearce/3NhaEc1RPaM_0000011 175.8 180.5 
Guy_Pearce/3NhaEc1RPaM_0000012 188.3 202.8 
Guy_Pearce/3NhaEc1RPaM_0000013 212.5 217.2 
Guy_Pearce/3NhaEc1RPaM_0000014 217.8 231.0 
Guy_Pearce/3NhaEc1RPaM_0000015 234.1 241.8 
Guy_Pearce/3NhaEc1RPaM_0000016 243.7 249.0 
Guy_Pearce/3NhaEc1RPaM_0000017 249.8 265.9 
Guy_Pearce/3NhaEc1RPaM_0000018 276.4 295.4 
Guy_Pearce/3NhaEc1RPaM_0000019 304.0 309.8 
Guy_Pearce/3NhaEc1RPaM_0000020 315.9 323.8 
Guy_Pearce/3NhaEc1RPaM_0000021 323.9 328.6 
Guy_Pearce/3NhaEc1RPaM_0000022 335.8 342.0 
Guy_Pearce/3NhaEc1RPaM_0000023 342.6 357.6 
Guy_Pearce/3NhaEc1RPaM_0000024 358.7 385.7 
Guy_Pearce/3NhaEc1RPaM_0000025 393.6 399.3 
Guy_Pearce/3NhaEc1RPaM_0000026 412.4 423.1 
Guy_Pearce/3NhaEc1RPaM_0000027 426.0 433.0 
Guy_Pearce/3NhaEc1RPaM_0000028 437.1 448.5 
Guy_Pearce/3NhaEc1RPaM_0000029 449.2 455.4 
Guy_Pearce/3NhaEc1RPaM_0000030 459.0 463.0 
Guy_Pearce/3NhaEc1RPaM_0000031 468.3 472.9 
Guy_Pearce/3NhaEc1RPaM_0000032 458.8 467.3 
Guy_Pearce/3NhaEc1RPaM_0000033 468.2 473.8 
Guy_Pearce/3NhaEc1RPaM_0000034 499.2 509.8 
Guy_Pearce/3NhaEc1RPaM_0000035 508.4 513.2 
Guy_Pearce/3NhaEc1RPaM_0000036 518.3 524.0 
Guy_Pearce/3NhaEc1RPaM_0000037 524.2 532.3 
Guy_Pearce/3NhaEc1RPaM_0000038 532.8 539.0 
Guy_Pearce/3NhaEc1RPaM_0000039 552.8 557.3 
Guy_Pearce/3NhaEc1RPaM_0000040 558.9 562.9 
Guy_Pearce/3NhaEc1RPaM_0000041 586.1 604.1 
Guy_Pearce/3NhaEc1RPaM_0000042 627.9 632.9 
Guy_Pearce/3NhaEc1RPaM_0000043 633.5 652.2 
Guy_Pearce/3NhaEc1RPaM_0000044 658.6 665.2 
Guy_Pearce/3NhaEc1RPaM_0000045 666.1 671.1 
Guy_Pearce/3NhaEc1RPaM_0000046 678.8 691.4 
Guy_Pearce/3NhaEc1RPaM_0000047 700.1 705.4 
Guy_Pearce/3NhaEc1RPaM_0000048 727.0 734.9 
Guy_Pearce/3NhaEc1RPaM_0000049 753.5 760.6 
Guy_Pearce/3NhaEc1RPaM_0000050 761.2 767.0 
Guy_Pearce/3NhaEc1RPaM_0000051 787.9 804.7 
Guy_Pearce/3NhaEc1RPaM_0000052 810.8 822.0 
Guy_Pearce/3NhaEc1RPaM_0000053 826.5 833.4 
Guy_Pearce/3NhaEc1RPaM_0000054 834.8 849.6 
Guy_Pearce/3NhaEc1RPaM_0000055 858.4 862.9 
Guy_Pearce/3NhaEc1RPaM_0000056 863.2 869.0 
Guy_Pearce/3NhaEc1RPaM_0000057 892.0 900.3 
Guy_Pearce/3NhaEc1RPaM_0000058 906.6 911.3 
Guy_Pearce/3NhaEc1RPaM_0000059 915.6 922.5 
Guy_Pearce/3NhaEc1RPaM_0000060 931.1 938.5 
Guy_Pearce/3NhaEc1RPaM_0000061 949.6 956.7 
Guy_Pearce/3NhaEc1RPaM_0000062 957.5 965.3 
Guy_Pearce/3NhaEc1RPaM_0000063 965.7 977.4 
Guy_Pearce/3NhaEc1RPaM_0000064 983.8 987.8 
Guy_Pearce/3NhaEc1RPaM_0000065 989.3 1000.5 
