POI: 			Hailee_Steinfeld 
Youtube ID: 	5ad_KUPOvLc 
Video length: 	211.6 sec 
Set (V): 		dev 
 
Hailee_Steinfeld/5ad_KUPOvLc_0000001 02.6 07.6 
Hailee_Steinfeld/5ad_KUPOvLc_0000002 09.5 18.0 
Hailee_Steinfeld/5ad_KUPOvLc_0000003 28.2 35.2 
Hailee_Steinfeld/5ad_KUPOvLc_0000004 45.1 50.1 
Hailee_Steinfeld/5ad_KUPOvLc_0000005 52.2 63.2 
Hailee_Steinfeld/5ad_KUPOvLc_0000006 66.9 71.3 
Hailee_Steinfeld/5ad_KUPOvLc_0000007 72.5 78.4 
Hailee_Steinfeld/5ad_KUPOvLc_0000008 79.7 91.0 
Hailee_Steinfeld/5ad_KUPOvLc_0000009 97.0 102.0 
Hailee_Steinfeld/5ad_KUPOvLc_0000010 103.1 111.0 
Hailee_Steinfeld/5ad_KUPOvLc_0000011 116.8 125.4 
Hailee_Steinfeld/5ad_KUPOvLc_0000012 132.8 153.8 
Hailee_Steinfeld/5ad_KUPOvLc_0000013 160.9 167.0 
Hailee_Steinfeld/5ad_KUPOvLc_0000014 167.4 185.0 
Hailee_Steinfeld/5ad_KUPOvLc_0000015 194.1 198.7 
Hailee_Steinfeld/5ad_KUPOvLc_0000016 200.1 207.0 
