POI: 			Hailee_Steinfeld 
Youtube ID: 	KykX5_j6J6s 
Video length: 	420.3 sec 
Set (V): 		dev 
 
Hailee_Steinfeld/KykX5_j6J6s_0000001 26.1 31.1 
Hailee_Steinfeld/KykX5_j6J6s_0000002 31.3 39.2 
Hailee_Steinfeld/KykX5_j6J6s_0000003 72.9 78.0 
Hailee_Steinfeld/KykX5_j6J6s_0000004 88.7 93.1 
Hailee_Steinfeld/KykX5_j6J6s_0000005 94.1 99.7 
Hailee_Steinfeld/KykX5_j6J6s_0000006 100.8 112.1 
Hailee_Steinfeld/KykX5_j6J6s_0000007 112.5 118.7 
Hailee_Steinfeld/KykX5_j6J6s_0000008 119.6 134.2 
Hailee_Steinfeld/KykX5_j6J6s_0000009 134.4 138.7 
Hailee_Steinfeld/KykX5_j6J6s_0000010 160.2 168.6 
Hailee_Steinfeld/KykX5_j6J6s_0000011 169.2 177.6 
Hailee_Steinfeld/KykX5_j6J6s_0000012 182.4 188.1 
Hailee_Steinfeld/KykX5_j6J6s_0000013 189.2 223.0 
Hailee_Steinfeld/KykX5_j6J6s_0000014 250.2 255.8 
Hailee_Steinfeld/KykX5_j6J6s_0000015 268.1 272.6 
Hailee_Steinfeld/KykX5_j6J6s_0000016 273.2 281.2 
Hailee_Steinfeld/KykX5_j6J6s_0000017 284.4 292.2 
Hailee_Steinfeld/KykX5_j6J6s_0000018 328.4 335.2 
Hailee_Steinfeld/KykX5_j6J6s_0000019 373.0 378.0 
Hailee_Steinfeld/KykX5_j6J6s_0000020 378.8 387.2 
Hailee_Steinfeld/KykX5_j6J6s_0000021 388.0 401.5 
Hailee_Steinfeld/KykX5_j6J6s_0000022 403.1 409.2 
