POI: 			Hailee_Steinfeld 
Youtube ID: 	t4ivCDhpcvw 
Video length: 	1939.9 sec 
Set (V): 		dev 
 
Hailee_Steinfeld/t4ivCDhpcvw_0000001 104.3 114.6 
Hailee_Steinfeld/t4ivCDhpcvw_0000002 115.3 123.1 
Hailee_Steinfeld/t4ivCDhpcvw_0000003 125.0 142.7 
Hailee_Steinfeld/t4ivCDhpcvw_0000004 167.4 177.4 
Hailee_Steinfeld/t4ivCDhpcvw_0000005 199.8 203.8 
Hailee_Steinfeld/t4ivCDhpcvw_0000006 204.2 232.3 
Hailee_Steinfeld/t4ivCDhpcvw_0000007 240.0 246.8 
Hailee_Steinfeld/t4ivCDhpcvw_0000008 247.9 267.2 
Hailee_Steinfeld/t4ivCDhpcvw_0000009 273.7 279.2 
Hailee_Steinfeld/t4ivCDhpcvw_0000010 282.0 288.2 
Hailee_Steinfeld/t4ivCDhpcvw_0000011 288.9 293.4 
Hailee_Steinfeld/t4ivCDhpcvw_0000012 297.3 304.9 
Hailee_Steinfeld/t4ivCDhpcvw_0000013 306.4 311.9 
Hailee_Steinfeld/t4ivCDhpcvw_0000014 312.3 318.6 
Hailee_Steinfeld/t4ivCDhpcvw_0000015 324.6 329.3 
Hailee_Steinfeld/t4ivCDhpcvw_0000016 329.8 339.3 
Hailee_Steinfeld/t4ivCDhpcvw_0000017 362.6 372.0 
Hailee_Steinfeld/t4ivCDhpcvw_0000018 399.3 403.2 
Hailee_Steinfeld/t4ivCDhpcvw_0000019 429.8 435.6 
Hailee_Steinfeld/t4ivCDhpcvw_0000020 462.8 470.8 
Hailee_Steinfeld/t4ivCDhpcvw_0000021 491.4 498.0 
Hailee_Steinfeld/t4ivCDhpcvw_0000022 501.7 507.9 
Hailee_Steinfeld/t4ivCDhpcvw_0000023 510.3 516.4 
Hailee_Steinfeld/t4ivCDhpcvw_0000024 532.4 540.6 
Hailee_Steinfeld/t4ivCDhpcvw_0000025 545.1 550.8 
Hailee_Steinfeld/t4ivCDhpcvw_0000026 551.5 557.4 
Hailee_Steinfeld/t4ivCDhpcvw_0000027 565.5 575.3 
Hailee_Steinfeld/t4ivCDhpcvw_0000028 595.6 599.8 
Hailee_Steinfeld/t4ivCDhpcvw_0000029 605.2 609.3 
Hailee_Steinfeld/t4ivCDhpcvw_0000030 610.8 619.2 
Hailee_Steinfeld/t4ivCDhpcvw_0000031 619.4 625.0 
Hailee_Steinfeld/t4ivCDhpcvw_0000032 627.3 631.6 
Hailee_Steinfeld/t4ivCDhpcvw_0000033 658.0 678.3 
Hailee_Steinfeld/t4ivCDhpcvw_0000034 692.1 709.6 
Hailee_Steinfeld/t4ivCDhpcvw_0000035 715.0 724.3 
Hailee_Steinfeld/t4ivCDhpcvw_0000036 728.0 734.0 
Hailee_Steinfeld/t4ivCDhpcvw_0000037 738.9 745.5 
Hailee_Steinfeld/t4ivCDhpcvw_0000038 759.8 765.5 
Hailee_Steinfeld/t4ivCDhpcvw_0000039 788.9 801.1 
Hailee_Steinfeld/t4ivCDhpcvw_0000040 803.5 807.8 
Hailee_Steinfeld/t4ivCDhpcvw_0000041 809.9 819.5 
