POI: 			Harvey_Keitel 
Youtube ID: 	ewtrj4bTGh4 
Video length: 	607.5 sec 
Set (V): 		dev 
 
Harvey_Keitel/ewtrj4bTGh4_0000001 47.2 51.7 
Harvey_Keitel/ewtrj4bTGh4_0000002 58.5 63.0 
Harvey_Keitel/ewtrj4bTGh4_0000003 67.2 72.4 
Harvey_Keitel/ewtrj4bTGh4_0000004 93.5 99.0 
Harvey_Keitel/ewtrj4bTGh4_0000005 109.5 120.1 
Harvey_Keitel/ewtrj4bTGh4_0000006 126.5 135.8 
Harvey_Keitel/ewtrj4bTGh4_0000007 162.6 167.0 
Harvey_Keitel/ewtrj4bTGh4_0000008 177.6 181.6 
Harvey_Keitel/ewtrj4bTGh4_0000009 187.2 191.4 
Harvey_Keitel/ewtrj4bTGh4_0000010 208.3 214.5 
Harvey_Keitel/ewtrj4bTGh4_0000011 222.4 227.1 
Harvey_Keitel/ewtrj4bTGh4_0000012 240.2 244.2 
Harvey_Keitel/ewtrj4bTGh4_0000013 251.3 257.7 
Harvey_Keitel/ewtrj4bTGh4_0000014 258.8 262.7 
Harvey_Keitel/ewtrj4bTGh4_0000015 305.4 321.5 
Harvey_Keitel/ewtrj4bTGh4_0000016 325.2 342.7 
Harvey_Keitel/ewtrj4bTGh4_0000017 350.9 356.5 
Harvey_Keitel/ewtrj4bTGh4_0000018 356.7 363.9 
Harvey_Keitel/ewtrj4bTGh4_0000019 373.6 379.2 
Harvey_Keitel/ewtrj4bTGh4_0000020 380.2 385.8 
Harvey_Keitel/ewtrj4bTGh4_0000021 449.6 458.7 
Harvey_Keitel/ewtrj4bTGh4_0000022 480.5 487.2 
Harvey_Keitel/ewtrj4bTGh4_0000023 540.4 545.7 
Harvey_Keitel/ewtrj4bTGh4_0000024 558.4 567.6 
