POI: 			Helena_Bonham_Carter 
Youtube ID: 	As6mA6iabAc 
Video length: 	617.2 sec 
Set (V): 		dev 
 
Helena_Bonham_Carter/As6mA6iabAc_0000001 42.4 46.7 
Helena_Bonham_Carter/As6mA6iabAc_0000002 56.6 65.3 
Helena_Bonham_Carter/As6mA6iabAc_0000003 69.8 74.1 
Helena_Bonham_Carter/As6mA6iabAc_0000004 74.8 80.2 
Helena_Bonham_Carter/As6mA6iabAc_0000005 83.3 89.5 
Helena_Bonham_Carter/As6mA6iabAc_0000006 109.3 113.5 
Helena_Bonham_Carter/As6mA6iabAc_0000007 118.1 127.1 
Helena_Bonham_Carter/As6mA6iabAc_0000008 131.0 136.6 
Helena_Bonham_Carter/As6mA6iabAc_0000009 149.7 164.2 
Helena_Bonham_Carter/As6mA6iabAc_0000010 169.6 180.4 
Helena_Bonham_Carter/As6mA6iabAc_0000011 186.0 200.6 
Helena_Bonham_Carter/As6mA6iabAc_0000012 210.8 215.4 
Helena_Bonham_Carter/As6mA6iabAc_0000013 219.0 232.7 
Helena_Bonham_Carter/As6mA6iabAc_0000014 259.8 266.8 
Helena_Bonham_Carter/As6mA6iabAc_0000015 277.0 286.2 
Helena_Bonham_Carter/As6mA6iabAc_0000016 287.4 292.6 
Helena_Bonham_Carter/As6mA6iabAc_0000017 298.9 303.5 
Helena_Bonham_Carter/As6mA6iabAc_0000018 353.9 358.1 
Helena_Bonham_Carter/As6mA6iabAc_0000019 365.1 378.4 
Helena_Bonham_Carter/As6mA6iabAc_0000020 404.6 408.7 
Helena_Bonham_Carter/As6mA6iabAc_0000021 445.2 452.2 
Helena_Bonham_Carter/As6mA6iabAc_0000022 476.2 481.3 
Helena_Bonham_Carter/As6mA6iabAc_0000023 503.7 508.5 
Helena_Bonham_Carter/As6mA6iabAc_0000024 512.4 524.1 
Helena_Bonham_Carter/As6mA6iabAc_0000025 524.8 528.8 
Helena_Bonham_Carter/As6mA6iabAc_0000026 536.6 543.8 
Helena_Bonham_Carter/As6mA6iabAc_0000027 544.7 550.3 
Helena_Bonham_Carter/As6mA6iabAc_0000028 551.7 555.7 
Helena_Bonham_Carter/As6mA6iabAc_0000029 597.2 604.5 
