POI: 			Helena_Bonham_Carter 
Youtube ID: 	zpBmE9J8AQw 
Video length: 	268.9 sec 
Set (V): 		dev 
 
Helena_Bonham_Carter/zpBmE9J8AQw_0000001 37.7 43.7 
Helena_Bonham_Carter/zpBmE9J8AQw_0000002 34.2 44.2 
Helena_Bonham_Carter/zpBmE9J8AQw_0000003 48.3 55.5 
Helena_Bonham_Carter/zpBmE9J8AQw_0000004 70.8 77.4 
Helena_Bonham_Carter/zpBmE9J8AQw_0000005 77.6 90.8 
Helena_Bonham_Carter/zpBmE9J8AQw_0000006 91.6 96.1 
Helena_Bonham_Carter/zpBmE9J8AQw_0000007 127.3 133.3 
Helena_Bonham_Carter/zpBmE9J8AQw_0000008 134.4 138.4 
Helena_Bonham_Carter/zpBmE9J8AQw_0000009 153.0 158.8 
Helena_Bonham_Carter/zpBmE9J8AQw_0000010 166.1 170.4 
Helena_Bonham_Carter/zpBmE9J8AQw_0000011 170.8 178.6 
Helena_Bonham_Carter/zpBmE9J8AQw_0000012 195.1 201.4 
Helena_Bonham_Carter/zpBmE9J8AQw_0000013 202.3 207.7 
Helena_Bonham_Carter/zpBmE9J8AQw_0000014 208.1 212.4 
Helena_Bonham_Carter/zpBmE9J8AQw_0000015 219.2 223.5 
Helena_Bonham_Carter/zpBmE9J8AQw_0000016 225.9 233.9 
Helena_Bonham_Carter/zpBmE9J8AQw_0000017 235.9 240.6 
Helena_Bonham_Carter/zpBmE9J8AQw_0000018 243.0 250.7 
Helena_Bonham_Carter/zpBmE9J8AQw_0000019 251.8 256.6 
Helena_Bonham_Carter/zpBmE9J8AQw_0000020 257.8 261.8 
