POI: 			Hugh_Jackman 
Youtube ID: 	1O5YJIGl1X4 
Video length: 	2638.2 sec 
Set (V): 		dev 
 
Hugh_Jackman/1O5YJIGl1X4_0000001 154.3 168.0 
Hugh_Jackman/1O5YJIGl1X4_0000002 273.7 281.5 
Hugh_Jackman/1O5YJIGl1X4_0000003 326.8 331.1 
Hugh_Jackman/1O5YJIGl1X4_0000004 541.0 546.0 
Hugh_Jackman/1O5YJIGl1X4_0000005 645.7 652.1 
Hugh_Jackman/1O5YJIGl1X4_0000006 819.5 828.0 
Hugh_Jackman/1O5YJIGl1X4_0000007 831.6 836.4 
Hugh_Jackman/1O5YJIGl1X4_0000008 843.6 850.1 
Hugh_Jackman/1O5YJIGl1X4_0000009 1032.6 1038.0 
Hugh_Jackman/1O5YJIGl1X4_0000010 1219.4 1227.4 
Hugh_Jackman/1O5YJIGl1X4_0000011 1347.0 1355.9 
Hugh_Jackman/1O5YJIGl1X4_0000012 1357.0 1364.5 
Hugh_Jackman/1O5YJIGl1X4_0000013 1647.3 1651.3 
Hugh_Jackman/1O5YJIGl1X4_0000014 1665.4 1670.1 
Hugh_Jackman/1O5YJIGl1X4_0000015 1680.4 1689.3 
Hugh_Jackman/1O5YJIGl1X4_0000016 1715.2 1720.4 
Hugh_Jackman/1O5YJIGl1X4_0000017 1752.1 1760.7 
Hugh_Jackman/1O5YJIGl1X4_0000018 1767.9 1773.9 
Hugh_Jackman/1O5YJIGl1X4_0000019 1910.6 1917.5 
Hugh_Jackman/1O5YJIGl1X4_0000020 1945.7 1950.2 
Hugh_Jackman/1O5YJIGl1X4_0000021 2223.9 2228.1 
Hugh_Jackman/1O5YJIGl1X4_0000022 2269.3 2275.4 
Hugh_Jackman/1O5YJIGl1X4_0000023 2516.1 2529.2 
Hugh_Jackman/1O5YJIGl1X4_0000024 2529.7 2536.3 
