POI: 			Irrfan_Khan 
Youtube ID: 	dTOyxqXd_5M 
Video length: 	1901.1 sec 
Set (V): 		dev 
 
Irrfan_Khan/dTOyxqXd_5M_0000001 118.6 127.0 
Irrfan_Khan/dTOyxqXd_5M_0000002 128.0 132.2 
Irrfan_Khan/dTOyxqXd_5M_0000003 161.2 167.9 
Irrfan_Khan/dTOyxqXd_5M_0000004 209.8 222.5 
Irrfan_Khan/dTOyxqXd_5M_0000005 231.7 236.6 
Irrfan_Khan/dTOyxqXd_5M_0000006 284.2 289.5 
Irrfan_Khan/dTOyxqXd_5M_0000007 290.2 295.0 
Irrfan_Khan/dTOyxqXd_5M_0000008 314.6 326.4 
Irrfan_Khan/dTOyxqXd_5M_0000009 347.8 351.9 
Irrfan_Khan/dTOyxqXd_5M_0000010 393.2 397.6 
Irrfan_Khan/dTOyxqXd_5M_0000011 399.7 403.8 
Irrfan_Khan/dTOyxqXd_5M_0000012 464.4 473.0 
Irrfan_Khan/dTOyxqXd_5M_0000013 495.9 503.3 
Irrfan_Khan/dTOyxqXd_5M_0000014 511.5 516.2 
Irrfan_Khan/dTOyxqXd_5M_0000015 548.6 554.9 
Irrfan_Khan/dTOyxqXd_5M_0000016 565.0 569.8 
Irrfan_Khan/dTOyxqXd_5M_0000017 578.2 586.5 
Irrfan_Khan/dTOyxqXd_5M_0000018 589.4 598.3 
Irrfan_Khan/dTOyxqXd_5M_0000019 652.6 656.8 
Irrfan_Khan/dTOyxqXd_5M_0000020 667.0 672.7 
Irrfan_Khan/dTOyxqXd_5M_0000021 691.5 695.9 
Irrfan_Khan/dTOyxqXd_5M_0000022 749.7 755.0 
Irrfan_Khan/dTOyxqXd_5M_0000023 787.4 793.2 
Irrfan_Khan/dTOyxqXd_5M_0000024 831.0 836.2 
Irrfan_Khan/dTOyxqXd_5M_0000025 947.3 954.8 
Irrfan_Khan/dTOyxqXd_5M_0000026 988.3 993.0 
Irrfan_Khan/dTOyxqXd_5M_0000027 1009.0 1013.4 
Irrfan_Khan/dTOyxqXd_5M_0000028 1047.6 1052.2 
Irrfan_Khan/dTOyxqXd_5M_0000029 1054.2 1061.5 
Irrfan_Khan/dTOyxqXd_5M_0000030 1106.8 1113.6 
Irrfan_Khan/dTOyxqXd_5M_0000031 1127.2 1131.8 
Irrfan_Khan/dTOyxqXd_5M_0000032 1134.3 1141.4 
Irrfan_Khan/dTOyxqXd_5M_0000033 1179.1 1183.9 
Irrfan_Khan/dTOyxqXd_5M_0000034 1194.6 1200.4 
Irrfan_Khan/dTOyxqXd_5M_0000035 1207.7 1212.0 
Irrfan_Khan/dTOyxqXd_5M_0000036 1230.3 1234.4 
Irrfan_Khan/dTOyxqXd_5M_0000037 1240.8 1245.6 
Irrfan_Khan/dTOyxqXd_5M_0000038 1263.8 1269.4 
Irrfan_Khan/dTOyxqXd_5M_0000039 1297.4 1301.5 
Irrfan_Khan/dTOyxqXd_5M_0000040 1509.1 1514.8 
Irrfan_Khan/dTOyxqXd_5M_0000041 1520.7 1530.6 
Irrfan_Khan/dTOyxqXd_5M_0000042 1541.2 1551.8 
Irrfan_Khan/dTOyxqXd_5M_0000043 1561.7 1566.6 
Irrfan_Khan/dTOyxqXd_5M_0000044 1685.6 1690.6 
