POI: 			Irrfan_Khan 
Youtube ID: 	oyWxfzbelHo 
Video length: 	1102.8 sec 
Set (V): 		dev 
 
Irrfan_Khan/oyWxfzbelHo_0000001 18.8 25.5 
Irrfan_Khan/oyWxfzbelHo_0000002 52.0 58.2 
Irrfan_Khan/oyWxfzbelHo_0000003 80.9 85.1 
Irrfan_Khan/oyWxfzbelHo_0000004 88.2 95.3 
Irrfan_Khan/oyWxfzbelHo_0000005 99.6 104.0 
Irrfan_Khan/oyWxfzbelHo_0000006 144.5 148.6 
Irrfan_Khan/oyWxfzbelHo_0000007 172.5 179.7 
Irrfan_Khan/oyWxfzbelHo_0000008 182.8 192.2 
Irrfan_Khan/oyWxfzbelHo_0000009 208.8 214.6 
Irrfan_Khan/oyWxfzbelHo_0000010 223.8 229.6 
Irrfan_Khan/oyWxfzbelHo_0000011 253.9 258.6 
Irrfan_Khan/oyWxfzbelHo_0000012 308.4 319.2 
Irrfan_Khan/oyWxfzbelHo_0000013 323.1 330.6 
Irrfan_Khan/oyWxfzbelHo_0000014 334.4 341.5 
Irrfan_Khan/oyWxfzbelHo_0000015 361.9 367.0 
Irrfan_Khan/oyWxfzbelHo_0000016 397.2 405.7 
Irrfan_Khan/oyWxfzbelHo_0000017 411.0 416.2 
Irrfan_Khan/oyWxfzbelHo_0000018 423.2 428.3 
Irrfan_Khan/oyWxfzbelHo_0000019 433.9 446.6 
Irrfan_Khan/oyWxfzbelHo_0000020 479.3 485.0 
Irrfan_Khan/oyWxfzbelHo_0000021 488.4 494.1 
Irrfan_Khan/oyWxfzbelHo_0000022 503.2 509.3 
Irrfan_Khan/oyWxfzbelHo_0000023 512.3 518.5 
Irrfan_Khan/oyWxfzbelHo_0000024 519.3 525.3 
Irrfan_Khan/oyWxfzbelHo_0000025 528.7 535.4 
Irrfan_Khan/oyWxfzbelHo_0000026 539.4 543.6 
Irrfan_Khan/oyWxfzbelHo_0000027 552.3 560.7 
Irrfan_Khan/oyWxfzbelHo_0000028 566.0 575.0 
Irrfan_Khan/oyWxfzbelHo_0000029 665.6 674.0 
Irrfan_Khan/oyWxfzbelHo_0000030 695.0 702.4 
Irrfan_Khan/oyWxfzbelHo_0000031 705.1 713.1 
Irrfan_Khan/oyWxfzbelHo_0000032 757.6 767.8 
Irrfan_Khan/oyWxfzbelHo_0000033 773.3 777.5 
Irrfan_Khan/oyWxfzbelHo_0000034 785.2 789.2 
Irrfan_Khan/oyWxfzbelHo_0000035 811.8 821.8 
Irrfan_Khan/oyWxfzbelHo_0000036 826.8 834.1 
Irrfan_Khan/oyWxfzbelHo_0000037 843.1 847.7 
Irrfan_Khan/oyWxfzbelHo_0000038 863.8 868.4 
Irrfan_Khan/oyWxfzbelHo_0000039 881.2 887.3 
Irrfan_Khan/oyWxfzbelHo_0000040 892.6 898.3 
Irrfan_Khan/oyWxfzbelHo_0000041 926.8 931.4 
Irrfan_Khan/oyWxfzbelHo_0000042 934.3 938.5 
Irrfan_Khan/oyWxfzbelHo_0000043 941.5 948.1 
Irrfan_Khan/oyWxfzbelHo_0000044 986.5 991.8 
Irrfan_Khan/oyWxfzbelHo_0000045 1002.6 1009.4 
Irrfan_Khan/oyWxfzbelHo_0000046 1032.0 1039.7 
