POI: 			Izabella_Scorupco 
Youtube ID: 	nyJn3tjjpG4 
Video length: 	1565.1 sec 
Set (V): 		dev 
 
Izabella_Scorupco/nyJn3tjjpG4_0000001 36.1 40.4 
Izabella_Scorupco/nyJn3tjjpG4_0000002 42.6 47.6 
Izabella_Scorupco/nyJn3tjjpG4_0000003 56.8 63.6 
Izabella_Scorupco/nyJn3tjjpG4_0000004 90.0 94.4 
Izabella_Scorupco/nyJn3tjjpG4_0000005 174.0 180.4 
Izabella_Scorupco/nyJn3tjjpG4_0000006 194.5 204.7 
Izabella_Scorupco/nyJn3tjjpG4_0000007 266.5 271.7 
Izabella_Scorupco/nyJn3tjjpG4_0000008 297.0 305.4 
Izabella_Scorupco/nyJn3tjjpG4_0000009 357.1 361.2 
Izabella_Scorupco/nyJn3tjjpG4_0000010 374.8 384.5 
Izabella_Scorupco/nyJn3tjjpG4_0000011 421.6 430.3 
Izabella_Scorupco/nyJn3tjjpG4_0000012 505.1 510.7 
Izabella_Scorupco/nyJn3tjjpG4_0000013 549.3 555.4 
Izabella_Scorupco/nyJn3tjjpG4_0000014 660.4 669.8 
Izabella_Scorupco/nyJn3tjjpG4_0000015 720.7 727.9 
Izabella_Scorupco/nyJn3tjjpG4_0000016 836.0 849.6 
Izabella_Scorupco/nyJn3tjjpG4_0000017 940.8 948.7 
Izabella_Scorupco/nyJn3tjjpG4_0000018 1002.0 1007.8 
Izabella_Scorupco/nyJn3tjjpG4_0000019 1058.5 1065.4 
Izabella_Scorupco/nyJn3tjjpG4_0000020 1069.7 1074.3 
Izabella_Scorupco/nyJn3tjjpG4_0000021 1086.4 1090.6 
Izabella_Scorupco/nyJn3tjjpG4_0000022 1129.6 1133.6 
Izabella_Scorupco/nyJn3tjjpG4_0000023 1173.3 1178.0 
Izabella_Scorupco/nyJn3tjjpG4_0000024 1297.4 1302.9 
Izabella_Scorupco/nyJn3tjjpG4_0000025 1319.1 1324.9 
Izabella_Scorupco/nyJn3tjjpG4_0000026 1362.6 1370.5 
Izabella_Scorupco/nyJn3tjjpG4_0000027 1452.8 1459.0 
