POI: 			Izabella_Scorupco 
Youtube ID: 	o6p9dvMaLE4 
Video length: 	786.4 sec 
Set (V): 		dev 
 
Izabella_Scorupco/o6p9dvMaLE4_0000001 21.2 25.6 
Izabella_Scorupco/o6p9dvMaLE4_0000002 34.6 42.7 
Izabella_Scorupco/o6p9dvMaLE4_0000003 43.2 53.0 
Izabella_Scorupco/o6p9dvMaLE4_0000004 69.4 77.1 
Izabella_Scorupco/o6p9dvMaLE4_0000005 77.8 82.0 
Izabella_Scorupco/o6p9dvMaLE4_0000006 94.0 100.4 
Izabella_Scorupco/o6p9dvMaLE4_0000007 106.9 117.8 
Izabella_Scorupco/o6p9dvMaLE4_0000008 222.8 236.2 
Izabella_Scorupco/o6p9dvMaLE4_0000009 240.4 249.8 
Izabella_Scorupco/o6p9dvMaLE4_0000010 274.3 279.4 
Izabella_Scorupco/o6p9dvMaLE4_0000011 285.4 290.5 
Izabella_Scorupco/o6p9dvMaLE4_0000012 311.7 317.8 
Izabella_Scorupco/o6p9dvMaLE4_0000013 350.6 356.6 
Izabella_Scorupco/o6p9dvMaLE4_0000014 357.4 367.2 
Izabella_Scorupco/o6p9dvMaLE4_0000015 377.6 394.7 
Izabella_Scorupco/o6p9dvMaLE4_0000016 412.2 417.6 
Izabella_Scorupco/o6p9dvMaLE4_0000017 439.6 444.8 
Izabella_Scorupco/o6p9dvMaLE4_0000018 464.3 468.4 
Izabella_Scorupco/o6p9dvMaLE4_0000019 492.4 497.3 
Izabella_Scorupco/o6p9dvMaLE4_0000020 500.2 506.9 
Izabella_Scorupco/o6p9dvMaLE4_0000021 513.9 519.7 
Izabella_Scorupco/o6p9dvMaLE4_0000022 543.7 548.2 
Izabella_Scorupco/o6p9dvMaLE4_0000023 553.0 557.6 
Izabella_Scorupco/o6p9dvMaLE4_0000024 596.7 608.0 
Izabella_Scorupco/o6p9dvMaLE4_0000025 610.6 615.7 
Izabella_Scorupco/o6p9dvMaLE4_0000026 643.0 650.4 
Izabella_Scorupco/o6p9dvMaLE4_0000027 657.4 662.5 
Izabella_Scorupco/o6p9dvMaLE4_0000028 689.8 695.5 
Izabella_Scorupco/o6p9dvMaLE4_0000029 695.9 700.1 
Izabella_Scorupco/o6p9dvMaLE4_0000030 700.7 714.6 
Izabella_Scorupco/o6p9dvMaLE4_0000031 725.4 735.9 
Izabella_Scorupco/o6p9dvMaLE4_0000032 749.1 766.0 
Izabella_Scorupco/o6p9dvMaLE4_0000033 767.0 772.0 
