POI: 			Jacqueline_Fernandez 
Youtube ID: 	V7a9XPy6Q5U 
Video length: 	1131.0 sec 
Set (V): 		dev 
 
Jacqueline_Fernandez/V7a9XPy6Q5U_0000001 105.7 115.4 
Jacqueline_Fernandez/V7a9XPy6Q5U_0000002 215.8 220.0 
Jacqueline_Fernandez/V7a9XPy6Q5U_0000003 259.0 267.4 
Jacqueline_Fernandez/V7a9XPy6Q5U_0000004 291.8 297.4 
Jacqueline_Fernandez/V7a9XPy6Q5U_0000005 317.1 321.9 
Jacqueline_Fernandez/V7a9XPy6Q5U_0000006 378.6 384.0 
Jacqueline_Fernandez/V7a9XPy6Q5U_0000007 418.3 422.9 
Jacqueline_Fernandez/V7a9XPy6Q5U_0000008 433.9 438.4 
Jacqueline_Fernandez/V7a9XPy6Q5U_0000009 449.7 454.5 
Jacqueline_Fernandez/V7a9XPy6Q5U_0000010 470.6 475.1 
Jacqueline_Fernandez/V7a9XPy6Q5U_0000011 489.5 493.6 
Jacqueline_Fernandez/V7a9XPy6Q5U_0000012 506.6 510.8 
Jacqueline_Fernandez/V7a9XPy6Q5U_0000013 539.8 545.8 
Jacqueline_Fernandez/V7a9XPy6Q5U_0000014 550.9 555.5 
Jacqueline_Fernandez/V7a9XPy6Q5U_0000015 565.2 571.2 
Jacqueline_Fernandez/V7a9XPy6Q5U_0000016 605.7 610.7 
Jacqueline_Fernandez/V7a9XPy6Q5U_0000017 619.6 627.9 
Jacqueline_Fernandez/V7a9XPy6Q5U_0000018 648.1 652.1 
Jacqueline_Fernandez/V7a9XPy6Q5U_0000019 656.0 661.2 
Jacqueline_Fernandez/V7a9XPy6Q5U_0000020 688.4 693.3 
Jacqueline_Fernandez/V7a9XPy6Q5U_0000021 726.5 731.0 
Jacqueline_Fernandez/V7a9XPy6Q5U_0000022 734.9 740.4 
