POI: 			Jake_Johnson 
Youtube ID: 	d6vzz99CWjY 
Video length: 	1789.9 sec 
Set (V): 		dev 
 
Jake_Johnson/d6vzz99CWjY_0000001 26.0 30.7 
Jake_Johnson/d6vzz99CWjY_0000002 34.5 40.2 
Jake_Johnson/d6vzz99CWjY_0000003 40.8 48.0 
Jake_Johnson/d6vzz99CWjY_0000004 51.9 66.8 
Jake_Johnson/d6vzz99CWjY_0000005 68.2 79.2 
Jake_Johnson/d6vzz99CWjY_0000006 115.3 121.2 
Jake_Johnson/d6vzz99CWjY_0000007 124.7 131.8 
Jake_Johnson/d6vzz99CWjY_0000008 150.2 156.2 
Jake_Johnson/d6vzz99CWjY_0000009 166.0 171.6 
Jake_Johnson/d6vzz99CWjY_0000010 177.9 182.8 
Jake_Johnson/d6vzz99CWjY_0000011 231.6 235.9 
Jake_Johnson/d6vzz99CWjY_0000012 258.6 266.1 
Jake_Johnson/d6vzz99CWjY_0000013 304.4 308.9 
Jake_Johnson/d6vzz99CWjY_0000014 309.7 317.8 
Jake_Johnson/d6vzz99CWjY_0000015 322.0 327.0 
Jake_Johnson/d6vzz99CWjY_0000016 343.6 348.0 
Jake_Johnson/d6vzz99CWjY_0000017 391.3 396.3 
Jake_Johnson/d6vzz99CWjY_0000018 403.1 407.9 
Jake_Johnson/d6vzz99CWjY_0000019 408.0 412.4 
Jake_Johnson/d6vzz99CWjY_0000020 446.0 452.2 
Jake_Johnson/d6vzz99CWjY_0000021 452.8 468.8 
Jake_Johnson/d6vzz99CWjY_0000022 484.6 489.0 
Jake_Johnson/d6vzz99CWjY_0000023 495.5 505.0 
Jake_Johnson/d6vzz99CWjY_0000024 540.5 544.6 
Jake_Johnson/d6vzz99CWjY_0000025 548.4 557.0 
Jake_Johnson/d6vzz99CWjY_0000026 563.8 586.4 
Jake_Johnson/d6vzz99CWjY_0000027 612.4 617.7 
Jake_Johnson/d6vzz99CWjY_0000028 625.8 634.7 
Jake_Johnson/d6vzz99CWjY_0000029 695.0 701.0 
Jake_Johnson/d6vzz99CWjY_0000030 701.8 707.5 
Jake_Johnson/d6vzz99CWjY_0000031 749.0 753.8 
Jake_Johnson/d6vzz99CWjY_0000032 768.0 774.2 
Jake_Johnson/d6vzz99CWjY_0000033 783.4 792.5 
Jake_Johnson/d6vzz99CWjY_0000034 838.1 844.0 
Jake_Johnson/d6vzz99CWjY_0000035 882.2 897.2 
Jake_Johnson/d6vzz99CWjY_0000036 902.7 918.1 
Jake_Johnson/d6vzz99CWjY_0000037 1070.4 1077.7 
Jake_Johnson/d6vzz99CWjY_0000038 1078.6 1082.8 
Jake_Johnson/d6vzz99CWjY_0000039 1083.6 1088.7 
Jake_Johnson/d6vzz99CWjY_0000040 1091.0 1095.3 
Jake_Johnson/d6vzz99CWjY_0000041 1110.6 1116.2 
Jake_Johnson/d6vzz99CWjY_0000042 1227.2 1231.4 
Jake_Johnson/d6vzz99CWjY_0000043 1292.8 1298.3 
Jake_Johnson/d6vzz99CWjY_0000044 1306.8 1311.6 
Jake_Johnson/d6vzz99CWjY_0000045 1328.8 1335.1 
Jake_Johnson/d6vzz99CWjY_0000046 1338.4 1342.5 
Jake_Johnson/d6vzz99CWjY_0000047 1348.1 1354.8 
Jake_Johnson/d6vzz99CWjY_0000048 1358.0 1364.6 
Jake_Johnson/d6vzz99CWjY_0000049 1388.6 1392.8 
Jake_Johnson/d6vzz99CWjY_0000050 1399.9 1404.4 
Jake_Johnson/d6vzz99CWjY_0000051 1404.6 1409.3 
Jake_Johnson/d6vzz99CWjY_0000052 1417.5 1423.3 
Jake_Johnson/d6vzz99CWjY_0000053 1428.1 1433.2 
Jake_Johnson/d6vzz99CWjY_0000054 1484.8 1490.9 
Jake_Johnson/d6vzz99CWjY_0000055 1510.2 1523.3 
Jake_Johnson/d6vzz99CWjY_0000056 1568.4 1572.8 
Jake_Johnson/d6vzz99CWjY_0000057 1641.2 1648.1 
Jake_Johnson/d6vzz99CWjY_0000058 1665.0 1672.0 
Jake_Johnson/d6vzz99CWjY_0000059 1703.0 1707.0 
Jake_Johnson/d6vzz99CWjY_0000060 1727.9 1731.9 
Jake_Johnson/d6vzz99CWjY_0000061 1738.2 1742.6 
Jake_Johnson/d6vzz99CWjY_0000062 1755.4 1759.9 
