POI: 			Jamel_Debbouze 
Youtube ID: 	HZmFvIVjqnY 
Video length: 	547.2 sec 
Set (V): 		dev 
 
Jamel_Debbouze/HZmFvIVjqnY_0000001 22.0 26.4 
Jamel_Debbouze/HZmFvIVjqnY_0000002 44.9 49.9 
Jamel_Debbouze/HZmFvIVjqnY_0000003 93.5 97.9 
Jamel_Debbouze/HZmFvIVjqnY_0000004 137.8 142.8 
Jamel_Debbouze/HZmFvIVjqnY_0000005 149.1 157.7 
Jamel_Debbouze/HZmFvIVjqnY_0000006 169.5 175.7 
Jamel_Debbouze/HZmFvIVjqnY_0000007 200.2 205.5 
Jamel_Debbouze/HZmFvIVjqnY_0000008 207.2 212.4 
Jamel_Debbouze/HZmFvIVjqnY_0000009 214.9 222.0 
Jamel_Debbouze/HZmFvIVjqnY_0000010 275.9 280.2 
Jamel_Debbouze/HZmFvIVjqnY_0000011 303.0 310.3 
Jamel_Debbouze/HZmFvIVjqnY_0000012 357.3 366.2 
Jamel_Debbouze/HZmFvIVjqnY_0000013 366.4 371.8 
Jamel_Debbouze/HZmFvIVjqnY_0000014 400.0 405.2 
Jamel_Debbouze/HZmFvIVjqnY_0000015 449.8 454.9 
Jamel_Debbouze/HZmFvIVjqnY_0000016 489.8 496.6 
