POI: 			Jenna_Coleman 
Youtube ID: 	TB04ilqbLMw 
Video length: 	558.2 sec 
Set (V): 		dev 
 
Jenna_Coleman/TB04ilqbLMw_0000001 37.4 44.2 
Jenna_Coleman/TB04ilqbLMw_0000002 55.4 60.7 
Jenna_Coleman/TB04ilqbLMw_0000003 62.3 72.9 
Jenna_Coleman/TB04ilqbLMw_0000004 80.4 84.6 
Jenna_Coleman/TB04ilqbLMw_0000005 163.6 174.8 
Jenna_Coleman/TB04ilqbLMw_0000006 181.9 187.5 
Jenna_Coleman/TB04ilqbLMw_0000007 217.4 222.8 
Jenna_Coleman/TB04ilqbLMw_0000008 225.2 229.3 
Jenna_Coleman/TB04ilqbLMw_0000009 254.6 265.1 
Jenna_Coleman/TB04ilqbLMw_0000010 276.5 291.8 
Jenna_Coleman/TB04ilqbLMw_0000011 295.3 300.9 
Jenna_Coleman/TB04ilqbLMw_0000012 302.6 307.6 
Jenna_Coleman/TB04ilqbLMw_0000013 329.2 336.3 
Jenna_Coleman/TB04ilqbLMw_0000014 360.5 364.6 
Jenna_Coleman/TB04ilqbLMw_0000015 370.0 380.9 
Jenna_Coleman/TB04ilqbLMw_0000016 424.7 435.4 
Jenna_Coleman/TB04ilqbLMw_0000017 436.6 441.2 
Jenna_Coleman/TB04ilqbLMw_0000018 442.6 447.1 
Jenna_Coleman/TB04ilqbLMw_0000019 468.2 475.8 
Jenna_Coleman/TB04ilqbLMw_0000020 486.5 492.2 
Jenna_Coleman/TB04ilqbLMw_0000021 503.3 512.6 
Jenna_Coleman/TB04ilqbLMw_0000022 540.8 546.4 
