POI: 			Jeremy_Irons 
Youtube ID: 	M8hvFMX1xEA 
Video length: 	1549.5 sec 
Set (V): 		dev 
 
Jeremy_Irons/M8hvFMX1xEA_0000001 67.8 73.2 
Jeremy_Irons/M8hvFMX1xEA_0000002 73.4 77.8 
Jeremy_Irons/M8hvFMX1xEA_0000003 78.5 83.1 
Jeremy_Irons/M8hvFMX1xEA_0000004 109.1 114.4 
Jeremy_Irons/M8hvFMX1xEA_0000005 175.0 181.4 
Jeremy_Irons/M8hvFMX1xEA_0000006 188.9 198.1 
Jeremy_Irons/M8hvFMX1xEA_0000007 240.1 247.0 
Jeremy_Irons/M8hvFMX1xEA_0000008 295.5 309.5 
Jeremy_Irons/M8hvFMX1xEA_0000009 346.7 360.9 
Jeremy_Irons/M8hvFMX1xEA_0000010 369.1 374.8 
Jeremy_Irons/M8hvFMX1xEA_0000011 400.5 405.3 
Jeremy_Irons/M8hvFMX1xEA_0000012 411.6 417.2 
Jeremy_Irons/M8hvFMX1xEA_0000013 470.4 482.2 
Jeremy_Irons/M8hvFMX1xEA_0000014 521.4 529.0 
Jeremy_Irons/M8hvFMX1xEA_0000015 560.2 565.7 
Jeremy_Irons/M8hvFMX1xEA_0000016 607.3 611.8 
Jeremy_Irons/M8hvFMX1xEA_0000017 613.3 619.3 
Jeremy_Irons/M8hvFMX1xEA_0000018 627.5 631.9 
Jeremy_Irons/M8hvFMX1xEA_0000019 632.2 637.5 
Jeremy_Irons/M8hvFMX1xEA_0000020 649.4 655.1 
Jeremy_Irons/M8hvFMX1xEA_0000021 666.7 670.8 
Jeremy_Irons/M8hvFMX1xEA_0000022 673.3 679.1 
Jeremy_Irons/M8hvFMX1xEA_0000023 685.8 690.5 
Jeremy_Irons/M8hvFMX1xEA_0000024 789.4 794.8 
Jeremy_Irons/M8hvFMX1xEA_0000025 800.3 807.6 
Jeremy_Irons/M8hvFMX1xEA_0000026 876.1 880.3 
Jeremy_Irons/M8hvFMX1xEA_0000027 885.9 890.3 
Jeremy_Irons/M8hvFMX1xEA_0000028 906.2 917.4 
Jeremy_Irons/M8hvFMX1xEA_0000029 949.8 958.0 
Jeremy_Irons/M8hvFMX1xEA_0000030 958.5 964.4 
Jeremy_Irons/M8hvFMX1xEA_0000031 998.2 1002.8 
Jeremy_Irons/M8hvFMX1xEA_0000032 1022.8 1030.4 
Jeremy_Irons/M8hvFMX1xEA_0000033 1112.9 1121.7 
Jeremy_Irons/M8hvFMX1xEA_0000034 1149.5 1157.7 
Jeremy_Irons/M8hvFMX1xEA_0000035 1165.3 1178.0 
Jeremy_Irons/M8hvFMX1xEA_0000036 1193.7 1200.0 
Jeremy_Irons/M8hvFMX1xEA_0000037 1229.2 1234.3 
Jeremy_Irons/M8hvFMX1xEA_0000038 1394.6 1399.0 
Jeremy_Irons/M8hvFMX1xEA_0000039 1409.3 1414.7 
Jeremy_Irons/M8hvFMX1xEA_0000040 1453.4 1458.6 
Jeremy_Irons/M8hvFMX1xEA_0000041 1464.6 1469.1 
Jeremy_Irons/M8hvFMX1xEA_0000042 1490.0 1494.8 
Jeremy_Irons/M8hvFMX1xEA_0000043 1495.6 1500.3 
