POI: 			Jeremy_Shada 
Youtube ID: 	CRcLZM0GnRs 
Video length: 	337.4 sec 
Set (V): 		dev 
 
Jeremy_Shada/CRcLZM0GnRs_0000001 12.8 18.4 
Jeremy_Shada/CRcLZM0GnRs_0000002 23.9 38.9 
Jeremy_Shada/CRcLZM0GnRs_0000003 73.6 79.8 
Jeremy_Shada/CRcLZM0GnRs_0000004 88.4 96.8 
Jeremy_Shada/CRcLZM0GnRs_0000005 108.7 117.0 
Jeremy_Shada/CRcLZM0GnRs_0000006 119.4 124.6 
Jeremy_Shada/CRcLZM0GnRs_0000007 126.7 139.2 
Jeremy_Shada/CRcLZM0GnRs_0000008 141.3 147.0 
Jeremy_Shada/CRcLZM0GnRs_0000009 167.1 179.3 
Jeremy_Shada/CRcLZM0GnRs_0000010 199.7 205.9 
Jeremy_Shada/CRcLZM0GnRs_0000011 208.7 213.9 
Jeremy_Shada/CRcLZM0GnRs_0000012 215.8 224.2 
Jeremy_Shada/CRcLZM0GnRs_0000013 232.3 240.6 
Jeremy_Shada/CRcLZM0GnRs_0000014 245.0 249.6 
Jeremy_Shada/CRcLZM0GnRs_0000015 259.4 275.6 
Jeremy_Shada/CRcLZM0GnRs_0000016 304.9 311.0 
