POI: 			Jim_Sturgess 
Youtube ID: 	2qZacDaRMps 
Video length: 	624.7 sec 
Set (V): 		dev 
 
Jim_Sturgess/2qZacDaRMps_0000001 19.9 25.1 
Jim_Sturgess/2qZacDaRMps_0000002 25.8 30.2 
Jim_Sturgess/2qZacDaRMps_0000003 44.3 53.0 
Jim_Sturgess/2qZacDaRMps_0000004 62.4 66.7 
Jim_Sturgess/2qZacDaRMps_0000005 92.5 99.7 
Jim_Sturgess/2qZacDaRMps_0000006 109.5 114.9 
Jim_Sturgess/2qZacDaRMps_0000007 144.7 150.0 
Jim_Sturgess/2qZacDaRMps_0000008 152.5 158.5 
Jim_Sturgess/2qZacDaRMps_0000009 278.7 283.1 
Jim_Sturgess/2qZacDaRMps_0000010 314.8 319.1 
Jim_Sturgess/2qZacDaRMps_0000011 324.0 329.3 
Jim_Sturgess/2qZacDaRMps_0000012 377.5 381.9 
Jim_Sturgess/2qZacDaRMps_0000013 390.0 394.9 
Jim_Sturgess/2qZacDaRMps_0000014 451.8 456.7 
Jim_Sturgess/2qZacDaRMps_0000015 462.7 468.3 
Jim_Sturgess/2qZacDaRMps_0000016 476.8 482.8 
Jim_Sturgess/2qZacDaRMps_0000017 569.9 574.5 
Jim_Sturgess/2qZacDaRMps_0000018 579.7 583.8 
Jim_Sturgess/2qZacDaRMps_0000019 601.9 607.8 
