POI: 			Jim_Sturgess 
Youtube ID: 	VKg6bRDYm5w 
Video length: 	357.5 sec 
Set (V): 		dev 
 
Jim_Sturgess/VKg6bRDYm5w_0000001 26.6 31.0 
Jim_Sturgess/VKg6bRDYm5w_0000002 63.5 67.8 
Jim_Sturgess/VKg6bRDYm5w_0000003 73.0 77.8 
Jim_Sturgess/VKg6bRDYm5w_0000004 102.8 107.6 
Jim_Sturgess/VKg6bRDYm5w_0000005 137.7 144.4 
Jim_Sturgess/VKg6bRDYm5w_0000006 152.5 162.9 
Jim_Sturgess/VKg6bRDYm5w_0000007 170.7 176.0 
Jim_Sturgess/VKg6bRDYm5w_0000008 177.5 181.8 
Jim_Sturgess/VKg6bRDYm5w_0000009 187.4 193.5 
Jim_Sturgess/VKg6bRDYm5w_0000010 204.4 209.6 
Jim_Sturgess/VKg6bRDYm5w_0000011 222.7 232.0 
Jim_Sturgess/VKg6bRDYm5w_0000012 259.4 272.1 
Jim_Sturgess/VKg6bRDYm5w_0000013 281.0 287.7 
Jim_Sturgess/VKg6bRDYm5w_0000014 288.7 292.7 
Jim_Sturgess/VKg6bRDYm5w_0000015 293.0 302.0 
Jim_Sturgess/VKg6bRDYm5w_0000016 303.0 311.8 
Jim_Sturgess/VKg6bRDYm5w_0000017 312.7 317.5 
