POI: 			John_Hawkes 
Youtube ID: 	CKRWmWrEU00 
Video length: 	2045.4 sec 
Set (V): 		dev 
 
John_Hawkes/CKRWmWrEU00_0000001 83.4 88.6 
John_Hawkes/CKRWmWrEU00_0000002 172.9 178.5 
John_Hawkes/CKRWmWrEU00_0000003 249.6 253.9 
John_Hawkes/CKRWmWrEU00_0000004 254.5 265.4 
John_Hawkes/CKRWmWrEU00_0000005 357.2 362.7 
John_Hawkes/CKRWmWrEU00_0000006 362.8 368.2 
John_Hawkes/CKRWmWrEU00_0000007 372.1 376.6 
John_Hawkes/CKRWmWrEU00_0000008 379.1 385.8 
John_Hawkes/CKRWmWrEU00_0000009 390.0 393.9 
John_Hawkes/CKRWmWrEU00_0000010 399.4 405.5 
John_Hawkes/CKRWmWrEU00_0000011 418.6 423.9 
John_Hawkes/CKRWmWrEU00_0000012 424.8 430.2 
John_Hawkes/CKRWmWrEU00_0000013 441.4 450.6 
John_Hawkes/CKRWmWrEU00_0000014 459.5 469.2 
John_Hawkes/CKRWmWrEU00_0000015 480.1 485.0 
John_Hawkes/CKRWmWrEU00_0000016 523.6 529.0 
John_Hawkes/CKRWmWrEU00_0000017 576.8 583.6 
John_Hawkes/CKRWmWrEU00_0000018 690.3 699.0 
John_Hawkes/CKRWmWrEU00_0000019 711.5 715.7 
John_Hawkes/CKRWmWrEU00_0000020 717.4 723.2 
John_Hawkes/CKRWmWrEU00_0000021 732.9 737.2 
John_Hawkes/CKRWmWrEU00_0000022 761.6 765.5 
John_Hawkes/CKRWmWrEU00_0000023 773.9 780.9 
John_Hawkes/CKRWmWrEU00_0000024 792.3 797.6 
John_Hawkes/CKRWmWrEU00_0000025 806.0 810.5 
John_Hawkes/CKRWmWrEU00_0000026 837.9 842.5 
John_Hawkes/CKRWmWrEU00_0000027 1050.3 1056.8 
John_Hawkes/CKRWmWrEU00_0000028 1059.2 1063.7 
John_Hawkes/CKRWmWrEU00_0000029 1166.5 1170.7 
John_Hawkes/CKRWmWrEU00_0000030 1171.4 1177.4 
John_Hawkes/CKRWmWrEU00_0000031 1191.5 1201.7 
John_Hawkes/CKRWmWrEU00_0000032 1315.3 1319.3 
John_Hawkes/CKRWmWrEU00_0000033 1328.0 1332.8 
John_Hawkes/CKRWmWrEU00_0000034 1352.4 1357.2 
John_Hawkes/CKRWmWrEU00_0000035 1388.4 1393.6 
John_Hawkes/CKRWmWrEU00_0000036 1394.6 1398.8 
John_Hawkes/CKRWmWrEU00_0000037 1405.3 1413.5 
John_Hawkes/CKRWmWrEU00_0000038 1547.4 1552.3 
John_Hawkes/CKRWmWrEU00_0000039 1556.4 1561.0 
John_Hawkes/CKRWmWrEU00_0000040 1564.6 1572.2 
John_Hawkes/CKRWmWrEU00_0000041 1581.0 1586.9 
John_Hawkes/CKRWmWrEU00_0000042 1700.5 1707.1 
John_Hawkes/CKRWmWrEU00_0000043 1727.2 1742.9 
John_Hawkes/CKRWmWrEU00_0000044 1765.0 1770.4 
John_Hawkes/CKRWmWrEU00_0000045 1773.7 1778.4 
John_Hawkes/CKRWmWrEU00_0000046 1808.6 1817.2 
John_Hawkes/CKRWmWrEU00_0000047 1896.4 1904.5 
John_Hawkes/CKRWmWrEU00_0000048 1926.8 1933.5 
John_Hawkes/CKRWmWrEU00_0000049 1944.6 1951.5 
