POI: 			John_Lasseter 
Youtube ID: 	RjlNX9tYC6M 
Video length: 	1562.4 sec 
Set (V): 		dev 
 
John_Lasseter/RjlNX9tYC6M_0000001 48.6 55.8 
John_Lasseter/RjlNX9tYC6M_0000002 62.8 79.6 
John_Lasseter/RjlNX9tYC6M_0000003 80.4 84.6 
John_Lasseter/RjlNX9tYC6M_0000004 114.1 134.2 
John_Lasseter/RjlNX9tYC6M_0000005 182.7 187.1 
John_Lasseter/RjlNX9tYC6M_0000006 187.9 195.8 
John_Lasseter/RjlNX9tYC6M_0000007 199.0 216.4 
John_Lasseter/RjlNX9tYC6M_0000008 220.4 234.4 
John_Lasseter/RjlNX9tYC6M_0000009 235.2 239.4 
John_Lasseter/RjlNX9tYC6M_0000010 239.8 252.2 
John_Lasseter/RjlNX9tYC6M_0000011 269.1 277.2 
John_Lasseter/RjlNX9tYC6M_0000012 292.2 297.1 
John_Lasseter/RjlNX9tYC6M_0000013 309.0 325.1 
John_Lasseter/RjlNX9tYC6M_0000014 350.4 354.6 
John_Lasseter/RjlNX9tYC6M_0000015 358.2 362.9 
John_Lasseter/RjlNX9tYC6M_0000016 363.4 373.6 
John_Lasseter/RjlNX9tYC6M_0000017 386.4 392.4 
John_Lasseter/RjlNX9tYC6M_0000018 395.6 400.8 
John_Lasseter/RjlNX9tYC6M_0000019 401.6 409.2 
John_Lasseter/RjlNX9tYC6M_0000020 423.7 434.4 
John_Lasseter/RjlNX9tYC6M_0000021 435.7 447.0 
John_Lasseter/RjlNX9tYC6M_0000022 448.8 452.9 
John_Lasseter/RjlNX9tYC6M_0000023 482.7 489.3 
John_Lasseter/RjlNX9tYC6M_0000024 491.5 497.0 
John_Lasseter/RjlNX9tYC6M_0000025 503.2 514.1 
John_Lasseter/RjlNX9tYC6M_0000026 590.8 595.9 
John_Lasseter/RjlNX9tYC6M_0000027 597.3 601.3 
John_Lasseter/RjlNX9tYC6M_0000028 602.1 608.3 
John_Lasseter/RjlNX9tYC6M_0000029 615.6 620.7 
John_Lasseter/RjlNX9tYC6M_0000030 621.9 633.6 
John_Lasseter/RjlNX9tYC6M_0000031 633.7 643.4 
John_Lasseter/RjlNX9tYC6M_0000032 644.0 650.5 
John_Lasseter/RjlNX9tYC6M_0000033 651.1 658.0 
John_Lasseter/RjlNX9tYC6M_0000034 613.6 618.0 
John_Lasseter/RjlNX9tYC6M_0000035 691.3 695.5 
John_Lasseter/RjlNX9tYC6M_0000036 695.7 706.8 
John_Lasseter/RjlNX9tYC6M_0000037 707.1 712.0 
John_Lasseter/RjlNX9tYC6M_0000038 713.0 728.5 
John_Lasseter/RjlNX9tYC6M_0000039 739.3 743.7 
John_Lasseter/RjlNX9tYC6M_0000040 743.9 748.9 
John_Lasseter/RjlNX9tYC6M_0000041 754.2 763.1 
John_Lasseter/RjlNX9tYC6M_0000042 763.5 772.0 
John_Lasseter/RjlNX9tYC6M_0000043 782.6 789.2 
John_Lasseter/RjlNX9tYC6M_0000044 794.2 798.3 
John_Lasseter/RjlNX9tYC6M_0000045 801.5 807.0 
John_Lasseter/RjlNX9tYC6M_0000046 825.4 830.5 
John_Lasseter/RjlNX9tYC6M_0000047 818.3 823.9 
John_Lasseter/RjlNX9tYC6M_0000048 825.3 830.5 
John_Lasseter/RjlNX9tYC6M_0000049 893.8 903.2 
John_Lasseter/RjlNX9tYC6M_0000050 904.4 912.5 
John_Lasseter/RjlNX9tYC6M_0000051 933.0 938.2 
John_Lasseter/RjlNX9tYC6M_0000052 938.4 945.1 
John_Lasseter/RjlNX9tYC6M_0000053 945.6 955.4 
John_Lasseter/RjlNX9tYC6M_0000054 970.6 976.5 
John_Lasseter/RjlNX9tYC6M_0000055 979.6 988.1 
John_Lasseter/RjlNX9tYC6M_0000056 989.6 1020.0 
John_Lasseter/RjlNX9tYC6M_0000057 1021.0 1025.9 
John_Lasseter/RjlNX9tYC6M_0000058 1034.9 1042.4 
John_Lasseter/RjlNX9tYC6M_0000059 1057.6 1065.0 
John_Lasseter/RjlNX9tYC6M_0000060 1070.0 1082.4 
John_Lasseter/RjlNX9tYC6M_0000061 1083.0 1103.6 
John_Lasseter/RjlNX9tYC6M_0000062 1107.8 1112.7 
John_Lasseter/RjlNX9tYC6M_0000063 1161.4 1168.9 
John_Lasseter/RjlNX9tYC6M_0000064 1169.8 1173.8 
John_Lasseter/RjlNX9tYC6M_0000065 1178.5 1183.0 
John_Lasseter/RjlNX9tYC6M_0000066 1183.8 1195.8 
John_Lasseter/RjlNX9tYC6M_0000067 1203.5 1209.3 
John_Lasseter/RjlNX9tYC6M_0000068 1210.5 1215.4 
John_Lasseter/RjlNX9tYC6M_0000069 1231.3 1236.3 
John_Lasseter/RjlNX9tYC6M_0000070 1240.6 1258.4 
John_Lasseter/RjlNX9tYC6M_0000071 1259.0 1265.3 
John_Lasseter/RjlNX9tYC6M_0000072 1265.4 1269.4 
John_Lasseter/RjlNX9tYC6M_0000073 1272.1 1281.3 
John_Lasseter/RjlNX9tYC6M_0000074 1333.1 1353.8 
John_Lasseter/RjlNX9tYC6M_0000075 1355.0 1359.1 
John_Lasseter/RjlNX9tYC6M_0000076 1365.0 1369.9 
