POI: 			John_Lloyd_Young 
Youtube ID: 	s-Q_lcXcuhc 
Video length: 	535.3 sec 
Set (V): 		dev 
 
John_Lloyd_Young/s-Q_lcXcuhc_0000001 09.4 32.4 
John_Lloyd_Young/s-Q_lcXcuhc_0000002 61.2 109.6 
John_Lloyd_Young/s-Q_lcXcuhc_0000003 110.5 123.2 
John_Lloyd_Young/s-Q_lcXcuhc_0000004 123.6 132.9 
John_Lloyd_Young/s-Q_lcXcuhc_0000005 197.8 204.7 
John_Lloyd_Young/s-Q_lcXcuhc_0000006 205.1 216.0 
John_Lloyd_Young/s-Q_lcXcuhc_0000007 216.3 237.8 
John_Lloyd_Young/s-Q_lcXcuhc_0000008 312.0 322.1 
John_Lloyd_Young/s-Q_lcXcuhc_0000009 323.6 336.9 
John_Lloyd_Young/s-Q_lcXcuhc_0000010 270.6 276.3 
John_Lloyd_Young/s-Q_lcXcuhc_0000011 276.8 293.8 
John_Lloyd_Young/s-Q_lcXcuhc_0000012 349.2 354.1 
John_Lloyd_Young/s-Q_lcXcuhc_0000013 359.4 375.0 
John_Lloyd_Young/s-Q_lcXcuhc_0000014 375.1 384.4 
John_Lloyd_Young/s-Q_lcXcuhc_0000015 393.6 400.9 
John_Lloyd_Young/s-Q_lcXcuhc_0000016 401.1 413.3 
John_Lloyd_Young/s-Q_lcXcuhc_0000017 425.4 435.6 
John_Lloyd_Young/s-Q_lcXcuhc_0000018 437.6 447.3 
John_Lloyd_Young/s-Q_lcXcuhc_0000019 447.9 452.2 
John_Lloyd_Young/s-Q_lcXcuhc_0000020 508.7 529.5 
