POI: 			Jordana_Brewster 
Youtube ID: 	JWUAjD5jJgc 
Video length: 	1508.4 sec 
Set (V): 		dev 
 
Jordana_Brewster/JWUAjD5jJgc_0000001 52.8 73.2 
Jordana_Brewster/JWUAjD5jJgc_0000002 135.6 145.8 
Jordana_Brewster/JWUAjD5jJgc_0000003 146.4 153.9 
Jordana_Brewster/JWUAjD5jJgc_0000004 414.2 418.8 
Jordana_Brewster/JWUAjD5jJgc_0000005 419.8 425.3 
Jordana_Brewster/JWUAjD5jJgc_0000006 603.8 609.1 
Jordana_Brewster/JWUAjD5jJgc_0000007 610.0 620.8 
Jordana_Brewster/JWUAjD5jJgc_0000008 657.3 662.6 
Jordana_Brewster/JWUAjD5jJgc_0000009 663.0 667.1 
Jordana_Brewster/JWUAjD5jJgc_0000010 705.5 718.8 
Jordana_Brewster/JWUAjD5jJgc_0000011 719.2 725.5 
Jordana_Brewster/JWUAjD5jJgc_0000012 725.6 731.6 
Jordana_Brewster/JWUAjD5jJgc_0000013 731.7 737.6 
Jordana_Brewster/JWUAjD5jJgc_0000014 748.1 752.5 
Jordana_Brewster/JWUAjD5jJgc_0000015 904.6 909.4 
Jordana_Brewster/JWUAjD5jJgc_0000016 917.6 924.9 
Jordana_Brewster/JWUAjD5jJgc_0000017 937.6 943.5 
Jordana_Brewster/JWUAjD5jJgc_0000018 944.0 948.7 
Jordana_Brewster/JWUAjD5jJgc_0000019 978.8 991.6 
Jordana_Brewster/JWUAjD5jJgc_0000020 1001.3 1009.0 
Jordana_Brewster/JWUAjD5jJgc_0000021 1063.8 1070.3 
Jordana_Brewster/JWUAjD5jJgc_0000022 1106.0 1112.4 
Jordana_Brewster/JWUAjD5jJgc_0000023 1113.2 1124.1 
Jordana_Brewster/JWUAjD5jJgc_0000024 1124.3 1130.6 
Jordana_Brewster/JWUAjD5jJgc_0000025 1131.0 1136.2 
Jordana_Brewster/JWUAjD5jJgc_0000026 1152.8 1157.9 
Jordana_Brewster/JWUAjD5jJgc_0000027 1159.8 1169.3 
Jordana_Brewster/JWUAjD5jJgc_0000028 1178.3 1184.7 
Jordana_Brewster/JWUAjD5jJgc_0000029 1213.3 1220.8 
Jordana_Brewster/JWUAjD5jJgc_0000030 1238.0 1264.2 
Jordana_Brewster/JWUAjD5jJgc_0000031 1391.8 1396.0 
Jordana_Brewster/JWUAjD5jJgc_0000032 1397.6 1408.3 
Jordana_Brewster/JWUAjD5jJgc_0000033 1410.8 1415.4 
Jordana_Brewster/JWUAjD5jJgc_0000034 1457.8 1463.8 
Jordana_Brewster/JWUAjD5jJgc_0000035 1463.8 1473.0 
Jordana_Brewster/JWUAjD5jJgc_0000036 1473.9 1496.9 
