POI: 			Julian_Sands 
Youtube ID: 	FPTxi3r2Sio 
Video length: 	1686.1 sec 
Set (V): 		dev 
 
Julian_Sands/FPTxi3r2Sio_0000001 04.5 09.8 
Julian_Sands/FPTxi3r2Sio_0000002 253.2 258.1 
Julian_Sands/FPTxi3r2Sio_0000003 311.3 325.3 
Julian_Sands/FPTxi3r2Sio_0000004 325.8 355.3 
Julian_Sands/FPTxi3r2Sio_0000005 364.5 375.0 
Julian_Sands/FPTxi3r2Sio_0000006 377.3 383.1 
Julian_Sands/FPTxi3r2Sio_0000007 384.3 389.2 
Julian_Sands/FPTxi3r2Sio_0000008 395.7 426.3 
Julian_Sands/FPTxi3r2Sio_0000009 428.6 435.1 
Julian_Sands/FPTxi3r2Sio_0000010 436.4 449.1 
Julian_Sands/FPTxi3r2Sio_0000011 449.5 458.4 
Julian_Sands/FPTxi3r2Sio_0000012 459.2 465.2 
Julian_Sands/FPTxi3r2Sio_0000013 466.0 478.6 
Julian_Sands/FPTxi3r2Sio_0000014 484.8 513.5 
Julian_Sands/FPTxi3r2Sio_0000015 516.0 530.6 
Julian_Sands/FPTxi3r2Sio_0000016 533.4 537.4 
Julian_Sands/FPTxi3r2Sio_0000017 545.6 551.4 
Julian_Sands/FPTxi3r2Sio_0000018 564.2 580.8 
Julian_Sands/FPTxi3r2Sio_0000019 587.9 596.9 
Julian_Sands/FPTxi3r2Sio_0000020 597.9 604.5 
Julian_Sands/FPTxi3r2Sio_0000021 627.0 631.9 
Julian_Sands/FPTxi3r2Sio_0000022 637.8 642.2 
Julian_Sands/FPTxi3r2Sio_0000023 669.7 676.1 
Julian_Sands/FPTxi3r2Sio_0000024 678.9 685.9 
Julian_Sands/FPTxi3r2Sio_0000025 698.4 707.6 
Julian_Sands/FPTxi3r2Sio_0000026 709.6 718.8 
Julian_Sands/FPTxi3r2Sio_0000027 739.6 745.7 
Julian_Sands/FPTxi3r2Sio_0000028 751.0 760.9 
Julian_Sands/FPTxi3r2Sio_0000029 774.8 782.2 
Julian_Sands/FPTxi3r2Sio_0000030 785.6 789.8 
Julian_Sands/FPTxi3r2Sio_0000031 814.2 822.1 
Julian_Sands/FPTxi3r2Sio_0000032 825.6 834.2 
Julian_Sands/FPTxi3r2Sio_0000033 845.8 856.8 
Julian_Sands/FPTxi3r2Sio_0000034 879.7 883.7 
Julian_Sands/FPTxi3r2Sio_0000035 884.6 889.3 
Julian_Sands/FPTxi3r2Sio_0000036 900.8 905.1 
Julian_Sands/FPTxi3r2Sio_0000037 913.6 918.2 
Julian_Sands/FPTxi3r2Sio_0000038 925.2 932.2 
Julian_Sands/FPTxi3r2Sio_0000039 937.5 946.4 
Julian_Sands/FPTxi3r2Sio_0000040 1063.3 1068.3 
Julian_Sands/FPTxi3r2Sio_0000041 1078.5 1083.2 
Julian_Sands/FPTxi3r2Sio_0000042 1093.4 1100.8 
Julian_Sands/FPTxi3r2Sio_0000043 1101.6 1109.1 
Julian_Sands/FPTxi3r2Sio_0000044 1113.0 1125.8 
Julian_Sands/FPTxi3r2Sio_0000045 1140.0 1144.2 
Julian_Sands/FPTxi3r2Sio_0000046 1201.0 1208.6 
Julian_Sands/FPTxi3r2Sio_0000047 1235.8 1243.3 
Julian_Sands/FPTxi3r2Sio_0000048 1243.8 1250.1 
Julian_Sands/FPTxi3r2Sio_0000049 1255.1 1261.4 
Julian_Sands/FPTxi3r2Sio_0000050 1261.8 1267.8 
Julian_Sands/FPTxi3r2Sio_0000051 1274.2 1286.1 
Julian_Sands/FPTxi3r2Sio_0000052 1286.4 1295.5 
Julian_Sands/FPTxi3r2Sio_0000053 1295.8 1303.7 
Julian_Sands/FPTxi3r2Sio_0000054 1306.8 1313.3 
Julian_Sands/FPTxi3r2Sio_0000055 1326.8 1331.7 
Julian_Sands/FPTxi3r2Sio_0000056 1347.8 1351.8 
Julian_Sands/FPTxi3r2Sio_0000057 1354.0 1360.6 
Julian_Sands/FPTxi3r2Sio_0000058 1354.1 1360.8 
Julian_Sands/FPTxi3r2Sio_0000059 1381.8 1388.3 
Julian_Sands/FPTxi3r2Sio_0000060 1423.1 1431.5 
Julian_Sands/FPTxi3r2Sio_0000061 1433.7 1438.3 
Julian_Sands/FPTxi3r2Sio_0000062 1440.6 1446.4 
