POI: 			Kal_Penn 
Youtube ID: 	xT7i2cpJI9w 
Video length: 	1862.5 sec 
Set (V): 		dev 
 
Kal_Penn/xT7i2cpJI9w_0000001 28.0 35.4 
Kal_Penn/xT7i2cpJI9w_0000002 39.2 51.5 
Kal_Penn/xT7i2cpJI9w_0000003 56.6 64.0 
Kal_Penn/xT7i2cpJI9w_0000004 77.9 82.5 
Kal_Penn/xT7i2cpJI9w_0000005 45.0 51.4 
Kal_Penn/xT7i2cpJI9w_0000006 52.3 57.6 
Kal_Penn/xT7i2cpJI9w_0000007 80.7 89.6 
Kal_Penn/xT7i2cpJI9w_0000008 108.5 113.8 
Kal_Penn/xT7i2cpJI9w_0000009 139.4 151.9 
Kal_Penn/xT7i2cpJI9w_0000010 179.8 188.4 
Kal_Penn/xT7i2cpJI9w_0000011 236.9 242.9 
Kal_Penn/xT7i2cpJI9w_0000012 245.6 250.0 
Kal_Penn/xT7i2cpJI9w_0000013 250.5 258.2 
Kal_Penn/xT7i2cpJI9w_0000014 259.6 266.5 
Kal_Penn/xT7i2cpJI9w_0000015 267.0 275.4 
Kal_Penn/xT7i2cpJI9w_0000016 275.5 279.5 
Kal_Penn/xT7i2cpJI9w_0000017 279.9 287.5 
Kal_Penn/xT7i2cpJI9w_0000018 301.2 319.6 
Kal_Penn/xT7i2cpJI9w_0000019 324.0 337.2 
Kal_Penn/xT7i2cpJI9w_0000020 338.0 342.0 
Kal_Penn/xT7i2cpJI9w_0000021 379.9 387.2 
Kal_Penn/xT7i2cpJI9w_0000022 392.3 399.8 
Kal_Penn/xT7i2cpJI9w_0000023 403.7 411.2 
Kal_Penn/xT7i2cpJI9w_0000024 416.1 423.2 
Kal_Penn/xT7i2cpJI9w_0000025 400.5 414.3 
Kal_Penn/xT7i2cpJI9w_0000026 416.0 429.3 
Kal_Penn/xT7i2cpJI9w_0000027 435.7 442.4 
Kal_Penn/xT7i2cpJI9w_0000028 470.5 482.6 
Kal_Penn/xT7i2cpJI9w_0000029 483.1 507.9 
Kal_Penn/xT7i2cpJI9w_0000030 508.6 522.1 
Kal_Penn/xT7i2cpJI9w_0000031 524.3 573.9 
Kal_Penn/xT7i2cpJI9w_0000032 593.4 616.1 
Kal_Penn/xT7i2cpJI9w_0000033 616.2 647.2 
Kal_Penn/xT7i2cpJI9w_0000034 647.3 655.2 
Kal_Penn/xT7i2cpJI9w_0000035 670.9 682.2 
Kal_Penn/xT7i2cpJI9w_0000036 682.6 687.6 
Kal_Penn/xT7i2cpJI9w_0000037 689.2 694.8 
Kal_Penn/xT7i2cpJI9w_0000038 722.2 726.9 
Kal_Penn/xT7i2cpJI9w_0000039 721.6 727.8 
Kal_Penn/xT7i2cpJI9w_0000040 759.8 765.6 
Kal_Penn/xT7i2cpJI9w_0000041 768.8 775.8 
Kal_Penn/xT7i2cpJI9w_0000042 778.6 787.1 
Kal_Penn/xT7i2cpJI9w_0000043 821.2 826.8 
Kal_Penn/xT7i2cpJI9w_0000044 823.4 832.7 
Kal_Penn/xT7i2cpJI9w_0000045 833.8 855.9 
Kal_Penn/xT7i2cpJI9w_0000046 874.8 892.3 
Kal_Penn/xT7i2cpJI9w_0000047 902.1 907.0 
Kal_Penn/xT7i2cpJI9w_0000048 908.0 913.0 
Kal_Penn/xT7i2cpJI9w_0000049 918.1 927.5 
Kal_Penn/xT7i2cpJI9w_0000050 935.8 943.2 
Kal_Penn/xT7i2cpJI9w_0000051 963.6 967.8 
Kal_Penn/xT7i2cpJI9w_0000052 973.0 998.0 
Kal_Penn/xT7i2cpJI9w_0000053 1066.4 1072.2 
Kal_Penn/xT7i2cpJI9w_0000054 1072.6 1078.4 
Kal_Penn/xT7i2cpJI9w_0000055 1109.4 1113.6 
Kal_Penn/xT7i2cpJI9w_0000056 1137.3 1152.9 
Kal_Penn/xT7i2cpJI9w_0000057 1153.8 1163.2 
Kal_Penn/xT7i2cpJI9w_0000058 1163.6 1182.6 
Kal_Penn/xT7i2cpJI9w_0000059 1183.0 1197.6 
Kal_Penn/xT7i2cpJI9w_0000060 1226.9 1231.1 
Kal_Penn/xT7i2cpJI9w_0000061 1233.5 1241.4 
Kal_Penn/xT7i2cpJI9w_0000062 1241.8 1263.6 
Kal_Penn/xT7i2cpJI9w_0000063 1264.2 1282.6 
Kal_Penn/xT7i2cpJI9w_0000064 1282.8 1290.1 
Kal_Penn/xT7i2cpJI9w_0000065 1295.8 1301.5 
Kal_Penn/xT7i2cpJI9w_0000066 1310.5 1317.6 
Kal_Penn/xT7i2cpJI9w_0000067 1318.5 1325.9 
Kal_Penn/xT7i2cpJI9w_0000068 1356.1 1365.0 
Kal_Penn/xT7i2cpJI9w_0000069 1381.3 1385.7 
Kal_Penn/xT7i2cpJI9w_0000070 1388.7 1396.9 
Kal_Penn/xT7i2cpJI9w_0000071 1349.7 1365.8 
Kal_Penn/xT7i2cpJI9w_0000072 1369.2 1373.2 
Kal_Penn/xT7i2cpJI9w_0000073 1374.4 1395.7 
Kal_Penn/xT7i2cpJI9w_0000074 1429.8 1434.2 
Kal_Penn/xT7i2cpJI9w_0000075 1452.9 1477.5 
Kal_Penn/xT7i2cpJI9w_0000076 1478.5 1483.2 
Kal_Penn/xT7i2cpJI9w_0000077 1484.5 1495.7 
Kal_Penn/xT7i2cpJI9w_0000078 1630.7 1655.3 
Kal_Penn/xT7i2cpJI9w_0000079 1655.4 1662.2 
Kal_Penn/xT7i2cpJI9w_0000080 1662.8 1671.1 
Kal_Penn/xT7i2cpJI9w_0000081 1669.5 1692.3 
Kal_Penn/xT7i2cpJI9w_0000082 1694.1 1701.7 
Kal_Penn/xT7i2cpJI9w_0000083 1703.8 1709.9 
Kal_Penn/xT7i2cpJI9w_0000084 1737.5 1750.0 
Kal_Penn/xT7i2cpJI9w_0000085 1751.9 1761.4 
Kal_Penn/xT7i2cpJI9w_0000086 1762.6 1771.8 
Kal_Penn/xT7i2cpJI9w_0000087 1772.2 1785.4 
Kal_Penn/xT7i2cpJI9w_0000088 1785.7 1794.4 
Kal_Penn/xT7i2cpJI9w_0000089 1794.9 1805.8 
Kal_Penn/xT7i2cpJI9w_0000090 1806.0 1825.4 
Kal_Penn/xT7i2cpJI9w_0000091 1826.5 1844.5 
