POI: 			Karla_Souza 
Youtube ID: 	YYl7evawZnw 
Video length: 	1595.2 sec 
Set (V): 		dev 
 
Karla_Souza/YYl7evawZnw_0000001 77.6 82.3 
Karla_Souza/YYl7evawZnw_0000002 85.4 93.9 
Karla_Souza/YYl7evawZnw_0000003 136.3 145.5 
Karla_Souza/YYl7evawZnw_0000004 148.0 153.2 
Karla_Souza/YYl7evawZnw_0000005 155.5 165.3 
Karla_Souza/YYl7evawZnw_0000006 156.8 161.0 
Karla_Souza/YYl7evawZnw_0000007 173.7 183.7 
Karla_Souza/YYl7evawZnw_0000008 232.1 241.1 
Karla_Souza/YYl7evawZnw_0000009 283.2 293.2 
Karla_Souza/YYl7evawZnw_0000010 382.6 387.2 
Karla_Souza/YYl7evawZnw_0000011 407.8 416.4 
Karla_Souza/YYl7evawZnw_0000012 423.9 429.4 
Karla_Souza/YYl7evawZnw_0000013 457.6 462.0 
Karla_Souza/YYl7evawZnw_0000014 465.3 475.4 
Karla_Souza/YYl7evawZnw_0000015 478.3 483.0 
Karla_Souza/YYl7evawZnw_0000016 489.1 493.9 
Karla_Souza/YYl7evawZnw_0000017 507.7 513.3 
Karla_Souza/YYl7evawZnw_0000018 573.2 580.9 
Karla_Souza/YYl7evawZnw_0000019 583.4 587.7 
Karla_Souza/YYl7evawZnw_0000020 594.1 602.3 
Karla_Souza/YYl7evawZnw_0000021 608.5 615.2 
Karla_Souza/YYl7evawZnw_0000022 618.2 622.2 
Karla_Souza/YYl7evawZnw_0000023 639.3 643.6 
Karla_Souza/YYl7evawZnw_0000024 689.0 694.0 
Karla_Souza/YYl7evawZnw_0000025 696.5 704.0 
Karla_Souza/YYl7evawZnw_0000026 711.6 717.3 
Karla_Souza/YYl7evawZnw_0000027 722.7 733.8 
Karla_Souza/YYl7evawZnw_0000028 766.4 771.4 
Karla_Souza/YYl7evawZnw_0000029 763.9 777.6 
Karla_Souza/YYl7evawZnw_0000030 839.2 843.5 
Karla_Souza/YYl7evawZnw_0000031 850.8 857.9 
Karla_Souza/YYl7evawZnw_0000032 882.5 888.1 
Karla_Souza/YYl7evawZnw_0000033 900.0 913.2 
Karla_Souza/YYl7evawZnw_0000034 925.2 930.6 
Karla_Souza/YYl7evawZnw_0000035 930.8 965.0 
Karla_Souza/YYl7evawZnw_0000036 965.9 973.6 
Karla_Souza/YYl7evawZnw_0000037 998.4 1007.4 
Karla_Souza/YYl7evawZnw_0000038 1008.6 1020.6 
Karla_Souza/YYl7evawZnw_0000039 1030.2 1050.2 
Karla_Souza/YYl7evawZnw_0000040 1116.9 1132.4 
Karla_Souza/YYl7evawZnw_0000041 1140.8 1146.1 
Karla_Souza/YYl7evawZnw_0000042 1170.0 1176.6 
Karla_Souza/YYl7evawZnw_0000043 1225.2 1235.4 
Karla_Souza/YYl7evawZnw_0000044 1276.3 1281.9 
Karla_Souza/YYl7evawZnw_0000045 1282.2 1286.4 
Karla_Souza/YYl7evawZnw_0000046 1351.0 1355.6 
Karla_Souza/YYl7evawZnw_0000047 1385.8 1396.0 
Karla_Souza/YYl7evawZnw_0000048 1399.1 1404.4 
Karla_Souza/YYl7evawZnw_0000049 1407.0 1420.1 
Karla_Souza/YYl7evawZnw_0000050 1527.5 1533.8 
Karla_Souza/YYl7evawZnw_0000051 1547.6 1552.3 
Karla_Souza/YYl7evawZnw_0000052 1572.9 1581.5 
Karla_Souza/YYl7evawZnw_0000053 1589.0 1593.9 
