POI: 			Kate_Mulgrew 
Youtube ID: 	2qpYGAXuxpw 
Video length: 	842.6 sec 
Set (V): 		dev 
 
Kate_Mulgrew/2qpYGAXuxpw_0000001 75.2 82.6 
Kate_Mulgrew/2qpYGAXuxpw_0000002 90.8 95.2 
Kate_Mulgrew/2qpYGAXuxpw_0000003 99.4 111.6 
Kate_Mulgrew/2qpYGAXuxpw_0000004 115.4 123.1 
Kate_Mulgrew/2qpYGAXuxpw_0000005 147.6 157.0 
Kate_Mulgrew/2qpYGAXuxpw_0000006 168.1 174.0 
Kate_Mulgrew/2qpYGAXuxpw_0000007 189.6 193.7 
Kate_Mulgrew/2qpYGAXuxpw_0000008 194.1 198.8 
Kate_Mulgrew/2qpYGAXuxpw_0000009 220.3 225.6 
Kate_Mulgrew/2qpYGAXuxpw_0000010 234.2 241.7 
Kate_Mulgrew/2qpYGAXuxpw_0000011 246.4 252.8 
Kate_Mulgrew/2qpYGAXuxpw_0000012 303.8 309.8 
Kate_Mulgrew/2qpYGAXuxpw_0000013 314.4 330.3 
Kate_Mulgrew/2qpYGAXuxpw_0000014 335.1 341.6 
Kate_Mulgrew/2qpYGAXuxpw_0000015 348.3 352.8 
Kate_Mulgrew/2qpYGAXuxpw_0000016 394.5 398.6 
Kate_Mulgrew/2qpYGAXuxpw_0000017 432.8 438.9 
Kate_Mulgrew/2qpYGAXuxpw_0000018 477.9 482.8 
Kate_Mulgrew/2qpYGAXuxpw_0000019 504.5 509.6 
Kate_Mulgrew/2qpYGAXuxpw_0000020 607.2 632.2 
Kate_Mulgrew/2qpYGAXuxpw_0000021 647.7 654.0 
Kate_Mulgrew/2qpYGAXuxpw_0000022 681.1 687.6 
Kate_Mulgrew/2qpYGAXuxpw_0000023 689.8 694.4 
Kate_Mulgrew/2qpYGAXuxpw_0000024 700.3 706.4 
Kate_Mulgrew/2qpYGAXuxpw_0000025 738.6 745.4 
Kate_Mulgrew/2qpYGAXuxpw_0000026 801.9 811.3 
Kate_Mulgrew/2qpYGAXuxpw_0000027 817.8 826.0 
