POI: 			Kathy_Griffin 
Youtube ID: 	LaHnNW6Pg10 
Video length: 	1807.0 sec 
Set (V): 		dev 
 
Kathy_Griffin/LaHnNW6Pg10_0000001 123.4 129.6 
Kathy_Griffin/LaHnNW6Pg10_0000002 137.5 142.0 
Kathy_Griffin/LaHnNW6Pg10_0000003 167.8 172.1 
Kathy_Griffin/LaHnNW6Pg10_0000004 197.8 205.2 
Kathy_Griffin/LaHnNW6Pg10_0000005 259.4 264.0 
Kathy_Griffin/LaHnNW6Pg10_0000006 268.3 274.3 
Kathy_Griffin/LaHnNW6Pg10_0000007 314.0 320.2 
Kathy_Griffin/LaHnNW6Pg10_0000008 331.1 344.3 
Kathy_Griffin/LaHnNW6Pg10_0000009 370.3 374.3 
Kathy_Griffin/LaHnNW6Pg10_0000010 396.3 409.4 
Kathy_Griffin/LaHnNW6Pg10_0000011 422.8 427.2 
Kathy_Griffin/LaHnNW6Pg10_0000012 456.6 464.4 
Kathy_Griffin/LaHnNW6Pg10_0000013 481.3 485.5 
Kathy_Griffin/LaHnNW6Pg10_0000014 492.1 499.4 
Kathy_Griffin/LaHnNW6Pg10_0000015 533.5 544.8 
Kathy_Griffin/LaHnNW6Pg10_0000016 548.4 556.5 
Kathy_Griffin/LaHnNW6Pg10_0000017 566.1 587.0 
Kathy_Griffin/LaHnNW6Pg10_0000018 685.4 690.8 
Kathy_Griffin/LaHnNW6Pg10_0000019 765.0 774.4 
Kathy_Griffin/LaHnNW6Pg10_0000020 781.3 790.5 
Kathy_Griffin/LaHnNW6Pg10_0000021 798.5 804.8 
Kathy_Griffin/LaHnNW6Pg10_0000022 827.2 833.2 
Kathy_Griffin/LaHnNW6Pg10_0000023 865.9 871.7 
Kathy_Griffin/LaHnNW6Pg10_0000024 932.1 942.0 
Kathy_Griffin/LaHnNW6Pg10_0000025 1000.5 1006.2 
Kathy_Griffin/LaHnNW6Pg10_0000026 1014.2 1022.3 
Kathy_Griffin/LaHnNW6Pg10_0000027 1023.1 1034.9 
Kathy_Griffin/LaHnNW6Pg10_0000028 1195.0 1199.2 
Kathy_Griffin/LaHnNW6Pg10_0000029 1293.6 1298.6 
Kathy_Griffin/LaHnNW6Pg10_0000030 1366.0 1374.6 
Kathy_Griffin/LaHnNW6Pg10_0000031 1378.3 1384.9 
Kathy_Griffin/LaHnNW6Pg10_0000032 1385.1 1396.1 
Kathy_Griffin/LaHnNW6Pg10_0000033 1426.2 1432.5 
Kathy_Griffin/LaHnNW6Pg10_0000034 1438.8 1443.0 
Kathy_Griffin/LaHnNW6Pg10_0000035 1461.9 1471.5 
Kathy_Griffin/LaHnNW6Pg10_0000036 1473.8 1480.6 
Kathy_Griffin/LaHnNW6Pg10_0000037 1492.0 1498.2 
Kathy_Griffin/LaHnNW6Pg10_0000038 1523.6 1531.9 
Kathy_Griffin/LaHnNW6Pg10_0000039 1542.3 1555.5 
Kathy_Griffin/LaHnNW6Pg10_0000040 1622.6 1631.9 
Kathy_Griffin/LaHnNW6Pg10_0000041 1674.8 1680.8 
Kathy_Griffin/LaHnNW6Pg10_0000042 1683.0 1687.6 
Kathy_Griffin/LaHnNW6Pg10_0000043 1767.1 1771.3 
Kathy_Griffin/LaHnNW6Pg10_0000044 1784.1 1789.5 
