POI: 			Katie_Stevens 
Youtube ID: 	0W0BRZvSCTU 
Video length: 	497.7 sec 
Set (V): 		dev 
 
Katie_Stevens/0W0BRZvSCTU_0000001 01.0 05.0 
Katie_Stevens/0W0BRZvSCTU_0000002 23.3 35.4 
Katie_Stevens/0W0BRZvSCTU_0000003 43.2 58.1 
Katie_Stevens/0W0BRZvSCTU_0000004 67.6 81.3 
Katie_Stevens/0W0BRZvSCTU_0000005 133.4 144.7 
Katie_Stevens/0W0BRZvSCTU_0000006 178.1 183.4 
Katie_Stevens/0W0BRZvSCTU_0000007 183.8 195.0 
Katie_Stevens/0W0BRZvSCTU_0000008 209.6 217.6 
Katie_Stevens/0W0BRZvSCTU_0000009 234.6 239.7 
Katie_Stevens/0W0BRZvSCTU_0000010 241.1 245.2 
Katie_Stevens/0W0BRZvSCTU_0000011 255.6 263.1 
Katie_Stevens/0W0BRZvSCTU_0000012 263.4 275.6 
Katie_Stevens/0W0BRZvSCTU_0000013 284.9 302.7 
Katie_Stevens/0W0BRZvSCTU_0000014 317.3 325.8 
Katie_Stevens/0W0BRZvSCTU_0000015 327.4 351.5 
Katie_Stevens/0W0BRZvSCTU_0000016 352.3 363.0 
Katie_Stevens/0W0BRZvSCTU_0000017 417.6 431.4 
Katie_Stevens/0W0BRZvSCTU_0000018 431.5 448.6 
Katie_Stevens/0W0BRZvSCTU_0000019 453.7 468.6 
Katie_Stevens/0W0BRZvSCTU_0000020 469.2 481.3 
