POI: 			Kayvan_Novak 
Youtube ID: 	kdRxvnyzqxE 
Video length: 	436.0 sec 
Set (V): 		dev 
 
Kayvan_Novak/kdRxvnyzqxE_0000001 35.2 40.0 
Kayvan_Novak/kdRxvnyzqxE_0000002 50.5 59.5 
Kayvan_Novak/kdRxvnyzqxE_0000003 66.5 72.0 
Kayvan_Novak/kdRxvnyzqxE_0000004 72.7 76.7 
Kayvan_Novak/kdRxvnyzqxE_0000005 84.2 91.1 
Kayvan_Novak/kdRxvnyzqxE_0000006 107.7 115.8 
Kayvan_Novak/kdRxvnyzqxE_0000007 116.1 125.1 
Kayvan_Novak/kdRxvnyzqxE_0000008 135.3 140.8 
Kayvan_Novak/kdRxvnyzqxE_0000009 144.1 151.5 
Kayvan_Novak/kdRxvnyzqxE_0000010 163.1 170.1 
Kayvan_Novak/kdRxvnyzqxE_0000011 190.8 201.7 
Kayvan_Novak/kdRxvnyzqxE_0000012 220.1 231.6 
Kayvan_Novak/kdRxvnyzqxE_0000013 235.0 245.5 
Kayvan_Novak/kdRxvnyzqxE_0000014 246.4 250.8 
Kayvan_Novak/kdRxvnyzqxE_0000015 266.2 273.0 
Kayvan_Novak/kdRxvnyzqxE_0000016 289.2 298.6 
Kayvan_Novak/kdRxvnyzqxE_0000017 303.5 310.4 
Kayvan_Novak/kdRxvnyzqxE_0000018 316.6 322.2 
Kayvan_Novak/kdRxvnyzqxE_0000019 333.4 340.7 
Kayvan_Novak/kdRxvnyzqxE_0000020 341.2 346.6 
Kayvan_Novak/kdRxvnyzqxE_0000021 346.9 351.7 
Kayvan_Novak/kdRxvnyzqxE_0000022 403.0 407.1 
Kayvan_Novak/kdRxvnyzqxE_0000023 413.8 419.0 
Kayvan_Novak/kdRxvnyzqxE_0000024 423.9 430.5 
